gene,condition
4933406I18Rik,F1_Aged
A930015D03Rik,F1_Aged
Abra,F1_Aged
Acin1,F1_Aged
Acss3,F1_Aged
Adarb1,F1_Aged
Adra1a,F1_Aged
Aff3,F1_Aged
Agap1,F1_Aged
Agbl3,F1_Aged
Alcam,F1_Aged
Anapc10,F1_Aged
Anapc4,F1_Aged
Anxa1,F1_Aged
Anxa2,F1_Aged
Apba1,F1_Aged
Apbb2,F1_Aged
Arl15,F1_Aged
Arl8b,F1_Aged
Asb18,F1_Aged
Aspa,F1_Aged
B230216N24Rik,F1_Aged
C3,F1_Aged
Camk1d,F1_Aged
Carmil1,F1_Aged
Ccbe1,F1_Aged
Cd47,F1_Aged
Cers6,F1_Aged
Clasp2,F1_Aged
Clec3b,F1_Aged
Cmya5,F1_Aged
Col3a1,F1_Aged
Col6a1,F1_Aged
Cryab,F1_Aged
Cyfip2,F1_Aged
Dchs2,F1_Aged
Dcun1d3,F1_Aged
Dennd5b,F1_Aged
Dip2c,F1_Aged
Dmac2,F1_Aged
Dock8,F1_Aged
Dpep1,F1_Aged
Dysf,F1_Aged
Enox1,F1_Aged
Epb41,F1_Aged
Eps8,F1_Aged
F2r,F1_Aged
F3,F1_Aged
Fancc,F1_Aged
Fap,F1_Aged
Fgl2,F1_Aged
Flnb,F1_Aged
Flrt2,F1_Aged
Fnip2,F1_Aged
Galm,F1_Aged
Galnt1,F1_Aged
Gipc2,F1_Aged
Glud1,F1_Aged
Gm15738,F1_Aged
Gm20186,F1_Aged
Gm35041,F1_Aged
Gm36535,F1_Aged
Gm57414,F1_Aged
Gm6634,F1_Aged
Gmfb,F1_Aged
Gsta3,F1_Aged
Gtf2a2,F1_Aged
Hdnr,F1_Aged
Heg1,F1_Aged
Herpud1,F1_Aged
Hmcn2,F1_Aged
Hmgcl,F1_Aged
Homer1,F1_Aged
Hopx,F1_Aged
Hunk,F1_Aged
Ice1,F1_Aged
Igfbp6,F1_Aged
Il1rl2,F1_Aged
Kank1,F1_Aged
Kcnq1,F1_Aged
Klhl5,F1_Aged
Lekr1,F1_Aged
Limd1,F1_Aged
Lrch1,F1_Aged
Lrrc2,F1_Aged
Lrrk2,F1_Aged
Ltbp1,F1_Aged
Mast4,F1_Aged
Mfap5,F1_Aged
Mgat5,F1_Aged
Mgmt,F1_Aged
Mir99ahg,F1_Aged
Mirg,F1_Aged
Mpp7,F1_Aged
Mrps10,F1_Aged
Mthfs,F1_Aged
Mtor,F1_Aged
Myof,F1_Aged
Nbea,F1_Aged
Ncald,F1_Aged
Neb,F1_Aged
Nfkb1,F1_Aged
Nisch,F1_Aged
Nr3c2,F1_Aged
Nrip1,F1_Aged
Nt5e,F1_Aged
Nvl,F1_Aged
Pah,F1_Aged
Pals2,F1_Aged
Parg,F1_Aged
Pcsk7,F1_Aged
Pde1a,F1_Aged
Pdlim5,F1_Aged
Pdlim7,F1_Aged
Pdzd2,F1_Aged
Phf14,F1_Aged
Pip4k2a,F1_Aged
Pla2r1,F1_Aged
Plcl1,F1_Aged
Plpp3,F1_Aged
Postn,F1_Aged
Pphln1,F1_Aged
Pptc7,F1_Aged
Prkab2,F1_Aged
Prkca,F1_Aged
Prkd1,F1_Aged
Proser2,F1_Aged
Prpsap1,F1_Aged
Ptcd1,F1_Aged
Pxk,F1_Aged
Pyroxd2,F1_Aged
Rad51b,F1_Aged
Rbm28,F1_Aged
Rcbtb2,F1_Aged
Rgs17,F1_Aged
Rmdn1,F1_Aged
Rnf13,F1_Aged
Rp1,F1_Aged
Rps12,F1_Aged
Rps6,F1_Aged
Rras2,F1_Aged
Rsrc1,F1_Aged
Serpini1,F1_Aged
Sh3gl2,F1_Aged
Sh3rf1,F1_Aged
Slain2,F1_Aged
Slc10a6,F1_Aged
Slc1a5,F1_Aged
Slc25a21,F1_Aged
Slc25a4,F1_Aged
Sntb1,F1_Aged
Sparc,F1_Aged
Spred1,F1_Aged
St3gal6,F1_Aged
Stambpl1,F1_Aged
Tanc2,F1_Aged
Tdg,F1_Aged
Thsd7a,F1_Aged
Timp3,F1_Aged
Tmem144,F1_Aged
Tmem234,F1_Aged
Tnfaip6,F1_Aged
Tpst1,F1_Aged
Trim54,F1_Aged
Tspan5,F1_Aged
Tut7,F1_Aged
Ubash3b,F1_Aged
Ugdh,F1_Aged
Ugp2,F1_Aged
Ugt1a7c,F1_Aged
Vegfc,F1_Aged
Vim,F1_Aged
Vldlr,F1_Aged
Vps36,F1_Aged
Vwa5a,F1_Aged
Xdh,F1_Aged
Zcwpw2,F1_Aged
Zfp36l2,F1_Aged
Zfp799,F1_Aged
Zhx1,F1_Aged
Musk,F1_Aged
Brinp3,F1_Aged
4833420G17Rik,F1_Young
9330162G02Rik,F1_Young
9530026P05Rik,F1_Young
Abi3bp,F1_Young
Acss1,F1_Young
Adam17,F1_Young
Adam19,F1_Young
Ank3,F1_Young
Ankra2,F1_Young
Apoe,F1_Young
Appl1,F1_Young
Arb2a,F1_Young
Arhgap20,F1_Young
Atp11a,F1_Young
B830012L14Rik,F1_Young
Cald1,F1_Young
Camkmt,F1_Young
Casc3,F1_Young
Ccdc50,F1_Young
Ckmt2,F1_Young
Clptm1,F1_Young
Col1a2,F1_Young
Creb5,F1_Young
Ctdspl,F1_Young
Ctnnal1,F1_Young
Cyp4f13,F1_Young
Cyp7b1,F1_Young
Efna5,F1_Young
Egln1,F1_Young
Eml4,F1_Young
Fgf2,F1_Young
Filip1,F1_Young
Fxr1,F1_Young
Fxyd1,F1_Young
Gm12092,F1_Young
Gm20757,F1_Young
Gm35546,F1_Young
Gm9895,F1_Young
Golga4,F1_Young
Hand2os1,F1_Young
Hdac9,F1_Young
Hectd2os,F1_Young
Ifi205,F1_Young
Intu,F1_Young
Itga1,F1_Young
Junb,F1_Young
Kank2,F1_Young
Ktn1,F1_Young
Ldlr,F1_Young
Manba,F1_Young
Mhrt,F1_Young
Mier1,F1_Young
Mme,F1_Young
Mtr,F1_Young
Mybpc3,F1_Young
Nipsnap2,F1_Young
Parp4,F1_Young
Pcnx1,F1_Young
Pdgfrb,F1_Young
Peli2,F1_Young
Per2,F1_Young
Pigk,F1_Young
Plcb4,F1_Young
Pln,F1_Young
Ppfibp1,F1_Young
Prune2,F1_Young
Pus10,F1_Young
Pygb,F1_Young
Rhbdd1,F1_Young
Rian,F1_Young
Sik3,F1_Young
Slc49a4,F1_Young
Snrk,F1_Young
Socs5,F1_Young
St3gal1,F1_Young
Stard9,F1_Young
Strip2,F1_Young
Tecrl,F1_Young
Tenm3,F1_Young
Tfdp2,F1_Young
Tle4,F1_Young
Tpd52l2,F1_Young
Tulp4,F1_Young
Usp54,F1_Young
Xpr1,F1_Young
Zfp236,F1_Young
Zswim6,F1_Young
Gm50194,F1_Young
Nle1,F1_Young
