gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
4933406I18Rik,0.348484848484848,0.0185991953222034,0.263157894736842,0.139090448186251
6030458C11Rik,0.380434782608696,0.0834543167633985,0.456896551724138,0.649530814759059
Abca9,0.420945642407907,0.0920187890224919,0.506955380577428,1
Abra,0.344088941361669,0.00189101310215118,0.455459355459355,0.745088632515796
Acin1,0.333465608465608,4.3325501553067e-4,0.404255319148936,0.809144067074066
Acss3,0.366883116883117,0.0257714372248874,0.369230769230769,0.35995407763828
Adamtsl5,0.451160862354892,0.0664374786047182,0.426356589147287,0.633208826808525
Adarb1,0.414852799227799,0.0499313119585082,0.442072667217176,0.252903507455949
Adra1a,0.363050952878539,3.9771044704145e-4,0.419831746031746,0.883766531816279
Aff3,0.333333333333333,0.0185991953222034,0.5,0.974205187322129
Agap1,0.408655967296065,0.00214762666466086,0.422009569377991,0.367235021115743
Aig1,0.424650279776179,0.0693802843909406,0.435833333333333,0.546024893767989
Alcam,0.28452380952381,0.0106012997196556,0.426515151515152,1
Amd1,0.433168316831683,0.0633265594860341,0.410652920962199,0.298250548183638
Anapc10,0.637152777777778,0.0165425924305873,0.53125,1
Anxa1,0.725318066157761,0.0268599229833009,0.556410256410256,1
Anxa2,0.612838468720822,0.0306038629315869,0.608374458874459,0.496652007214372
Apba1,0.636199952617863,0.00724361531571481,0.554378531073446,0.831987783115517
Apbb2,0.606646774858695,0.020574592053675,0.576388888888889,0.38175307873099
Arl15,0.438239415941985,5.1028470322257e-4,0.472730592858985,0.305878979767673
Arl8b,0.339939024390244,0.00100795445584819,0.461059190031153,0.464592260646266
B230216N24Rik,0.641744548286604,0.0491465720934025,0.656862745098039,0.207205847874206
BC034090,0.403614457831325,0.0864025954082485,0.3125,0.223643231456764
Camk1d,0.66808180285689,1.56069790466268e-5,0.586388611388611,0.391413366792053
Canx,0.399188514357054,0.0597008816338883,0.499287749287749,1
Car8,0.682781649245064,0.0771363875871539,0.571130952380952,1
Carmil1,0.38218190614417,0.00410482529361634,0.427297008547009,0.15427357614069
Cav1,0.359404761904762,0.0707172025981769,0.326149425287356,0.253532751465695
Ccbe1,0.362974987974988,4.5743426587728e-4,0.476859099804305,1
Cd47,0.38807130892558,0.0327782847485019,0.457446808510638,0.957414181299103
Cemip2,0.600850379476334,0.0685647143180407,0.569634473507713,0.717634753240534
Cers6,0.331262939958592,0.0264416139052674,0.536585365853659,1
Clasp2,0.451068153798736,0.018728412419559,0.474702253764754,1
Clec3b,0.400400641025641,0.0116346293182229,0.421776155717762,0.990997118414106
Cmya5,0.593657875866465,0.016271663130244,0.548450085268267,0.414824865373275
Col3a1,0.360973891579273,0.00143925850263578,0.439719366281866,0.496652007214372
Col4a4,0.383725071225071,0.0609086088856834,0.380050505050505,0.43798171105716
Coro6,0.603602357558054,0.0764627552326689,0.550520833333333,0.74819508530892
Cryab,0.765151515151515,0.00964525201404594,0.5,1
Cwc27,0.42024818401937,0.0605900387564754,0.464111111111111,0.721978123721866
D630003M21Rik,0.352852852852853,0.0625380386993897,0.365384615384615,0.151605945524316
Dcun1d3,0.383888888888889,0.0427790619696985,0.508823529411765,1
Ddi2,0.630968468468468,0.0605900387564754,0.537234042553192,0.922086615505655
Dennd5b,0.403937144726618,0.0181623646650458,0.408516483516484,0.263755037715074
Dip2c,0.555658078651496,0.0059613893274066,0.544789571519543,0.182591433513987
Dock4,0.59279179884443,0.0812322390746888,0.586662631154157,0.136795513740151
Dock9,0.432123750734862,0.0544159404756241,0.43697233933083,0.298250548183638
Dpep1,0.603233134558436,0.0357671083873738,0.563953488372093,0.514605952717319
Dysf,0.348880105401845,0.0116346293182229,0.495179063360882,1
Ebf3,0.39176245210728,0.0794501291467508,0.456818181818182,0.820787427354085
Enox1,0.405102040816327,0.0495289934705124,0.316,0.220775472035607
Epb41,0.435385005065856,0.0442680165354689,0.452633171912833,1
Eps8,0.581954195495862,0.0458656697910783,0.494938299248644,1
Fancc,0.293447293447293,8.345604955057e-4,0.407051282051282,0.796837467088067
Fap,0.4056786350904,0.0361895776444478,0.414886731391586,0.259137716650017
Fbxo30,0.359078590785908,0.0544159404756241,0.412568306010929,0.55446743796298
Fer,0.41008886602946,0.0714525000110397,0.463827838827839,0.908416311363692
Fgl2,0.340567973221034,9.3967695941507e-4,0.306802721088435,0.126494023203462
Flnb,0.607797858099063,0.0279313709741795,0.561360978203083,0.634971664651915
Flrt2,0.384478520863562,0.00263507613407483,0.481665261974997,0.997532255469165
Fnip2,0.436299892599961,0.0495547070507235,0.468253968253968,1
Galnt1,0.408045977011494,0.0155363244002098,0.487590799031477,1
Gas7,0.405374964357,0.0703900513966064,0.447126783202733,0.916906659288698
Gfm2,0.66140350877193,0.0714665019278072,0.669398907103825,0.166167730307965
