gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
9330159M07Rik,0.104938271604938,9.06141400352396e-6,0.0921052631578947,1.68214585290792e-5
Abi1,0.919532134532135,1.01445468112504e-40,0.894260461760462,8.52824653307063e-26
Airn,0.274153541597761,0.0157184549635002,0.853620912630347,1.02606736450048e-12
Arhgef12,0.753857365881587,2.56978198776475e-10,0.64623991599798,0.00103675558295267
Bicd1,0.806899641577061,9.06141400352396e-6,0.777568922305764,0.00171295842829488
Cacna2d1,0.762414965986395,3.886362609912e-4,0.66865149556326,0.0961192875262098
Ccdc171,0.921052631578947,3.10871245344984e-19,0.942857142857143,2.60563720882851e-14
Cd2ap,0.694464207290294,0.011824408354914,0.689745881096183,0.00115638086379851
Cdk14,0.19712962962963,3.3330341454556603e-15,0.196415119720204,1.83023452296418e-14
Gm13481,0.990196078431373,4.39478865034862e-12,0.984615384615385,3.46346005450916e-6
Gm56730,0.994047619047619,1.9136655474033895e-171,1,1.6761651220487198e-156
Grm1,0.996277056277056,1.64291896724304e-33,1,2.97806095096122e-28
Hpgd,0.784057971014493,0.00178012310388046,0.880952380952381,3.03603663373638e-9
Igfbp6,0.690695886197616,0.0691842015084621,0.694312169312169,0.0741611880021423
Kcnd2,0.893890503435958,3.97208252365345e-32,0.904905309474955,1.53851078587036e-23
Kcnq1ot1,0.318858225108225,0.0839722144011113,0.857878787878788,7.55394982916105e-14
Kiz,0.599382716049383,0.00592440071947555,0.664829931972789,0.0387793939685323
Lama2,0.395390413747086,0.0132922913904534,0.390333708858801,0.0172628720501568
Malt1,0.274744897959184,0.0924906825032254,0.205357142857143,0.0172628720501568
Mast4,0.682944172115872,5.25464992587545e-7,0.675080457316616,2.1120673047219e-4
Pals2,0.963182346109175,1.2197641193049598e-25,0.86046511627907,2.30894058974629e-9
Pde7b,0.311662895927602,0.00433604285088707,0.321945548541293,0.00912583875853354
Prkg1,0.124944305207463,2.4274015745950097e-22,0.172541771094403,1.83023452296418e-14
Rapgef4,0.202898550724638,0.0320912705111496,0.279569892473118,0.0593257842540119
Rbbp8,0.778494623655914,0.0300375606663551,0.922619047619048,1.94048151220075e-10
Rbfox1,0.653412570477981,2.15783927021002e-7,0.616190701748376,0.00383977789272788
Rnls,0.297333333333333,0.0732781128022754,0.142857142857143,8.7646281704244e-4
Sdk1,0.284664987789988,0.0388397372128377,0.227592592592593,0.00421460949106026
Slc2a13,0.222428571428571,1.80379800874903e-6,0.285703791158337,0.00256386320230634
Suclg2,0.067687074829932,9.63338033006526e-64,0.153975106526127,3.0214015043843095e-19
Tmtc1,0.735930735930736,0.00714159315160052,0.739400183150183,0.00256386320230634
Ube4b,0.784285714285714,0.00567885508358263,0.91969696969697,1.83023452296418e-14
Zeb1,0.778467365967366,9.5823190522907e-4,0.646520078837152,0.0713851629881021
