gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
9530026P05Rik,0.581693507010753,0.0131838041760954,0.52468487861345,0.960164136863292
Agap1,0.360947712418301,0.0850820377631144,0.377252252252252,0.22000488352195
Ano6,0.678900709219858,0.024491852955583,0.610818713450292,0.377861239423292
Atp1b1,0.324200913242009,0.0077010460178236,0.290909090909091,0.20332748102091
Btaf1,0.318864468864469,0.0513055956467513,0.380281690140845,1
Cacnb2,0.609957809652516,0.0198857617907431,0.565186666404095,0.400123293718248
Cd2ap,0.644731800766283,0.0816036017488874,0.625586854460094,0.442265548789445
Cpne8,0.283333333333333,0.0680528110237742,0.289473684210526,0.45226180958087
Cradd,0.242252530933633,4.65871654919282e-8,0.340070921985816,0.250557430303326
Dtna,0.356306990881459,0.0152485994680415,0.409888888888889,0.660602640841731
Ext1,0.577067609528342,0.0850820377631144,0.567927252486076,0.251094256812145
Fto,0.573283298826777,0.0737957888282504,0.530471611721612,1
Gm12092,0.260984848484848,0.0077010460178236,0.369047619047619,0.422610772862893
Gm20619,0.380021561823723,0.0909210949914282,0.467597041847042,1
Gm35041,0.366695352839931,0.084103249242797,0.366320346320346,0.599227201175755
Gulp1,0.247483766233766,0.00282886377157542,0.356382978723404,0.773944525448477
Hand2os1,0.626733876733877,0.0404877687132068,0.574977934686672,0.275229913092281
Hibadh,0.339473684210526,0.0307084743183345,0.394514767932489,0.26711189862598
Itpr2,0.281116287094548,2.5578062889133e-8,0.339176496286588,0.133215733935531
Kalrn,0.335069444444444,0.053629291170085,0.358333333333333,0.814539847892376
Kank1,0.30316091954023,0.00812029918660031,0.327651515151515,0.633196989092083
Kbtbd12,0.613852813852814,0.0737577716735102,0.59969696969697,0.413526388777914
Limd1,0.632125850340136,0.0239013695841381,0.543300653594771,0.93633742601938
Lsamp,0.831,7.76139273791214e-8,0.794610507246377,1
Luc7l2,0.562204866710657,0.0838385228840321,0.495789474152085,1
Mapk10,0.34212962962963,0.0238721414209311,0.397473690330833,0.686323550095937
Mgp,0.310365079365079,0.0611370044194796,0.370151515151515,0.443557381422369
Mia2,0.350287464066992,0.0542260290118233,0.408171521035599,0.441558125604158
Mpped2,0.241666666666667,0.0285295217601264,0.313821138211382,0.180933174045176
Mrtfb,0.654578754578755,0.0737577716735102,0.493589743589744,1
Mtss1,0.276969696969697,0.0697249203998929,0.321505376344086,0.22638833372189
Neo1,0.686153846153846,0.0850820377631144,0.504401154401154,1
Nt5e,0.831481481481481,4.94216081256162e-6,0.7125,0.229196437786451
Osbpl3,0.314814814814815,0.064499795652901,0.389344262295082,0.686315520829674
Osgepl1,0.303571428571429,0.0850820377631144,0.453787878787879,1
Palld,0.427718272741689,0.0559584148377665,0.479145687569821,0.780531563071361
Pde4b,0.422351377892712,0.0143869323144239,0.474581458753941,1
Pdlim5,0.549096619601155,0.0997739194677527,0.531987433667833,0.566417937865487
Peli2,0.395801526717557,0.0501853924186069,0.442640692640693,0.587941518877155
Plxna4,0.329545454545454,0.0255944340649104,0.483838383838384,1
Ppp1r14c,0.305345911949686,0.0643693148217444,0.331818181818182,0.424846661342425
Pygb,0.614416535845107,0.0262750308842735,0.610457516339869,0.427761720221361
Rbm20,0.563209950249771,0.00871063715004722,0.545949499044296,0.229196437786451
Rbms3,0.601226965882138,0.0967570351895033,0.511692994505495,1
Rora,0.548796539878208,0.0346856090121695,0.524612415070858,0.546763225063305
Rtn3,0.598012748406449,0.0924496383991197,0.502777777777778,0.947413412623484
Serinc3,0.28,2.8670355000266e-4,0.460093896713615,1
Slc12a2,0.421310386954559,0.0404877687132068,0.415101410934744,0.197824765020363
Slc27a1,0.810810810810811,0.00277186181471542,0.688725490196078,0.565210358227437
Smc6,0.31547619047619,0.0260577576450594,0.409090909090909,0.591668534931184
Spon1,0.652582159624413,0.0967570351895033,0.62962962962963,0.503549553352849
Sptan1,0.629694229112834,0.00812029918660031,0.636413043478261,0.128319951131926
Stk39,0.632134167535627,0.0198857617907431,0.576126700680272,0.477194347744802
Tbc1d4,0.621743669310041,0.0564418492063447,0.567241554741555,0.955045521922184
Trim54,0.369567597153804,0.0478961697133069,0.403927025355597,0.848672178121324
Trip11,0.674917491749175,0.0105658210855454,0.613470319634703,0.205620735440932
Trpc3,0.585993964297073,3.0633643115998e-4,0.50833658600052,1
Ubash3b,0.783040935672515,2.61351390012832e-5,0.626262626262626,0.645700210564704
Usp13,0.62737003058104,0.00404395872971145,0.522508591065292,1
Usp25,0.336193436193436,0.0095055693505634,0.330978260869565,0.328303383493953
Wbp1l,0.333333333333333,0.0643693148217444,0.457,1
Zfp236,0.675845410628019,0.0854045036411977,0.635416666666667,0.147387622598228
Znrf3,0.302083333333333,0.00613015222085365,0.553921568627451,0.828551942980893
