gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
Abca8a,0.69255303212018,0.00149921338112021,0.618596570912747,0.143264914694301
Abi1,0.635255022755023,0.0177842152000165,0.656896551724138,0.561354103976868
Acyp2,0.352518839254562,0.0325281444443709,0.252442047200112,0.123711323951913
Agmo,0.812222222222222,0.00368098139919721,0.845909090909091,0.519666266900398
Bnc2,0.363929023519816,0.0936121682101441,0.35452380952381,0.84837019946058
Clec3b,0.137125220458554,2.2313934952449e-4,0.324074074074074,0.929801881909545
Cpne8,0.315634568683349,0.099240893035645,0.404761904761905,0.852805223082065
Ext1,0.410805485351435,0.0879519738703714,0.480808700360839,1
Hdac9,0.80498187449407,8.59015806341401e-6,0.699036281179138,0.852805223082065
Kcnq1ot1,0.277353266888151,0.0318577434371534,0.758024691358025,0.84837019946058
Kif1b,0.282123617123617,0.0879519738703714,0.427954144620811,1
Lama2,0.431728954349275,0.0557081727922414,0.392117836735241,0.519666266900398
Mir99ahg,0.406154673951284,0.0646357695597258,0.385648148148148,0.607195620753089
Pcdh7,0.692712759271708,0.0330355009553071,0.57737916443173,0.607546874644806
Ptbp2,0.248879551820728,0.0836119945774185,0.44047619047619,1
Tnnt2,0.711594202898551,0.0378356582359874,0.669345238095238,0.84837019946058
