gene,padj_Aged,padj_Young
1500004A13Rik,1,0.00448855600817754
4930544I03Rik,1,0.0327334047825481
5330438D12Rik,0.304117666578917,0.0681280591058261
A330102I10Rik,1,4.7643481797667e-4
A930015D03Rik,1,0.0546249342518215
AW554918,0.112657834174744,0.0704639734298846
Abca8b,0.706401060375603,3.26875766983455e-5
Abca9,1,0.0544163898034599
Abcc8,1,0.0116570921221175
Abcd3,1,2.9680572611131e-4
Abi1,1,5.7290341323662e-46
Ablim3,0.306299680339557,0.011348256926898
Acat1,1,1.69300671648327e-88
Adamts9,1,4.97367637163309e-128
Adamtsl3,1,4.81900690151697e-6
Adarb1,1,0.00105339640923351
Adcy5,1,0.00217245719877092
Adcy9,1,4.79792716866163e-68
Afg2a,1,2.5440958655839e-4
Agps,0.1967544066958,0.0821002556543044
Agtr1a,1,0.0073764416800901
Ahsa2,1,8.03274128429387e-5
Airn,1,5.3401925293521e-7
Aldh9a1,0.775946662303361,0.00271651853276478
Ambra1,1,0.0245061495242937
Anapc1,1,0.0282540794460102
Ap1g1,1,2.51260032665837e-70
Apbb1ip,1,4.1875563213109e-4
Apbb2,1,1.64474315043085e-8
Aqp1,0.689405816113613,0.0359088400262084
Arfgef1,1,0.0271608517105307
Arhgap44,0.740840955758907,0.0272836661688548
Arid4b,1,0.00144151786617896
Asb3,1,0.0318837269034131
Asxl2,1,4.63108615137283e-59
Atf3,1,3.14080712781273e-13
Atraid,1,0.0810660851592022
Atxn7,1,6.999959750438558e-107
Azi2,1,1.56623757663288e-5
BC005537,0.20564845876126,0.0385689156920905
Bach1,1,1.2677628747247e-5
Baiap2l1,1,3.4470651272927596e-11
Baz2b,1,1.9953717240532e-4
Brd10,1,1.9729867417281998e-45
Cab39,1,2.10025668992031e-7
Cacna1c,0.144108587930592,0.0167930421797642
Camta1,1,1.4562169987014e-4
Capn7,0.861674742548663,0.0996001100255558
Ccar1,1,0.0163667481892455
Ccny,1,0.0192533799957203
Ccser2,1,6.75191731391059e-5
Cd36,0.162963004037459,0.0343878856171895
Cd59a,1,0.00261949783191801
Cdc42bpa,1,0.0781165283564565
Cdk8,1,2.08422945667123e-5
Cep85l,0.649229213252226,2.63103297344337e-102
Cfap96,1,1.48921905486339e-6
Chd7,1,4.29083865601566e-5
Chmp4c,1,1.35233175243721e-34
Cipc,1,0.0142744792168775
Clybl,1,0.0787014877835309
Cnot1,1,0.0137362555057123
Cnot2,1,1.31968603694058e-6
Cnot6l,1,0.0319757609049947
Col4a1,1,1.62397212939299e-10
Col5a1,0.150869399448305,2.9425216779085e-4
Col8a1,1,7.568462542683249e-11
Colq,0.647042663882384,2.7976374746697e-4
Coq10b,1,3.64775269269757e-20
Cox6a1,1,8.4277099936132e-4
Creb1,0.141193538411013,0.0312320386166501
Cspp1,1,0.0229957428084218
Cstf3,1,1.22334008031204e-85
Ctnna1,1,1.48794428797256e-82
Ctr9,1,0.0938148870060339
Cubn,1,0.0246235533214943
Cul5,1,6.87777032417441e-38
Cyb5b,0.297515619555555,0.0386248519845224
Cyld,1,0.00609811121843064
Cyrib,0.268197399467952,4.0762323469381e-10
Cyth1,1,7.66052774967125e-72
Cyyr1,1,8.87556627022211e-20
Dclre1a,0.167209055052572,3.7906647723261e-4
Ddx17,1,2.7368322706604e-4
Dennd1b,1,3.7346160011244496e-109
Des,1,8.862102021938129e-19
Dnaja2,1,3.35542847089735e-25
Dnajb6,1,1.1248021523387999e-126
Dnm3,1,0.0865702584731191
Dnmt3a,1,0.0302555616173412
Dock9,1,4.81521101000676e-8
Dpp6,0.644792994763608,3.5038041856189704e-17
E130308A19Rik,1,6.0329462732867e-4
Eea1,1,0.0010203546667851
Efna5,1,0.0112215170827631
Egr1,1,5.5447043695997e-4
Eif4g3,1,0.00128350549463253
Eln,1,3.30451186223645e-6
Elp4,1,9.167778349647528e-141
Eml1,1,0.00216034582173152
Emsy,1,1.5337311212334898e-60
Entpd1,1,4.00115013303013e-10
Etv6,1,1.42360522037951e-101
Fam20a,1,8.41226311048593e-6
Fam222b,0.37378411898205,0.0246838377379612
Flrt2,1,1.0670085712608e-4
Foxo3,1,6.86212036581697e-41
Frmd4b,0.604260760949631,2.3504585251143502e-14
Frs2,1,4.7452948286355e-7
Garre1,1,2.1694866518822e-97
Ggps1,1,1.81559715700353e-6
Gm10069,1,1.7095813574688e-4
Gm10135,0.575467072938492,0.00164080179829444
Gm11266,1,0.0660703870979066
Gm16023,1,0.00288553910679994
Gm16168,0.805610993644289,1.1715517442871e-4
Gm30866,0.636265792397474,8.021796193704e-67
Gm3587,1,0.018209153681408
Gm45871,1,1.76588360581806e-10
Gm49390,0.285955646779633,0.0289319944335779
Gm50100,1,0.0320270566907848
Gm50114,1,1.79610315946066e-5
Gm5089,1,1.296568353539e-4
Gm52948,1,0.0332359778896628
Gm9895,1,1.46184200629316e-11
Gmps,1,0.0213353236179042
Grik2,1,7.7254825165077e-4
Gys1,1,9.234560977504679e-106
Hapstr1,1,5.58560837855694e-5
Hdac9,1,1.42531003688567e-80
Hecw2,1,7.42640521725486e-96
Hikeshi,1,0.0059584718744871
Hipk2,1,9.48224989725054e-12
Hnrnpa2b1,1,5.89674183393551e-14
Hnrnpll,1,4.665408755046e-4
Homer2,1,0.0322007583413063
Hspa5,1,8.53816132187533e-5
Hspa9,1,9.9985556818161e-9
Hsph1,1,2.0292876371278598e-23
Igf2bp2,1,0.0166431230098982
Igf2r,1,3.707645370124811e-15
Igfbp5,1,0.0016079067278418
Igfbp7,1,1.8888458293552e-4
Il1r1,1,8.519875615959869e-11
Impact,0.174678902807069,1.62397212939299e-10
Iqub,1,0.0630973587775591
Irs2,1,4.00362868127702e-14
Itga1,1,0.0234188792299459
Kat2b,1,0.085508257511011
Kcmf1,1,0.00193680751950558
Kcnab1,1,0.0239369456693684
Kcnn2,1,3.49422372716612e-5
Kctd14,1,0.0776297863589839
Kdm5a,1,0.0121392262133928
Klhl31,1,2.88073473972196e-122
Lama2,1,0.0231347005954308
