gene,padj_Aged,padj_Young
2610037D02Rik,1.4108682649653598e-20,1.43638823341137e-6
4930578G10Rik,0.00288476445729836,0.0503379203980175
5330438D12Rik,0.0689984759013201,9.76177885424548e-6
Abcc1,0.0348234716488207,0.00550182267056085
Abcc5,0.00277455341725437,1.3013781994894e-4
Abcc9,0.00120817147974377,2.58105262334173e-6
Acadm,2.76387129078173e-5,5.12169266294e-4
Acap2,3.4233521768369403e-9,7.55570087329995e-12
Acss3,0.0051894070370427,8.44251419974001e-5
Actc1dt,0.0215591667895503,1.23811079693353e-5
Acvr1,3.79173794886421e-13,0.042242363928793
Adam9,2.40267517267072e-6,0.0793676890200257
Adamts1,1.67557448703309e-9,0.00411442801619121
Alcam,0.0496786694293341,1.5832281082363e-5
Anapc1,0.0253041497800977,1.21303960339624e-8
Ankrd12,1.66401194874193e-8,1.99690009965778e-12
Ankrd23,2.44671261747072e-10,1.51012544758133e-5
Ankrd33b,0.00201394352131792,8.92881111953686e-8
Ankrd44,3.13749467890925e-8,1.9433535632816e-4
Anks1,0.0334166370088824,0.0019020814974699
Antxr1,2.34935809530638e-14,1.5151041423606501e-9
Ap2a2,3.15294876707357e-8,0.0592823285439707
Ap3s1,0.041344958233145,1.5087797513396e-7
Apaf1,0.00144576973400294,0.00821248762121513
Arhgap12,1.04460099468985e-42,2.60066714948149e-7
Arhgap17,8.92780108910591e-11,1.8215848048973e-7
Arhgap35,4.23067125740668e-34,0.00935814644319731
Arhgap5,7.028118655603211e-15,6.36148121202894e-16
Arid2,1.63128687762803e-15,0.00171080017609556
Arnt,1.27308628124555e-7,0.0186943726817492
Asxl1,1.17773229574045e-35,0.0384597979442424
Asxl2,2.65718468088618e-22,7.60518824317412e-5
Atad1,4.4853283256835205e-15,5.65077223761649e-10
Atad3a,8.50810471487936e-5,0.0238310714263939
Atl3,0.0103068418082139,1.7613785403506e-4
Atp9b,0.00464885521719498,3.08984837045135e-12
Banp,1.1629565600043e-23,1.3531016943077e-4
Baz2a,9.767678757126491e-17,5.30469133073347e-7
Bckdhb,1.3827629815785401e-15,3.52934097104538e-17
Bclaf1,4.56121144973869e-8,1.73559114267767e-6
Bend6,0.0552433304624464,0.00556422471229136
Bltp2,0.013254125602835,0.00481120015694494
Bmp2k,3.4834310662008203e-15,6.6166916822738e-14
Btrc,0.0774084210208055,1.15860323347115e-8
C330020E22Rik,3.12151570809251e-6,0.0168873195852229
Cab39,5.74297907669862e-10,0.0294276500103105
Camkmt,1.08060890706369e-17,2.49337992711661e-10
Canx,8.198036630143551e-14,0.0575191867922927
Capn2,2.34595333964607e-11,2.59796867240231e-18
Caprin1,0.0693396438107449,0.054701398912381
Capza1,8.047855797514909e-11,1.92508736919e-4
Ccnl2,9.0215195382949e-4,0.00550748144283545
Ccser2,3.3145987727783795e-20,5.350876820868e-6
Cd34,3.02099361673762e-6,0.0637728047840789
Cd47,2.6598367513429103e-9,8.1652425216213e-6
Cdk12,4.45506125173904e-6,1.85107121489205e-10
Cep83,0.00857036500315192,1.28198842546349e-5
Cep85,3.0820663510137895e-11,0.00722183213386976
Cert1,6.94985235775981e-19,2.13331224676881e-14
Ces1d,2.27908193113486e-7,0.00762256754843114
Cfdp1,3.6567998137520693e-11,0.0696395358469466
Cfl2,1.59347712683378e-18,3.45806758451909e-15
Cflar,1.3893602285318399e-11,5.00512789656038e-7
Chd4,2.78712752816812e-9,1.31255478083235e-6
Chic2,1.09524027983629e-27,0.027007777434856
Chmp4c,1.42386206035612e-8,4.93155673211795e-5
Clk1,4.01218482436205e-17,0.0088201319786435
Cnot1,1.12122016774616e-28,9.27859775116463e-6
Cnot6l,2.24735024138111e-18,0.0297595365111567
Comt,9.05159626806891e-20,1.8235851878034801e-10
Cop1,5.6403086868588e-4,0.00174690109728437
Cox6c,0.0578728665079893,0.0772858939223215
Cox7c,5.2954517700267695e-18,1.9994263691329e-4
Cpsf6,0.0553129127203178,2.37012920836643e-8
Csnk2a1,2.57415883419915e-13,0.0153369888832382
Cst3,4.46538230210849e-11,5.780430134842e-6
Ctif,9.21421852695824e-42,2.14363640053204e-14
Cul1,6.8190026331885e-15,1.55972736365351e-8
Cwf19l2,0.0829326499313004,3.20630413137703e-10
Cyfip1,1.99073434044303e-8,0.0340852861758356
D5Ertd579e,0.0019172856536368,1.51172333361844e-6
Ddx5,1.71084022518208e-14,0.0278600610791528
Ddx50,0.00979217861126482,5.84183197848933e-7
Ddx6,1.9842741524330898e-16,0.00158516332336638
Dennd6a,1.07625474401461e-55,6.0717127132804e-11
Des,0.0180399617546158,2.9953506747959e-4
Dlat,7.201652738333409e-33,2.8693706024878498e-11
Dnajc3,3.2937609552453897e-18,1.3029481518023e-14
Dnm2,1.66878830377483e-23,6.8378578006337e-4
Dock10,7.628232399770689e-35,2.0633393459197998e-19
Dock6,0.0541253875379272,4.34754308556974e-6
Dop1a,0.0132753707026012,0.0153369888832382
