gene,padj_Aged,padj_Young
1600010M07Rik,0.208383120933525,0.00585833994171546
2610307P16Rik,1,3.26775363579609e-14
3110056K07Rik,0.563075832907682,0.00955008805876581
4933431K23Rik,0.440178299845448,2.00152040025955e-8
5430431A17Rik,0.456234058363262,3.5564604186611e-4
Aatf,0.234954219820767,0.0668701647571631
Abcc4,0.202441422882056,0.0828698674703938
Acaca,0.110932652723033,6.2728012439847604e-9
Actr2,0.393596686825234,0.0612227769322519
Adam17,0.111973581445026,0.00595712794203343
Adamtsl5,1,3.5297675908128297e-12
Adcy2,1,5.74860131686449e-5
Adhfe1,0.108691727717033,4.88404671730683e-7
Adipor2,0.371726040985897,0.0149704090178473
Afap1l1,0.529905825288268,2.9953506747959e-4
Aff3,0.836220003046515,0.0914676926236786
Ahcyl2,1,6.02344926014597e-6
Aig1,1,2.67423934218592e-29
Airn,1,0.0295654726650565
Aldh6a1,0.235998832240423,0.00257410519461454
Amd1,1,0.00155688308977821
Ankra2,0.587510594140578,0.0578570733293538
Ankrd28,1,4.10900673743234e-8
Ap2b1,0.26597300937047,1.27039997983139e-5
Arhgap29,1,1.03347596713295e-19
Arpc2,1,0.095494102146542
Ate1,1,5.995931002252469e-11
Atf2,0.207229808033698,0.0552085213523971
Atg4c,1,0.0070520650511579
Atp5f1c,1,0.020489742005512
Atp5pf,0.505024033766907,1.04402582853207e-8
Atp8b1,1,8.841615987649979e-11
Axin1,0.920390168394754,0.0956114628191614
B830012L14Rik,1,0.0035618716814303
BC034090,1,0.025563911397925
Baiap2l1,1,9.25467940284624e-7
Bdp1,1,0.0290682472903165
Bhlhe40,1,6.99100454601557e-8
Bltp3b,1,5.55424629829186e-8
Bmper,1,3.28558277931588e-26
Brd7,0.140249177784318,3.1369723211562e-4
Bri3,0.364537432788114,0.0363365929571824
Cabcoco1,1,8.97035115943359e-7
Ccnl1,1,0.0608758055324938
Cd59a,0.121290653975892,2.33085305815e-4
Cdc27,0.301753039759948,0.0409307034460277
Cdk19,0.185236826497849,1.6689772648426998e-12
Cdv3,0.172816263316852,8.83172939951665e-8
Cep120,0.251743562383542,7.3338010281064e-4
Chst11,0.22449931900391,2.0776425068633e-4
Chsy3,1,3.76953299271378e-7
Clic4,0.512966205911331,0.0192079413867972
Clptm1,0.762207441424917,8.97035115943359e-7
Cnn3,0.357120555616423,4.4549961023461e-4
Col3a1,1,1.45554692236756e-13
Col5a3,1,0.0575191867922927
Col6a2,0.208507382234024,1.37864080044706e-6
Colec12,1,3.0966651363311796e-25
Coq10b,1,5.30469133073347e-7
Coro6,1,4.29358558446603e-9
Cpsf7,0.168241292528499,7.9410021836549e-4
Crebzf,0.12053063966523,0.0166524980176506
Ctnnd1,0.115076367981021,0.00117183015783066
Dapk1,1,7.52809723415061e-22
Ddx10,0.110384349085581,0.0114873010892784
Dennd4a,1,0.0994370576336935
Depdc5,0.582404131403721,3.5129994376503e-4
Dgat2,1,2.9259109608235e-4
Dlg1,0.546203799051121,0.00299148963572505
Dnajc15,1,0.00121715957361886
Dnm3os,1,3.76451049484286e-6
Dnmt3a,0.165548910170242,3.5890913300394e-4
Dock7,0.373486967299154,2.10398670105127e-6
Dpep1,0.808601712223516,1.6689772648426998e-12
Dph6,0.388110511605606,1.1101080913377e-4
Dpp8,0.374004050568069,0.027007777434856
Dync1h1,0.185259139054354,6.65919961666806e-6
Ece1,1,0.063567054525385
Eeig2,1,7.98307944911902e-5
Eif2s1,0.777710448682998,0.0846750044513385
Eif3c,0.773833379061986,3.4952822791545e-4
Eif4enif1,0.860949729040211,1.2710257110781702e-15
Epc2,0.395105572042441,1.35906546244214e-8
Etfdh,0.215244382123531,0.0141802970848286
Fam110b,0.235436006760503,6.52729703290405e-9
Fam117b,0.595052451517429,0.00795052587118378
Fam20a,1,1.28156364833783e-13
Fap,1,1.99690009965778e-12
Far1,0.614006416900255,8.841615987649979e-11
Farp1,1,2.34382077422817e-24
Fars2,1,1.81196315545821e-12
Fat1,0.399238373414317,1.43638823341137e-6
Fchsd2,1,2.93282522163642e-10
Fign,1,1.0178851221073301e-24
Frmd5,0.123252749137927,1.20959181686909e-5
Fut8,1,1.3008646829656101e-15
Gabpb1,0.204082599302647,0.00156618183140209
Galnt1,1,0.00941374439203958
Gatad2a,1,2.2152054685413e-5
Gbf1,1,7.8082665367739e-4
Gfm2,0.545981565705512,5.1842449472784e-4
Gfod1,1,7.77489056887374e-13
Gm12353,0.278627152359757,2.8721264306724e-4
Gm31013,1,4.0128018579469e-8
Gm36372,0.810029139417239,0.0846031393381564
Gm40652,1,0.0125313293424155
Gm57242,0.771241054212144,1.9099510292864e-4
Gm57283,1,2.06725979472388e-5
Gnai3,1,0.0402211339333246
Gnb1,1,3.5170376237813795e-31
Gtf2f2,0.26465632986339,6.59411906661307e-5
Gtf2i,0.145267558365129,2.5362244755194e-7
Gucy1a2,1,2.00445370018718e-26
Hacd3,0.824047108567957,0.0410175490134181
Has2,1,8.83172939951665e-8
Heatr5a,1,1.8799194166887302e-21
Heatr6,1,0.0142844254956379
Herc4,1,5.53858645069078e-28
Herc6,0.320462731793061,0.0356650234572249
Hibadh,1,1.0354295575367e-21
Hipk1,1,5.75507161871292e-7
Hipk3,1,2.49039639964432e-5
Hnrnpa2b1,1,0.0147111981023765
Hps3,0.165458018976547,0.0140987013117756
Hspa4,1,2.0246265854682e-6
Hspb1,0.325513257895482,0.00493890837842156
Hsph1,0.436470011577723,2.34275269744907e-10
Ifi205,1,0.0388598585920151
Ifi211,0.459213230391635,0.0128035498609954
Igfbp4,0.196214637288462,0.0261906319816967
Il33,1,1.52556553236628e-6
Ints6,0.353238042046864,0.0529341620643618
Ipo11,1,7.8545393622781e-4
Jam2,1,8.24826627370833e-6
Kcnip2,0.146076795300829,1.99187646923515e-11
Klf6,1,0.00624187307864913
Klhl2,0.532488325254021,2.02910967011886e-5
Klhl33,0.240237940528165,0.02313707393364
Klhl5,0.355272566769426,1.26657736555748e-6
Klhl7,0.115026897670295,0.00401428872470384
