gene,padj_Aged,padj_Young
2610037D02Rik,4.61489447938357e-5,0.058481739118612
Ano1,2.23841600319479e-6,4.7012754323413395e-12
Atf7,0.0388982481570637,0.00232865566771388
Bptf,0.00236838127237701,6.7727686972057e-15
Eml6,4.49018479591165e-6,3.70331408873096e-6
Flt1,0.015177593730591,0.0329558477894799
Fmnl2,0.0321987959010726,0.0106460440607698
Gigyf2,3.3686155665391e-4,1.28319523216803e-8
Ipo7,0.0649629690730541,0.0738351977034424
Ltbp4,7.19608872709604e-5,5.60685967534821e-6
Macf1,3.2839200356274e-4,4.80574963718001e-6
Paxbp1,7.75596948700437e-6,0.0759146893586128
Pdcd6ip,1.0722068844369e-4,0.0822522749018893
Slc16a10,0.0012214225855093,0.0595092072128284
Sptlc2,0.00161456288859581,0.00271251135770732
Tcf25,1.248269057795e-4,1.09700484877152e-7
Ttc19,0.00334836799247288,0.0687039597420478
Txndc11,0.0489514572231398,1.33945203610343e-8
Xkr4,8.0915868557343e-4,1.04479865942914e-5
