gene,padj_Aged,padj_Young
Ankrd12,0.0131990793511644,0.0545669535971517
Bptf,0.0568094143367908,2.44786057924469e-5
Cav1,0.0809557705230015,3.44236007909341e-7
Colec12,8.3065050028456e-6,2.65586379070594e-5
Erc1,0.019939107300487,0.0200030997867881
Fhip1a,0.0542381054901515,0.00950584156386203
Fmo1,0.0378768236882771,0.00105079933160846
Frmd6,0.0422253040889409,1.55807369198189e-5
Hipk3,0.0107325912077404,0.0398494932167804
Mfn1,0.0854839996171966,0.00389353607593119
Prpf39,3.9964900359523e-5,0.00373647995189399
Raph1,0.0293997916267137,1.57346195503691e-5
Smchd1,0.068727591890254,0.00726691911089874
Tmem245,0.0952557707056552,3.44236007909341e-7
Ttc3,0.0736932924161048,0.00632081903659143
