"celltype","condition","group_id","n_genes_fit","median_r2_mcfadden","sex_terms","pct_sig_sex"
"Cardiomyocyte","F1_Aged","Cardiomyocyte__F1_Aged",6723,0.00117737706366361,"sexM",0.171377566200536
"Cardiomyocyte","F1_Young","Cardiomyocyte__F1_Young",6415,0.00120891497951786,"sexM",0.154169914263445
"Coronary_EC","F1_Aged","Coronary_EC__F1_Aged",1986,0.00927169713783849,"sexM",0.119838872104733
"Coronary_EC","F1_Young","Coronary_EC__F1_Young",1793,0.00775124737373595,"sexM",0.11266034578918
"Endocardial_EC","F1_Aged","Endocardial_EC__F1_Aged",2842,0.00662535137479614,"sexM",0.113652357494722
"Endocardial_EC","F1_Young","Endocardial_EC__F1_Young",2119,0.0077615069148832,"sexM",0.106182161396885
"Fibroblast","F1_Aged","Fibroblast__F1_Aged",4468,0.00340496710985239,"sexM",0.146920492721165
"Fibroblast","F1_Young","Fibroblast__F1_Young",3308,0.00375610519369785,"sexM",0.113966142684401
"M2","F1_Aged","M2__F1_Aged",1227,0.0114195955027581,"sexM",0.103673469387755
"M2","F1_Young","M2__F1_Young",1152,0.0123303171051143,"sexM",0.109375
"MacFib","F1_Aged","MacFib__F1_Aged",2730,0.00879001528038015,"sexM",0.0611256056653
"MacFib","F1_Young","MacFib__F1_Young",1643,0.0118903321163236,"sexM",0.0961655508216677
"Mesothelial","F1_Aged","Mesothelial__F1_Aged",1176,0.0136889552010174,"sexM",0.0918367346938776
"Mesothelial","F1_Young","Mesothelial__F1_Young",1383,0.0113778994625721,"sexM",0.0826086956521739
"Myeloid","F1_Aged","Myeloid__F1_Aged",668,0.0133140995651284,"sexM",0.137931034482759
"Myeloid","F1_Young","Myeloid__F1_Young",495,0.0160928261642191,"sexM",0.101010101010101
"Pericytes","F1_Aged","Pericytes__F1_Aged",2393,0.00516988144104402,"sexM",0.123276222315086
"Pericytes","F1_Young","Pericytes__F1_Young",2023,0.00645645014788632,"sexM",0.110726643598616
"Unknown_1","F1_Aged","Unknown_1__F1_Aged",1405,0.013896559659786,"sexM",0.0838150289017341
"Unknown_1","F1_Young","Unknown_1__F1_Young",796,0.0154713606043204,"sexM",0.0942211055276382
