"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.597315436241611,149,0.555518722828673,-2.18463666944061,0.0365925933608485,0.0878877659107119
"1110002E22Rik",0.484775641025641,520,-0.056413308905269,-0.595205565895412,0.275246641825422,0.430660294465874
"1110002L01Rik",0.94620253164557,158,4.12101540096138,-85.9306755086873,2.90162638722182e-39,9.95397501284918e-38
"1110004F10Rik",0.448630136986301,292,-0.217029236569366,-1.94568920935455,0.0485345738400582,0.110525129990761
"1110019D14Rik",0.533597883597884,504,0.14767716804226,-0.561586847145009,0.28923610040315,0.449043945809828
"1110038F14Rik",0.448717948717949,208,-0.365871442474957,-1.35909372357941,0.0992106171316249,0.193648657547532
"1110059E24Rik",0.420608108108108,296,-0.541893778829275,-4.32407948128275,0.00327392003425214,0.0110421645739892
"1500002F19Rik",0.59652076318743,297,0.630354403535169,-4.21424065039031,0.00369388735304985,0.0122842339916095
"1500004A13Rik",0.511232888217015,567,0.0777921606061542,-0.00550960589077931,0.916397682774231,1
"1500009L16Rik",0.524305555555556,192,0.163975735111118,-0.0690165021455584,0.710244355553404,0.853279609915641
"1600010M07Rik",0.494345738295318,595,-0.0601209924375734,-0.179144834057524,0.549457647732622,0.715398987254875
"1600014C10Rik",0.496739130434783,230,-0.0113153132278363,-0.0749540717359025,0.698623155137067,0.842735528432547
"1600020E01Rik",0.282873851294904,399,-1.40952049431127,-38.8473347982548,1.20265465155538e-18,1.98532236407962e-17
"1700025G04Rik",0.5531752828132,1229,0.480739577753879,0.808386960914277,1,1
"1700037C18Rik",0.557377049180328,122,0.326810316267103,-0.571964429208435,0.284823668074528,0.44369689914961
"1700037F03Rik",0.508620689655172,174,0.10153802646207,0.031289623471821,1,1
"1700081N11Rik",0.55886524822695,235,0.37255416795733,-1.042611681305,0.148730466450514,0.268082591255985
"1700087I21Rik",0.0970388155262105,357,-3.20858662181141,-178.483396814205,1.2884381790508e-79,9.95823002242276e-78
"1700109H08Rik",0.397473275024295,343,-0.691413442351803,-8.00677402655174,6.28908262179739e-05,0.000306336104926578
"1700120C14Rik",0.764592933947773,217,1.70231945135932,-28.4434577312418,4.61606964577776e-14,5.93428592738764e-13
