"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.494940476190476,64,-0.167944637314071,-0.373777252516376,0.387251595154648,1
"2210408F21Rik",0.457548115664999,77,-0.0773057261674489,0.40360509023931,1,1
"2610035D17Rik",0.989130434782609,23,4.52356195605701,0,1,1
"2610037D02Rik",0.542198581560284,47,0.341036917835067,-7.68019782287243,8.88308156606112e-05,0.000614696863769944
"2610307P16Rik",0.494293924466338,58,0.210566985939658,-0.371180014757641,0.388905923775525,1
"2700097O09Rik",0.649659863945578,28,1.14684138832927,-11.6319689761977,1.41223267311024e-06,1.65958230106328e-05
"4632427E13Rik",0.550819672131148,61,0.123735368422245,0.0712546200920485,1,1
"4732440D04Rik",0.432368082368082,74,-0.490050853695689,3.87699364677952,1,1
"4732471J01Rik",0.324242424242424,33,-1.08746284125034,-10.0587883811402,7.28243347436952e-06,7.05507945370628e-05
"4933431K23Rik",0.453846153846154,26,-0.556393348524385,3.69230238025586,1,1
"5031425E22Rik",0.575143513203215,67,0.159198594849254,13.792630706051,1,1
"5330438D12Rik",0.578095238095238,35,0.369233809665719,-13.6871462465922,1.67645130546772e-07,2.5415513684419e-06
"5430431A17Rik",0.624285714285714,35,0.823122237915921,-10.2971933955631,5.67622999890809e-06,5.71539127351522e-05
"9330159M07Rik",0.0795197740112994,59,-3.14684138832927,-5.62835646430692,0.000793355765600667,0.00447614929114467
"9530026P05Rik",0.557185990338164,92,0.358047520694014,0.872621459429126,1,1
"9630014M24Rik",0.544117647058824,34,0.163498732282879,-0.133741114059816,0.605025737280512,1
"AW554918",0.43030303030303,55,-0.70781924850669,2.25633193022317,1,1
"Aak1",0.454279279279279,74,-0.209923069374232,0.969921467507305,1,1
"Abca1",0.511428571428571,35,0,-8.53334322464917,3.60898564107009e-05,0.000284422439808143
"Abca8a",0.718939393939394,23,1.02974734339405,-14.2914331412958,8.97730337334212e-08,1.43781649189173e-06
"Abcc1",0.409313725490196,34,-0.485426827170242,0.469985971034404,1,1
"Abcc5",0.504678362573099,57,-0.39231742277876,4.15448226870193,1,1
"Abcd3",0.637996031746032,56,1.20511442990461,-1.03781904479632,0.149667336239809,0.478646263723448
"Abhd18",0.546675191815857,46,0.456378294659743,0.0541414932124766,1,1
"Abi1",0.587254901960784,68,0.888354644171091,4.36814972022114,1,1
"Ablim1",0.439077156237766,116,-0.27372900663003,-1.70413091436461,0.06487074284897,0.22842782854265
"Ablim3",0.395502645502645,63,-0.496425826119499,2.37790287112639,1,1
"Abra",0.376166666666667,50,-0.823122237915921,10.4398877528366,1,1
"Abtb2",0.617952380952381,50,0.777607578663552,-1.51675421685133,0.0815614780453686,0.279760095678933
"Acacb",0.450714004610109,77,-0.280900826627307,0.0584191033946979,1,1
"Acad10",0.485119047619048,28,-0.275634442613427,-0.158147562045649,0.573842692981216,1
"Acadl",0.448850574712644,58,-0.628031222613042,7.93110494804177,1,1
"Acadm",0.525850340136054,49,0.14086253583985,3.75353866700311,1,1
"Acat1",0.474814814814815,45,-0.0721497857558353,-14.381874364551,8.17673791626582e-08,1.33106569686098e-06
"Acer2",0.499594155844156,44,-0.0801703486839833,2.22777015162386,1,1
"Acer3",0.46969696969697,33,-0.415037499278843,6.25007210815917,1,1
"Ackr3",0.490185830429733,41,0.423807708906576,1.9709629338856,1,1
"Aco2",0.449517584811703,63,-0.104336659814735,-0.453213920754877,0.341063997399403,0.959423652741096
"Acot13",0.487931034482759,29,0.103093492964104,-16.840886137208,6.49060355348041e-09,1.41652073156177e-07
"Acox1",0.583784893267652,58,0.537028023657454,2.80442024735407,1,1
"Acsl1",0.488244047619048,48,-0.0614005446641435,2.02324528702698,1,1
"Acsm5",0.105654761904762,28,-2.10433665981474,0.166192662433232,1,1
"Acss1",0.54550505050505,60,0.339206086319198,-1.08451192109186,0.140815594487374,0.452523900731271
"Actc1",0.446728524743231,68,-0.471071534193172,-0.67040827869026,0.246890018012171,0.728128867554123
"Actn1",0.709145021645022,28,0.584962500721156,-20.3577058434515,1.76092874629597e-10,7.13715202070161e-09
"Actn2",0.486156049197812,82,-0.108524456778169,-0.347090336783197,0.404746008458869,1
"Actn4",0.555555555555556,45,0.0430687218918859,21.6351456698291,1,1
"Actr2",0.511904761904762,35,0.169925001442312,-0.406919766192367,0.366987521115578,1
"Actr3",0.509259259259259,45,0.0384741478146355,0.377752921726227,1,1
"Acvr2a",0.471920289855072,46,-0.331205908475373,4.29261445409401,1,1
"Acyp2",0.375322101379482,100,-0.575114714764809,-0.113199015563538,0.634207592385123,1
"Adam10",0.410544217687075,49,-0.745427172914402,11.2873992836063,1,1
"Adam17",0.548387096774194,31,0.473931188332412,0.600382309956032,1,1
"Adam19",0.288888888888889,42,-1.49880585697144,-1.56315859343315,0.0770375903152963,0.266091689839125
"Adam22",0.736111111111111,36,1.67807190511264,-5.8475985480145,0.00062661632049998,0.00363877196641217
"Adamts1",0.576543209876543,27,0.289506617194985,-12.1049948378723,8.63830582463006e-07,1.0927181762876e-05
"Adamts6",0.671052631578947,38,0.502500340529183,-0.0904008579323303,0.670685162023586,1
"Adamts9",0.54509867009867,74,-0.0220263063299992,0.76520819842068,1,1
"Adamtsl3",0.371428571428571,35,-0.54432051622381,-19.2980209636196,5.21245219130367e-10,1.61748907061392e-08
"Adamtsl5",0.470833333333333,48,0.0892673380970872,-10.0289649406537,7.51313460734199e-06,7.13927527759866e-05
"Adarb1",0.363888888888889,48,-0.765534746362977,3.37360051750371,1,1
"Adcy8",0.167391304347826,23,-2.32192809488736,-2.38032302322355,0.0291176169627391,0.112505033634241
"Adcy9",0.479138321995465,49,0.0384741478146355,0.00919672863361143,1,1
"Adgrf5",0.515272108843537,70,0.208946890271496,4.33705184633662,1,1
"Adgrl2",0.581563926940639,73,0.36476429279762,2.89442144359809,1,1
"Adgrl4",0.470386904761905,88,-0.158697746019058,0.689895588899375,1,1
"Adhfe1",0.660416666666667,32,1.04439411935845,-6.85381077262551,0.000213585950001118,0.00138805394290317
"Adipor2",0.577083333333333,40,0.356143810225275,12.0065389557099,1,1
"Adk",0.393111044058445,94,-0.416174822980542,0.216265763825874,1,1
"Adprhl1",0.442475292003594,53,-0.38060400221497,-1.41255383811687,0.0928006683617656,0.315046371566609
"Adra1a",0.344165882426752,55,-1.14135584924554,-4.32939941817378,0.00325485784593166,0.015766213858586
"Afap1",0.463541666666667,32,-0.295455883526171,-21.511133914963,5.4120351234309e-11,2.75597480900866e-09
"Afap1l1",0.482558139534884,43,-0.090197808971578,-13.3331113757886,2.41811937914654e-07,3.55732228665557e-06
"Aff1",0.463971346114203,77,-0.176322772640463,2.15690670819798,1,1
"Afg1l",0.417304421768707,56,-0.408084738637077,14.6975942578198,1,1
"Afg2a",0.488888888888889,45,-0.106915203916512,3.5244890047146,1,1
"Afg3l2",0.545687331536388,53,0.406625259462644,0.123756203155587,1,1
"Agap1",0.453294853294853,66,-0.244418727666447,1.35000610108978,1,1
"Agfg1",0.404545454545455,33,-0.465663572348812,-5.15335199909333,0.00132547805537255,0.00700106228183478
"Agl",0.513585858585859,55,-0.33703498727757,-2.64769247397606,0.0213820045113886,0.0852704035333689
"Agmo",0.832181259600614,31,1.65207669657969,-11.4303606286119,1.74175048620561e-06,2.0049304574511e-05
"Ago3",0.537760416666667,64,0.192645077942396,-37.1561793642538,6.6684726297861e-18,1.10301132009048e-14
"Agtpbp1",0.62831541218638,62,0.713695814843359,12.4395772712234,1,1
"Ahnak",0.515094339622642,53,-0.137503523749935,6.32034344935177,1,1
"Aig1",0.392857142857143,67,-0.25583890442959,1.4572268481091,1,1
"Airn",0.380976121486733,103,-0.539638510211666,4.36266227920868,1,1
"Akap10",0.553819444444444,48,0.18286405714981,4.38488220944908,1,1
"Akap13",0.447086466165414,76,-0.339206086319198,2.56432503355043,1,1
"Akap6",0.46410627521631,89,-0.12941640837781,-1.65383880657379,0.068956879231815,0.241958237021881
"Akt3",0.490644078144078,78,-0.101538026462062,1.79696402085597,1,1
"Aldh6a1",0.655172413793103,29,0.632268215499513,-14.8023468771076,5.29764991531114e-08,9.56466611982538e-07
"Alpk2",0.590185185185185,60,0.391578526454855,-1.26968409652953,0.11103921057037,0.364713326618673
"Alpk3",0.506166666666667,50,0,-1.21694665349901,0.118737667871427,0.389130376885567
"Ambra1",0.496532156368222,61,-0.149377624038226,8.40490281887612,1,1
"Amd1",0.492929292929293,36,0.112474729258413,-8.28966642873332,4.66566988264715e-05,0.000355019938196829
"Anapc1",0.502645502645503,45,-0.0759488532332984,11.8767637536657,1,1
"Anapc10",0.508620689655172,29,0.251538766995964,0.178142067959854,1,1
"Anapc16",0.408333333333333,40,-0.494764691749578,11.4181762558994,1,1
"Angpt1",0.502706608005521,46,0.100693999619473,-0.661196686374367,0.250162966444959,0.734946229822024
"Ank",0.558480056980057,75,0.132103536007345,0.970451483078179,1,1
"Ank2",0.509679006286778,89,0.0147591572724146,-0.523055683396876,0.306404376914163,0.87430904102231
"Ank3",0.47178416821274,70,0.176426567384267,-0.314470366914634,0.427744126049542,1
"Ankhd1",0.455637448885371,76,-0.155650870460194,7.65172131533451,1,1
"Ankib1",0.487179487179487,39,-0.459431618637297,0.649057956529063,1,1
"Ankrd1",0.226303854875283,42,-2.265344566521,3.08158712137004,1,1
"Ankrd10",0.586111111111111,30,0.637429920615292,-23.8121588119973,5.16241267124959e-12,4.10102062604067e-10
"Ankrd11",0.579632936507936,80,0.42592581542158,0.365746607366944,1,1
"Ankrd12",0.587797619047619,56,0.510194732319184,0.771899435512793,1,1
"Ankrd17",0.555324229035569,97,0.181112682074771,2.557792151399,1,1
"Ankrd23",0.696428571428571,28,0.921997487998727,-10.7721588388182,3.45745590066745e-06,3.61395127301345e-05
"Ankrd28",0.540909090909091,44,0.277533975528909,1.79177165299214,1,1
"Ankrd33b",0.5375,40,0.20945336562895,-12.5756835461759,5.30020671968042e-07,7.01747369685688e-06
"Ankrd44",0.537037037037037,54,0.243925582886089,18.3495881165773,1,1
"Anks1",0.504375,40,0.0395283641866377,-13.8746784601654,1.38094099384867e-07,2.12600683239028e-06
"Ano4",0.422106078203639,41,-0.68805599368526,-2.59597310943818,0.0226917906199848,0.0901317923425797
"Ano6",0.560030864197531,54,0.37851162325373,7.38321402943065,1,1
"Antxr2",0.477980804724991,43,0.0356239097307212,-2.97955680475148,0.0146414002827873,0.0604528502320489
"Anxa2",0.513888888888889,36,0.241008099503795,0.751057845455342,1,1
"Anxa3",0.488648947951274,43,-0.165059246270497,-6.0166187817582,0.000522602245593431,0.00312616885466432
"Anxa6",0.4625,32,0.222392421336448,-18.7153020846932,9.47240272364691e-10,2.85033209229739e-08
"Aopep",0.404746864381491,97,-0.3558754268107,-0.0595558829459435,0.729999854693139,1
"Aox1",0.866312056737589,47,2.37851162325373,0.153744909158235,1,1
"Ap1g1",0.456666666666667,50,-0.129283016944967,-0.748231958614213,0.221216248649789,0.660148111973339
