"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.533809523809524,70,0,7.10848862515154,1,1
"2210408F21Rik",0.550678119349005,79,0.071553261025034,1.78220497573777,1,1
"2310014F06Rik",0.303225806451613,31,-0.881355503501381,-12.3866555577401,6.44841784697662e-07,1.01421168417799e-05
"2610037D02Rik",0.452651515151515,44,-0.192645077942396,9.56182719155086,1,1
"2610307P16Rik",0.543817807706697,54,0.123382415505282,4.21047980841287,1,1
"4632427E13Rik",0.57037037037037,63,0.185555653156077,12.467203935234,1,1
"4732440D04Rik",0.399216027874564,82,-0.852442811586142,1.62545540971485,1,1
"4933431K23Rik",0.521739130434783,23,0.211504105193712,-3.41695763765597,0.00894429929073347,0.0402942930358922
"5031425E22Rik",0.49531746031746,70,0.195256291398934,3.27602259269645,1,1
"5330438D12Rik",0.586274509803922,34,0.447458976971221,-10.4481126328286,4.8484909461063e-06,5.65310815528347e-05
"5430431A17Rik",0.536904761904762,28,0.334419039070559,-25.0175384549414,1.51021989146388e-12,2.25652022116229e-10
"9330159M07Rik",0.0927884615384615,52,-4,-2.74767169486986,0.0190671828372804,0.080821415667243
"9530026P05Rik",0.567260864135864,88,0.572787786775054,0.208986372631117,1,1
"A330102I10Rik",0.230769230769231,13,-1.77760757866355,-2.35525773983177,0.0299786611733087,0.121335755042308
"AU040320",0.682291666666667,32,0.91253715874966,-15.0853968593882,3.95622582937148e-08,9.45801721608409e-07
"AW554918",0.443650793650794,42,-0.175086706558091,-8.73322413227331,2.9242316132123e-05,0.000254521712742216
"Aak1",0.492047619047619,75,-0.210566985939658,8.38685529621507,1,1
"Abca8a",0.669047619047619,27,0.854149133536545,-35.6389217702824,3.10300854610253e-17,2.78184716158092e-14
"Abcc5",0.364870509607352,57,-0.551015168797818,5.97610205413793,1,1
"Abcd3",0.580555555555555,60,0.46948528330122,11.8764462906243,1,1
"Abhd18",0.431388888888889,60,-0.100928908850781,2.24916496185274,1,1
"Abi1",0.558095238095238,70,0.489805267680816,27.2590682254547,1,1
"Abl2",0.472222222222222,30,-0.719892080807265,-10.4660130065324,4.75871830218334e-06,5.61340915514127e-05
"Ablim1",0.489748954394032,124,-0.260460462169967,-1.73724343790201,0.0623220480400046,0.226660105751984
"Ablim3",0.428739316239316,78,-0.45567948377619,-9.7138153819126,1.0448442804898e-05,0.000107666999707943
"Abra",0.33844696969697,44,-1.4594316186373,-6.67759888475691,0.000257707364062494,0.00171747123169
"Abtb2",0.516250944822373,63,0.296393002780225,12.0103866532789,1,1
"Acacb",0.505051892551893,78,0.110182917750423,-0.68165111938302,0.242965993700489,0.768321034753046
"Acadl",0.277293844367015,41,-1.03242147769238,-11.0244739389237,2.6578532713339e-06,3.42843950755517e-05
"Acadm",0.445454545454545,44,-0.277533975528909,-12.4680760783974,5.92606593669604e-07,9.57246506711352e-06
"Acat1",0.57051282051282,39,0.400537929583729,-9.10548913943737,1.97735766790576e-05,0.000181815502490002
