"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1600010M07Rik",0.401595744680851,0.382352941176535,10.0218597840487,56.3682623966085,80.2804474256718,0.395348837209302,47
"1700025G04Rik",0.531659226190476,0.499999999990678,1.04616154340879,1.49366479755101,1.67455033894914,0.848837209302326,64
"2210408F21Rik",0.508689876431812,0.524590163921425,0.308746709398473,0.46076162079136,0.524663490704222,1.41860465116279,93
"2610035D17Rik",0.828070175438597,0.842105263108615,1e-06,1e-06,119.858664324453,0.331395348837209,38
"2610037D02Rik",0.36875,0.364583333335092,2.70727504293767,9.944248538802,13.6179627433597,0.558139534883721,64
"2610307P16Rik",0.362535564540282,0.365461847389558,0.645008438376036,0.578838362048764,0.509974230711044,1.44767441860465,106
"3222401L13Rik",0.400574712643678,0.382978723404255,0.997723789841335,76.4660640579756,116.21048870644,0.273255813953488,29
"4632427E13Rik",0.457291666666667,0.480916030534354,11.7759577364216,6.10000954649743,2.48669242689254,0.761627906976744,80
"4732440D04Rik",0.323800897170462,0.362445414847163,0.810815670287484,0.684681972338982,0.575464510318997,1.33139534883721,92
"4930523C07Rik",0.450793650793651,0.461538461609647,998.999999999999,391.965512102894,19.2419921518209,0.52906976744186,63
"5031425E22Rik",0.498717332050665,0.497737556555778,0.95622308115582,0.761384500094939,0.608278539407961,1.28488372093023,99
"5330438D12Rik",0.467509920634921,0.540540540540755,998.999999999999,417.475940908281,58.2049204139153,0.430232558139535,48
"5430431A17Rik",0.414516129032258,0.448979591836735,2.82622981665766,81.5706218459978,122.946316472459,0.284883720930233,31
"6720427I07Rik",0.577777777777778,0.563636363636363,998.999999999999,461.497973586758,125.441238324843,0.319767441860465,45
"9330159M07Rik",0.117407407407407,0.0957446810463735,1e-06,1e-06,15.0983862661743,0.546511627906977,45
"9530026P05Rik",0.480580810592123,0.512908777968359,0.310423540547598,0.244335418524544,0.193135975708879,3.37790697674419,130
"AU040320",0.583333333333333,0.528571428571429,27.2356473710244,57.7994025266353,72.4822786504868,0.406976744186047,48
"AW554918",0.426337448559671,0.406451613067719,1.89731179549758,1.62721742085464,1.3848625660634,0.901162790697674,81
"Aak1",0.529829290206649,0.493273542590767,0.841520196388625,0.712146937078795,0.599604041326277,1.29651162790698,106
"Abca1",0.420659117305459,0.441176470631792,1.60806227719897,1.30875889633187,1.06623496688881,0.988372093023256,82
"Abca8a",0.702118644067797,0.672131147540967,0.946659523797885,0.938766727619749,0.884747191515122,1.06395348837209,59
"Abca8b",0.454411764705882,0.455882352941178,893.63357037553,391.917013254133,80.2804474256718,0.395348837209302,34
"Abca9",0.59375,0.683333333333333,5.75305692044148,75.4845217162374,111.953253154077,0.348837209302326,36
"Abcc1",0.618518518518518,0.641791044531471,2.66630961355254,56.2029416938801,84.2941667045924,0.38953488372093,45
"Abcc4",0.596491228070175,0.636363636363627,998.999999999999,461.497973586758,125.441238324843,0.319767441860465,38
"Abcc5",0.463703703703704,0.493506493504672,2.77895672225277,1.98005820613817,1.41241400126842,0.895348837209302,90
"Abcc9",0.355555555555556,0.448979591836738,0.831794695711866,80.8132414203222,122.946316472459,0.284883720930233,30
"Abcd3",0.576904761904762,0.5859375,0.886570374414595,2.1257354087249,2.73249573043203,0.744186046511628,70
"Abcg2",0.495726495726496,0.472727272727278,998.999999999999,461.497973586758,125.441238324843,0.319767441860465,39
"Abhd17b",0.422413793103448,0.443181818181818,998.999999999999,394.911698477274,23.7418008076242,0.511627906976744,58
"Abhd18",0.415277777777778,0.454545454545455,0.852556725274812,2.60920468723664,3.49064239164671,0.703488372093023,54
"Abhd6",0.372222222222222,0.422222222222222,998.999999999999,449.220381537476,106.689262734905,0.261627906976744,30
"Abi1",0.692641650385013,0.722991689750388,0.361730938877756,0.342409826275411,0.313169996782213,2.09883720930233,113
"Abi2",0.375,0.368421052874788,998.999999999999,458.74725207123,121.23996966346,0.331395348837209,36
"Abl2",0.506410256410256,0.535211267513839,998.999999999999,424.367853040957,68.7311675445547,0.412790697674419,52
"Ablim1",0.461992353058154,0.449022346442011,0.086836872321157,0.0980204989508571,0.099344589451338,8.32558139534884,155
"Ablim3",0.551587301587302,0.527777777876399,2.74087525874698,43.6612424409505,65.0955633047384,0.418604651162791,42
"Abra",0.472682823129252,0.447204968944122,1.10670341246315,1.23110623097348,1.23842160421154,0.936046511627907,56
"Abtb2",0.465599876314162,0.512987012987012,0.780351202727756,1.22109408479955,1.41241400126842,0.895348837209302,70
"Acaca",0.504807692307692,0.539473684197417,6.83085747747228,36.5459328759376,51.8559241422481,0.441860465116279,52
"Acacb",0.502313883299799,0.476190476190476,0.409684349384672,0.589701248260231,0.663053450533017,1.22093023255814,71
"Acadl",0.440104166666667,0.448275862071085,1.16398003539865,3.25012912686747,4.28892213257104,0.674418604651163,64
"Acadm",0.560869565217391,0.592592592592593,3.87899636674718,26.4942582623387,38.2157458932986,0.47093023255814,46
"Acap2",0.443989071038251,0.43478260871556,1.32990330979991,12.2531967865943,17.9433719723744,0.534883720930233,61
"Acat1",0.530503144654088,0.528735632205047,0.618058110668359,16.9033442303282,25.4585673836002,0.505813953488372,53
"Acbd5",0.424731182795699,0.444444444444445,26.7271930364005,80.0028599057297,106.689262734905,0.261627906976744,31
"Acbd6",0.441869918699187,0.415384615384616,998.999999999999,439.890788373039,92.4398641084215,0.377906976744186,41
"Acer2",0.58010101010101,0.572254335260112,0.595724229468628,0.441342907799177,0.328557681420139,2.01162790697674,105
"Acer3",0.594339622641509,0.609756097560976,3.37101502543469,24.7187476958263,35.7985785993399,0.476744186046512,53
"Acin1",0.529569892473118,0.590361445634665,998.999999999999,401.297103238068,33.4944423456102,0.482558139534884,62
"Ackr3",0.583786848072562,0.639484978540773,0.536529539336134,0.570879748252457,0.560736536015962,1.3546511627907,84
"Aco2",0.536235827664399,0.539999999961741,0.918375924947973,1.35271662219175,1.5333911511577,0.872093023255814,70
"Acox1",0.508563748079877,0.539062499954917,2.12686475346111,2.5967332741856,2.73249573043203,0.744186046511628,62
"Acsl1",0.457,0.442105263198312,0.543494582434473,9.75206184220643,14.579422262518,0.552325581395349,50
"Acss1",0.530324488729661,0.53333333331453,0.445459045698323,0.670280873614123,0.765376074461609,1.13372093023256,58
"Actc1",0.405235124352771,0.455555555555554,0.280175915029447,0.404952207108347,0.455994973606402,1.56976744186047,68
"Actc1dt",0.335416666666667,0.444444444445604,0.593158307489454,66.0565838005454,100.546390506356,0.366279069767442,32
"Actn1",0.602452222574174,0.560386473135987,0.492217727730093,0.632475344558952,0.680514394172919,1.20348837209302,82
"Actn2",0.495458055796335,0.505730659025802,0.106164503412573,0.147773142571285,0.16412343444125,4.05813953488372,76
"Actn4",0.617283950617284,0.579710144927295,998.999999999999,429.347680797689,76.3370244716702,0.401162790697674,54
"Actr1a",0.534722222222222,0.549019607843137,998.999999999999,462.322264054563,126.70020463267,0.296511627906977,36
"Actr2",0.515777777777778,0.537735849056604,2.41273665977188,5.6343947312503,7.20621162352861,0.616279069767442,75
"Actr3",0.564084507042254,0.572727272727273,2.81890977213015,4.84276196004636,5.76154409914198,0.63953488372093,71
"Acvr1",0.525093632958802,0.51515151515148,2.85423900119631,1.84069744056711,1.15589993686564,0.959302325581395,89
"Acvr2a",0.581666666666667,0.571428571428566,5.6323701130074,49.5956263527048,72.4822786504868,0.406976744186047,50
"Acyp2",0.380033088083742,0.430747922437673,0.178199006973737,0.172156162549267,0.15958442155548,4.19767441860465,121
"Adam10",0.482329317269076,0.480916030554183,998.999999999999,380.995215469375,2.48669242689254,0.761627906976744,83
"Adam17",0.509803921568627,0.547945205488173,998.999999999999,419.688728858717,61.5845852102142,0.424418604651163,51
"Adam19",0.467320261437908,0.435294117647059,2.01021237593292,19.9074024829767,29.239316214292,0.494186046511628,51
"Adam9",0.485507246376812,0.453125000000219,12.5363932459428,67.9525223290305,96.5150443545591,0.372093023255814,46
"Adamts1",0.615384615384615,0.640449438202237,998.999999999999,393.860548875207,22.1363449820665,0.517441860465116,52
"Adamts12",0.25632183908046,0.277777778609272,0.927942001372933,83.3372735253671,126.745589403614,0.313953488372093,29
"Adamts5",0.508786848072562,0.604395604395609,1.90721068130811,13.3226807160495,19.2419921518209,0.52906976744186,42
"Adamts6",0.442528735632184,0.44,5.03411138689937,83.8841510146535,125.199275378646,0.290697674418605,29
"Adamts9",0.56750590287097,0.517906335939736,0.521268665912929,0.401743315844137,0.311260131503113,2.11046511627907,72
"Adamtsl1",0.546666666666667,0.608695652173912,1.32049100527661,73.6854001446728,111.776283037903,0.267441860465116,20
"Adamtsl3",0.667919799498747,0.646153844533379,0.58719479349531,60.7466851300625,92.4398641084215,0.377906976744186,38
"Adamtsl5",0.328014184397163,0.329545454545455,1.08209920106345,15.955533616919,23.7418008076242,0.511627906976744,47
"Adarb1",0.432608695652174,0.449152542607137,998.999999999999,381.94159423989,3.93212826905902,0.686046511627907,69
"Adck1",0.655238095238095,0.653846153846137,998.999999999999,462.802994252735,127.434439888679,0.302325581395349,35
"Adcy6",0.442176870748299,0.410256411084954,20.345164070208,37.8860818463554,46.0644805126128,0.453488372093023,49
"Adcy9",0.554411764705882,0.556603773551043,1.17610023031286,5.16478596056966,7.20621162352861,0.616279069767442,68
"Add1",0.524390243902439,0.518518518141137,998.999999999999,462.351979094466,126.745589403614,0.313953488372093,41
"Adgra2",0.614814814814815,0.624999999999996,998.999999999999,442.558955273609,96.5150443545591,0.372093023255814,45
"Adgrf5",0.521816953731847,0.5183486237543,0.639570284893653,0.650094468476274,0.62196018628111,1.26744186046512,94
"Adgrg6",0.398214285714286,0.387096774193548,2.68216976266356,11.976805149379,16.73691526914,0.540697674418605,56
"Adgrl2",0.559890970277,0.582159623817401,0.583598620826265,0.645089343363743,0.646779257018323,1.23837209302326,96
"Adgrl4",0.570704688393368,0.575438596489493,0.851976852879439,0.600013451625091,0.422273970445314,1.65697674418605,106
"Adh6b",0.78,0.833333333333333,3.3774763641096,59.036412589448,88.2093445371001,0.244186046511628,25
"Adipor2",0.518137254901961,0.53846153845349,2.52064625472756,6.27270704629093,8.11853973429303,0.604651162790698,68
"Adk",0.458760123425888,0.474240422724063,0.110268147880109,0.142448047640353,0.153610125658903,4.40116279069767,118
"Adprhl1",0.506900352733686,0.555555555535835,0.81104663052351,2.99476987332146,4.10360480748267,0.680232558139535,54
"Adra1a",0.390910794858163,0.37552742616043,0.440055232974528,0.525208017847096,0.546935677466571,1.37790697674419,57
"Adss2",0.623015873015873,0.639344262295073,10.5029964480349,74.9047435021673,108.312773635783,0.354651162790698,42
"Aebp2",0.36247723132969,0.349514563110217,2.10897086990355,6.45240233600185,8.63176606330944,0.598837209302326,61
"Afap1l1",0.642342342342342,0.627118644067796,0.990697087154865,2.950719716025,3.93212826905902,0.686046511627907,74
"Aff1",0.529383794785416,0.451410658307211,1.16991714410426,0.681491068172556,0.362312081208416,1.8546511627907,118
"Aff4",0.558743169398907,0.511904761892194,998.999999999999,399.865171529026,31.3074053153335,0.488372093023256,61
