"","AR","N","log2FC","llr","pval","padj"
"1600010M07Rik",0.401595744680851,47,-0.691877704637668,-3.61635909511924,0.00715867371021665,0.0281007606138615
"1700025G04Rik",0.531659226190476,64,0,-4.59786476822369,0.00242580390376434,0.010429855816185
"2210408F21Rik",0.508689876431812,93,0.142019004872428,-0.143363482061815,0.592325643692995,1
"2610035D17Rik",0.828070175438597,38,2.41503749927884,-7.17371784143139,0.000151986561865857,0.00084861652028048
"2610037D02Rik",0.36875,64,-0.80145432061792,-0.162300079786178,0.568856144189003,1
"2610307P16Rik",0.362535564540282,106,-0.795986107978407,6.52676016238412,1,1
"3222401L13Rik",0.400574712643678,29,-0.688055993685259,-26.3888508832423,3.73517818009662e-13,1.86234673470782e-11
"4632427E13Rik",0.457291666666667,80,-0.110182917750423,45.646584914359,1,1
"4732440D04Rik",0.323800897170462,92,-0.814785127533092,14.0246063475978,1,1
"4930523C07Rik",0.450793650793651,63,-0.222392421336448,13.52416606969,1,1
"5031425E22Rik",0.498717332050665,99,-0.0130561528254464,22.0550903042751,1,1
"5330438D12Rik",0.467509920634921,48,0.234465253637023,-16.9475542393552,5.81647526377031e-09,8.18337757407684e-08
"5430431A17Rik",0.414516129032258,31,-0.295455883526171,-18.4114007979844,1.29368327738485e-09,2.17553128658446e-08
"6720427I07Rik",0.577777777777778,45,0.369233809665719,6.42546147043462,1,1
"9330159M07Rik",0.117407407407407,45,-3.23946593469539,-5.29478736213604,0.00113727134576209,0.00527263485261966
"9530026P05Rik",0.480580810592123,130,0.0745102776302792,0.864704466231473,1,1
"AU040320",0.583333333333333,48,0.165059246270496,10.8989052647852,1,1
"AW554918",0.426337448559671,81,-0.546282032557096,16.6273464325445,1,1
"Aak1",0.529829290206649,106,-0.0388192488905279,7.96619313489656,1,1
"Abca1",0.420659117305459,82,-0.341036917835067,7.78910841166311,1,1
"Abca8a",0.702118644067797,59,1.03562390973072,-3.45880311958707,0.00853511524485742,0.0330924932140311
"Abca8b",0.454411764705882,34,-0.255257055242075,-16.28178778094,1.1535653756269e-08,1.48345375453921e-07
"Abca9",0.59375,36,1.1096244911745,-13.7441550773672,1.58046905617773e-07,1.56523822409418e-06
"Abcc1",0.618518518518518,45,0.841302253980942,-2.89479803044331,0.0161212930526164,0.0595022270851114
"Abcc4",0.596491228070175,38,0.807354922057604,1.04451963330484,1,1
"Abcc5",0.463703703703704,90,-0.0374747054186628,17.6119677578711,1,1
"Abcc9",0.355555555555556,30,-0.295455883526171,-20.979259307358,9.32303411119724e-11,2.20800524533521e-09
"Abcd3",0.576904761904762,70,0.500898235932682,-2.54475415631325,0.0240710154383351,0.0847705401186472
"Abcg2",0.495726495726496,39,-0.15754127698648,4.02931057649133,1,1
"Abhd17b",0.422413793103448,58,-0.32930762525296,21.2421381464848,1,1
"Abhd18",0.415277777777778,54,-0.263034405833794,-10.6504175108211,3.92560462580716e-06,2.94368557956305e-05
"Abhd6",0.372222222222222,30,-0.452512204697507,1.10254385620078,1,1
"Abi1",0.692641650385013,113,1.38404980679516,0.802633839245118,1,1
"Abi2",0.375,36,-0.777607578663552,-11.7253276218831,1.28159065475343e-06,1.02599454670683e-05
"Abl2",0.506410256410256,52,0.203533394085132,7.83309804932607,1,1
"Ablim1",0.461992353058154,155,-0.295206562685511,-3.16031730877955,0.0119340910754079,0.0450420807919113
"Ablim3",0.551587301587302,42,0.160464672193247,-9.52865918308855,1.2685037336178e-05,8.66607598784084e-05
"Abra",0.472682823129252,56,-0.305808429524085,-0.920376572114805,0.174862699794339,0.512329683314959
"Abtb2",0.465599876314162,70,0.074962057681222,-3.65403620928673,0.00686455231933869,0.0270583324432185
"Acaca",0.504807692307692,52,0.228268987673117,-6.6550862440146,0.000263970078399054,0.00140224852861703
"Acacb",0.502313883299799,71,-0.137503523749935,-2.54716471242614,0.024004193265337,0.0846400958561881
"Acadl",0.440104166666667,64,-0.299560281858908,-7.46658536032503,0.000111387196089129,0.000636946501580091
"Acadm",0.560869565217391,46,0.540568381362703,-17.3495661289576,3.84803069868505e-09,5.63716662147573e-08
"Acap2",0.443989071038251,61,-0.37851162325373,0.432610609054464,1,1
"Acat1",0.530503144654088,53,0.166009951438929,-22.2732399985419,2.48389681756991e-11,7.05923475553367e-10
"Acbd5",0.424731182795699,31,-0.321928094887363,-4.27992212386107,0.00343658821168596,0.0142998297183184
"Acbd6",0.441869918699187,41,-0.493040011280117,-1.02577652698911,0.152051016481489,0.44919853309812
"Acer2",0.58010101010101,105,0.41990325445066,1.4454653800106,1,1
"Acer3",0.594339622641509,53,0.643856189774725,-18.8547679192415,8.21022288113223e-10,1.440336631369e-08
"Acin1",0.529569892473118,62,0.527247002864869,10.4488041506521,1,1
"Ackr3",0.583786848072562,84,0.826851097683401,11.4476081178846,1,1
"Aco2",0.536235827664399,70,0.231325546106456,-2.70878120768387,0.0199351728032874,0.0722650014119169
"Acox1",0.508563748079877,62,0.225881407416328,-1.59679614044347,0.0739273919977024,0.233446275619411
"Acsl1",0.457,50,-0.335603031784439,-25.0691583790817,1.43281678307616e-12,5.98833131985656e-11
"Acss1",0.530324488729661,58,0.192645077942396,-4.58290205703497,0.00246579264818349,0.0105380191069736
"Actc1",0.405235124352771,68,-0.257157839497124,4.2734789136393,1,1
"Actc1dt",0.335416666666667,32,-0.321928094887362,-36.5638637530839,1.21525225441161e-17,2.3664350362453e-15
"Actn1",0.602452222574174,82,0.350186354928876,1.62859640527208,1,1
"Actn2",0.495458055796335,76,0.0330718216056489,-2.31642362422912,0.0313654708989812,0.10752794727974
"Actn4",0.617283950617284,54,0.46394709975979,14.4199975286698,1,1
"Actr1a",0.534722222222222,36,0.283792966000592,7.37793551473764,1,1
"Actr2",0.515777777777778,75,0.218180170049533,28.3163474065235,1,1
"Actr3",0.564084507042254,71,0.422691071822279,10.5041420607371,1,1
"Acvr1",0.525093632958802,89,0.0874628412503395,11.7523867153691,1,1
"Acvr2a",0.581666666666667,50,0.415037499278843,3.97589607419422,1,1
"Acyp2",0.380033088083742,121,-0.40222381355108,-0.465851804507992,0.334420634275932,0.929964229561837
"Adam10",0.482329317269076,83,-0.110182917750423,17.9418916685655,1,1
"Adam17",0.509803921568627,51,0.277533975528909,4.02360398316056,1,1
"Adam19",0.467320261437908,51,-0.375509135092206,-9.29212848429607,1.62557470654845e-05,0.000108959512170064
"Adam9",0.485507246376812,46,-0.271302021817394,1.74193521340199,1,1
"Adamts1",0.615384615384615,52,0.832890014164742,16.5458567123157,1,1
"Adamts12",0.25632183908046,29,-1.37851162325373,-18.8932228614594,7.89282685265973e-10,1.40196336970368e-08
"Adamts5",0.508786848072562,42,0.611434712082347,-16.4736711096589,9.46891055053123e-09,1.23443320112889e-07
"Adamts6",0.442528735632184,29,-0.347923303420307,-1.95204904796368,0.0481684753278528,0.158259892348853
"Adamts9",0.56750590287097,72,0.103377739845308,2.17481566405078,1,1
"Adamtsl1",0.546666666666667,20,0.637429920615292,-26.4608556165182,3.47111409787592e-13,1.76159040467203e-11
"Adamtsl3",0.667919799498747,38,0.868755466721748,-27.6525505603542,1.03200423057512e-13,6.37599135498805e-12
"Adamtsl5",0.328014184397163,47,-1.02466205423427,-19.4180423633664,4.60927981501596e-10,8.61814028570747e-09
"Adarb1",0.432608695652174,69,-0.294447358465255,37.3021314744439,1,1
"Adck1",0.655238095238095,35,0.917537839808027,-4.14124646837653,0.00400291339403028,0.0163923341006254
"Adcy6",0.442176870748299,49,-0.523561956057013,-2.29884573187364,0.0320150381641075,0.10949066000288
"Adcy9",0.554411764705882,68,0.328054197684204,13.2572980949094,1,1
"Add1",0.524390243902439,41,0.106915203916512,0.358622533526471,1,1
"Adgra2",0.614814814814815,45,0.736965594166206,5.98830721949115,1,1
"Adgrf5",0.521816953731847,94,0.105933444749065,2.4531838432446,1,1
"Adgrg6",0.398214285714286,56,-0.662965012722429,-8.05159551717459,5.99828804962081e-05,0.00035964419065448
"Adgrl2",0.559890970277,96,0.478462879420477,27.0911924259922,1,1
"Adgrl4",0.570704688393368,106,0.438688767343489,3.49079920343449,1,1
"Adh6b",0.78,25,2.32192809488736,-4.74929493918025,0.00205629867854357,0.00896816481976914
"Adipor2",0.518137254901961,68,0.222392421336448,6.28523112071399,1,1
"Adk",0.458760123425888,118,-0.148784586720597,-1.60876810041191,0.0728532081603384,0.230823653948363
"Adprhl1",0.506900352733686,54,0.321928094887363,-13.7440386896933,1.58065929034142e-07,1.56523822409418e-06
"Adra1a",0.390910794858163,57,-0.733719934662552,-3.41962991875145,0.0089175780536287,0.0343411339138384
"Adss2",0.623015873015873,42,0.825970600224951,4.30244782732505,1,1
"Aebp2",0.36247723132969,61,-0.89616418901546,-1.27667580902686,0.110060553157363,0.334895173525937
"Afap1l1",0.642342342342342,74,0.750021746991652,12.9485541945593,1,1
"Aff1",0.529383794785416,118,-0.281286110390016,4.74509412067869,1,1
"Aff4",0.558743169398907,61,0.0687127500840141,10.2821478191199,1,1
"Afg1l",0.405935127674258,69,-0.600904044590178,-3.5387829790468,0.00780549650620291,0.0305133714864218
"Afg2a",0.462885154061625,68,0,17.0545594032233,1,1
"Afg3l2",0.4625,56,-0.243271151012364,-22.6357476105449,1.71527555345995e-11,5.26898965035182e-10
"Aftph",0.554597701149425,58,0.467126010427298,13.7213499131267,1,1
"Agap1",0.473544973544973,117,0.0213736507925668,8.12431943281173,1,1
"Agfg1",0.422043010752688,62,-0.431716240425474,-5.8745832197356,0.000608704931808534,0.00303498143192957
"Agl",0.552529761904762,64,0.0692626624371138,-9.31301938443352,1.59033494677774e-05,0.00010684945434379
"Agmo",0.789308176100629,53,1.62148837674627,-13.8812139419065,1.37164222513195e-07,1.40223280713129e-06
"Ago2",0.462365591397849,62,-0.0339473319233377,11.8637604200058,1,1
"Ago3",0.56997084548105,98,0.466318004222537,10.7044664766097,1,1
"Agpat4",0.502604166666667,32,0,4.39538510255437,1,1
"Agps",0.43179012345679,54,-0.521952703195356,-16.5886410933446,8.4127685084055e-09,1.12778717457021e-07
"Agrn",0.421985815602837,47,-0.454565863465481,9.74185906901627,1,1
"Agtpbp1",0.595662100456621,73,0.824150164600582,6.55706592742837,1,1
"Ahnak",0.535596001221001,104,0.237039197300849,9.088995912315,1,1
"Ahsg",0.612741312741313,37,0.506959988719883,-1.63112015258741,0.0708922114779052,0.224861233281481
"Aig1",0.527170138888889,96,0.0391705972806778,3.37599970167095,1,1
"Airn",0.322443523473648,161,-0.871170019655048,-64.1923455528811,9.24661339910357e-30,2.62788752802523e-26
"Akap10",0.39957264957265,78,-0.38060400221497,15.8061283870693,1,1
"Akap11",0.557407407407407,45,0.237039197300849,9.68790598296113,1,1
"Akap13",0.483517903285345,129,0.0894350835819444,7.21610505406858,1,1
"Akap6",0.415498845771218,84,-0.281867518192286,-3.78387062780388,0.00594222063469511,0.0236855414359095
"Akt3",0.457658617424242,128,-0.381870635343644,2.45172385296877,1,1
"Alcam",0.283796296296296,36,-1.01936532486693,19.0070496250046,1,1
"Aldh1a1",0.645161290322581,31,0.857980995127572,1.24559733110001,1,1
"Alkbh3",0.595588235294118,34,0.559427408614019,3.84189547667327,1,1
"Alpk1",0.364341085271318,43,-0.969626350956481,-16.8264297987516,6.58779619204317e-09,9.17770430283661e-08
"Alpk2",0.574204514882481,59,0.328948522565134,-6.98818568536797,0.00018512256413861,0.00101763699667684
"Alpk3",0.527880658436214,54,0.199308808223407,-16.0821126719864,1.41675558596787e-08,1.78951972236475e-07
"Ambra1",0.482142857142857,98,-0.279154071197071,11.4726313923707,1,1
"Amd1",0.404504504504504,37,-0.438121112391885,-27.9403565230801,7.70043049836112e-14,4.8632496614094e-12
"Amfr",0.489583333333333,32,-0.308122295362332,-9.51166873498971,1.29129449447029e-05,8.80062099109011e-05
"Ammecr1l",0.613636363636364,33,0.658963082164933,-7.67221947147426,8.95842251706728e-05,0.000520651059171886
"Amotl1",0.641812865497076,57,0.557995453120887,-13.8771422426668,1.37742809610164e-07,1.40272953344919e-06
"Anapc1",0.410109289617486,61,-0.274174963438994,3.65081295920166,1,1
"Anapc16",0.451851851851852,45,-0.18057224564182,4.75755693815299,1,1
"Anapc5",0.488636363636364,44,0.192645077942396,8.33530978204172,1,1
"Angel2",0.404255319148936,47,-0.547487795302493,6.49249361774231,1,1
"Angpt1",0.542962851102386,43,0.624490864907794,20.7254236611896,1,1
"Ank",0.482187653616225,91,-0.445237737054543,-0.368886672968884,0.390375089719306,1
"Ank2",0.471885088745495,107,-0.0351894284622998,-0.890905307410208,0.181927150462839,0.530838769625657
"Ank3",0.517309616906391,62,0.327804661224032,-3.92561522111941,0.00507861308373333,0.0205311783555763
"Ankhd1",0.542877320419693,118,0.0768155970508308,13.2644592186843,1,1
"Ankib1",0.498809523809524,70,0,14.3019096252065,1,1
"Ankrd1",0.462780737780738,33,-0.0443941193584534,-8.27408311623799,4.74298296231274e-05,0.000290507706441655
"Ankrd10",0.5,37,0.169925001442313,5.06580931658819,1,1
"Ankrd11",0.535226137498865,132,0.0890835435824252,6.33936367707469,1,1
"Ankrd12",0.518862433862434,90,0.1426043954428,18.8127220088928,1,1
"Ankrd17",0.528059183045333,133,0.0487031915756815,1.80462206141351,1,1
"Ankrd23",0.788172043010753,31,1.8073549220576,-17.3357445134501,3.90306205695864e-09,5.65943998259002e-08
"Ankrd28",0.532242063492063,56,-0.0995356735509145,-8.41526597249243,4.08704321740215e-05,0.000252508191822976
"Ankrd33b",0.545647321428571,64,0.186413124230881,1.85529275780624,1,1
"Ankrd44",0.415422885572139,67,-0.235628248493142,-1.7752173972947,0.0595298493679714,0.191601168633946
"Ankrd6",0.364864864864865,37,-0.84799690655495,5.7496130446298,1,1
"Anks1",0.513285024154589,69,-0.0727563424353141,4.30531773260532,1,1
"Ano4",0.48202947845805,42,-0.282399730700725,-19.8537465208167,2.94991557204695e-10,5.94585819557265e-09
"Ano6",0.452886002886003,99,0.040641984497346,5.26039682006561,1,1
"Antxr2",0.50045045045045,74,0.0681715026415795,3.82508283376976,1,1
"Anxa1",0.510526315789474,38,-0.249978253008348,-12.167580641937,8.09478992889663e-07,6.78625161590685e-06
"Anxa2",0.431538461538462,65,-0.760329587231717,-2.7424395701494,0.0191816460121383,0.0697113017474387
"Anxa3",0.49673721340388,81,-0.0537712564409809,4.93222458970963,1,1
"Anxa6",0.469540229885057,58,0,10.2915220621691,1,1
"Anxa7",0.563636363636364,55,0.357552004618084,12.4047564507104,1,1
"Aopep",0.452818306494566,142,-0.175340344927396,0.429987632953157,1,1
"Aox1",0.694848484848485,55,1.15919859484925,-11.5459287561414,1.54443352911905e-06,1.22264069352545e-05
"Ap1b1",0.506666666666667,25,0.234465253637023,-8.77231006725755,2.80643698024884e-05,0.000180859272060481
"Ap1g1",0.44508547008547,78,-0.159198594849254,20.590706122261,1,1
"Ap2a2",0.488333333333333,50,0.137503523749935,-16.4940359638765,9.27260239396127e-09,1.21441179740267e-07
"Ap2b1",0.548148148148148,81,0.19854567938208,43.6470411261952,1,1
"Ap3b1",0.475354609929078,94,-0.0335525597110266,16.7638819624901,1,1
