"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1110004F10Rik",0.453846153846154,0.440000000000001,998.999999999999,727.684359790616,531.996578853535,0.113808801213961,65
"1110019D14Rik",0.537581699346405,0.541666666666667,998.999999999999,701.361948917878,491.793483313906,0.109256449165402,51
"1110059E24Rik",0.46,0.465346534653478,998.999999999999,830.745287268641,689.404968754972,0.153262518968134,75
"1500004A13Rik",0.437463126843658,0.443037974683544,998.999999999999,647.741755981303,409.89757530211,0.239757207890744,113
"1600010M07Rik",0.480902777777778,0.48087431693989,998.999999999999,586.665403337051,316.613626030123,0.277693474962064,144
"1600020E01Rik",0.317777777777778,0.337209302325744,998.999999999999,800.754605667888,643.599201056755,0.130500758725341,75
"1700025G04Rik",0.530448712044457,0.553376906250101,1.60049227690619,3.89911243863146,5.02695887733087,0.696509863429439,235
"2210408F21Rik",0.455569094877444,0.467829880043676,0.745935067032282,0.649812376814239,0.559837764642223,1.39150227617602,382
"2210408I21Rik",0.596631205673759,0.579617834392752,998.999999999999,650.52555601866,414.1493658925,0.238239757207891,94
"2310014F06Rik",0.418154761904762,0.433734939759037,998.999999999999,784.793592530413,619.221413658117,0.125948406676783,56
"2610008E11Rik",0.656378600823045,0.663157894736797,998.999999999999,829.257958185193,687.133321468185,0.144157814871017,81
"2610035D17Rik",0.712141280353201,0.675925925925924,998.999999999999,518.174384496789,212.00500992143,0.327769347496206,151
"2610037D02Rik",0.477245862884161,0.475095785440862,998.999999999999,446.115777799804,101.947497959569,0.396054628224583,188
"2610307P16Rik",0.480233918128655,0.502762430923809,1.4664805982918,212.348208054358,323.475937688013,0.274658573596358,95
"2700049A03Rik",0.535185185185185,0.540540540540276,998.999999999999,811.40549538684,659.866659954168,0.168437025796662,90
"2700097O09Rik",0.546728971962617,0.581081081000263,998.999999999999,677.748146804736,455.727336219768,0.224582701062215,107
"3110056K07Rik",0.423469387755102,0.435897435897437,998.999999999999,792.02228369282,630.262034626833,0.177541729893778,98
"3110082I17Rik",0.49390243902439,0.495327102803777,998.999999999999,821.635253398969,675.490910358025,0.16236722306525,82
"3222401L13Rik",0.390562248995984,0.370689655172413,42.5620131054334,432.297028857631,635.57569447407,0.176024279210926,83
"4632427E13Rik",0.513495058400719,0.520971302428251,2.98129871161781,4.6177546063597,5.32369728270839,0.687405159332322,265
"4732440D04Rik",0.315092771342771,0.318818040435459,0.953085824225222,1.26392263256479,1.37764138942,0.975720789074355,296
"4732471J01Rik",0.384615384615385,0.421052631578947,998.999999999999,829.257958185193,687.133321468185,0.144157814871017,78
"4833420G17Rik",0.71236559139785,0.717948717948668,998.999999999999,751.473491507836,568.330512696302,0.118361153262519,62
"4921524J17Rik",0.371621621621622,0.366666666666668,998.999999999999,817.255315430313,668.801285100565,0.136570561456753,74
"4930503L19Rik",0.517441860465116,0.52,998.999999999999,831.333500416511,690.303366302818,0.151745068285281,86
"4930506C21Rik",0.453703703703704,0.441176470588235,998.999999999999,662.998475140416,433.19967103113,0.103186646433991,54
"4930523C07Rik",0.417872807017544,0.417431192915832,998.999999999999,514.376814150686,206.204854146149,0.330804248861912,152
"4930578G10Rik",0.821428571428572,0.835978835973472,0.190914018737279,194.14784270816,296.417741632062,0.286798179059181,140
"4930599N23Rik",0.543859649122807,0.550724637387635,998.999999999999,672.88700018158,448.302744944,0.104704097116844,57
"4933406I18Rik",0.348484848484848,0.373015873110609,998.999999999999,758.323921427043,578.793402659571,0.191198786039454,88
"4933431K23Rik",0.556989247311828,0.505376342316856,998.999999999999,825.758565532861,681.788582423858,0.141122913505311,62
"4933434E20Rik",0.543478260869565,0.512499999637584,998.999999999999,765.785952913619,590.190412083401,0.121396054628225,69
"5031425E22Rik",0.544786403307304,0.540587219337044,1.38651407861934,1.81362508875955,1.96583188663287,0.878603945371775,311
"5031439G07Rik",0.53525641025641,0.546875000002176,998.999999999999,622.020956066342,370.613340231994,0.0971168437025797,52
"5330438D12Rik",0.480890804597701,0.450331125874469,998.999999999999,668.196152652606,441.138257151413,0.229135053110774,116
"5430405H02Rik",0.544642857142857,0.544117647058824,998.999999999999,662.998475140416,433.19967103113,0.103186646433991,56
"5430431A17Rik",0.527131782945736,0.554687499988268,998.999999999999,750.571605134937,566.953031576094,0.194233687405159,86
"5830417I10Rik",0.851351351351351,0.836956521739129,1e-06,1e-06,679.963072598916,0.139605462822458,74
"6030443J06Rik",0.729591836734694,0.676056338027406,998.999999999999,692.087532014649,477.628357230374,0.107738998482549,49
"6030458C11Rik",0.380434782608696,0.388888888889182,998.999999999999,819.33742074049,671.981353944308,0.163884673748103,92
"6430548M08Rik",0.43974358974359,0.411764705882346,998.999999999999,662.998475140416,433.19967103113,0.103186646433991,52
"6720427I07Rik",0.508838383838384,0.509090909090899,998.999999999999,629.235684551511,381.632635538342,0.250379362670713,132
"6820431F20Rik",0.72542194092827,0.706730769230769,2.01697238926089,155.206029968902,235.881499120065,0.315629742033384,158
"9330159M07Rik",0.151426270991488,0.11842105382309,0.138372270038027,28.9585152136313,44.1490496529975,0.461305007587253,138
"9330162G02Rik",0.295321637426901,0.275362318840697,998.999999999999,672.88700018158,448.302744944,0.104704097116844,57
"9530026P05Rik",0.488347080442573,0.498001598721022,0.677220072204819,0.467118696397204,0.320658313751868,1.89833080424886,404
"9630014M24Rik",0.453869047619048,0.500000000484936,998.999999999999,735.911230649161,544.56175294482,0.115326251896813,56
"A230001M10Rik",0.566666666666667,0.490566037735854,998.999999999999,508.875565238873,197.802613308172,0.0804248861911988,35
"A4galt",0.660642570281124,0.663265306122448,998.999999999999,831.55946544118,690.648490217163,0.148710166919575,83
"A630072M18Rik",0.5,0.530612244898046,998.999999999999,472.259970331216,141.878394685878,0.0743550834597876,36
"A730049H05Rik",0.610119047619048,0.608695652173906,998.999999999999,823.368111811856,678.137562773975,0.139605462822458,56
"A830012C17Rik",0.411764705882353,0.376470588235305,998.999999999999,795.776200763915,635.995517300087,0.128983308042489,68
"A930015D03Rik",0.676245210727969,0.69444444444441,998.999999999999,819.33742074049,671.981353944308,0.163884673748103,87
"AU020206",0.466666666666667,0.434782608695774,998.999999999999,672.88700018158,448.302744944,0.104704097116844,55
"AU040320",0.540625,0.528301886756797,998.999999999999,644.997143203995,405.705636720235,0.241274658573596,120
"AW554918",0.516820987654321,0.507645259939351,998.999999999999,398.084902396523,28.5883409269571,0.496206373292868,216
"Aak1",0.509412937984366,0.501002004008905,1.02743081371857,2.6956555093796,3.52125464270233,0.757207890743551,259
