"","AR","N","log2FC","llr","pval","padj"
"0610043K17Rik",0.641141141141141,111,0.84799690655495,1.59862950191261,1,1
"1110059E24Rik",0.433076923076923,130,-0.330645311988471,0.280767692108341,1,1
"1500002F19Rik",0.65,60,0.82312223791592,-0.574624583858117,0.283706380261188,1
"1500004A13Rik",0.390873015873016,210,-0.653442238603922,1.17451424095538,1,1
"1600010M07Rik",0.513888888888889,228,0.0650950282218847,2.0917351337398,1,1
"1600020E01Rik",0.334532374100719,139,-0.919080004616433,-1.34659816088418,0.100777473741641,0.662443975306826
"1700025G04Rik",0.496860961365678,424,-0.0196958013409199,5.31438409087286,1,1
"2210408F21Rik",0.487140992167102,766,-0.0963939550615236,132.045724927388,1,1
"2210408I21Rik",0.616573033707865,178,0.751612370130608,-1.21037421239748,0.119737711539959,0.76713943759918
"2610035D17Rik",0.650713557594292,327,0.807354922057604,-1.44304428298585,0.089347602832282,0.605333676988499
"2610037D02Rik",0.504712301587302,336,0.0446229914206278,1.61449190390863,1,1
"2610307P16Rik",0.557807807807808,111,0.345135486048687,-3.58291487000824,0.00743053126421807,0.0623137642198451
"2700049A03Rik",0.646723646723647,117,0.851477475289912,-1.37296912916086,0.0975018301417833,0.648858953491932
"2700097O09Rik",0.622047244094488,127,0.815575428862573,-1.35517471921658,0.0996991503529707,0.659199982362406
"2900026A02Rik",0.464912280701754,114,-0.225881407416328,1.53958837640246,1,1
"2900093K20Rik",0.587301587301587,63,0.505235308250422,-4.79925448651319,0.00194735430546273,0.0169510208108422
"3110056K07Rik",0.451830443159923,173,-0.274174963438994,0.755852448802557,1,1
"3110082I17Rik",0.516393442622951,122,0.0424352663203971,1.02661088821496,1,1
"4632427E13Rik",0.505374280230326,521,0.0135042643497472,14.6484131981734,1,1
"4732440D04Rik",0.311473429951691,460,-1.15277028040325,5.69222692011402,1,1
"4732471J01Rik",0.367424242424242,132,-0.696607856550065,0.0343538249107098,1,1
"4833420G17Rik",0.675595238095238,168,0.930737337562886,-8.93379866734278,2.36819163505133e-05,0.000232646635386233
"4930438E09Rik",0.597849462365591,155,0.686500527183219,-0.185742643388309,0.54219577069894,1
"4930503L19Rik",0.503164556962025,158,0.0327899351176697,-2.76639266867355,0.0186633719846927,0.147406962127467
"4930523C07Rik",0.439416419386746,337,-0.329622486677363,2.64771048440014,1,1
"4930578G10Rik",0.797585886722377,359,2.051743575094,-22.1542658603831,2.80491111128859e-11,3.42398320863217e-10
"4930599N23Rik",0.508403361344538,119,0.131244533278253,0.53770255957852,1,1
"4933406I18Rik",0.314634146341463,205,-1.16580889297008,-3.8716191579833,0.00539140305814269,0.0458658330265912
"5031425E22Rik",0.591091414668057,685,0.483856689114781,87.8685110239595,1,1
"5033421B08Rik",0.377551020408163,49,-0.526068811667588,2.29168350324576,1,1
"5330438D12Rik",0.481220657276995,213,-0.130703691644594,0.569214367980209,1,1
"5430405H02Rik",0.431818181818182,132,-0.432111012637786,0.0771395856990864,1,1
"6030458C11Rik",0.373333333333333,150,-0.7796099315747,-3.20401326919021,0.0113605610924076,0.0937473501345474
"6720427I07Rik",0.543243243243243,185,0.231325546106456,0.692347009598365,1,1
"6820431F20Rik",0.725529100529101,252,1.37706964907982,-34.6162925024629,8.75102339800383e-17,1.22395669627674e-15
"9330159M07Rik",0.231404958677686,121,-1.75488750216347,0.561863659036291,1,1
"9330162G02Rik",0.348837209302326,86,-1.1118928800709,-0.372286407122779,0.388199968688533,1
"9330188P03Rik",0.46875,32,0.169925001442312,1.63485847479433,1,1
"9530026P05Rik",0.45338024691358,1125,-0.297315540405749,-191.003446904385,4.55021498145903e-85,2.68202671621428e-83
"9630014M24Rik",0.404891304347826,92,-0.532873989572702,-0.023098556057235,0.829817891488708,1
"A230001M10Rik",0.468553459119497,53,-0.270089163367745,1.65304226921988,1,1
"A4galt",0.607619047619048,175,0.548436624696042,1.20809645152193,1,1
"A730049H05Rik",0.534158415841584,101,0.253118936968711,-1.61722732248799,0.0721043060057647,0.502537781384772
"A830012C17Rik",0.340365682137834,237,-0.971985623830403,1.76400621385631,1,1
"A830019P07Rik",0.760752688172043,62,1.81942775435818,-0.32613268092063,0.419303916142906,1
"A930015D03Rik",0.619957537154989,157,0.736965594166206,0.348779333010938,1,1
"AU040320",0.612721417069243,207,0.609540523441822,1.60795465170273,1,1
"AW554918",0.472099853157122,454,-0.0301619705102523,6.60130892546454,1,1
"Aak1",0.526252983293556,419,0.0112711123350206,5.08600917357489,1,1
"Aamdc",0.35973597359736,101,-0.890375508825501,0.257743815385581,1,1
"Aatf",0.631048387096774,248,0.871992387623929,1.8701157354912,1,1
"Abca1",0.486524859943978,680,-0.0720776780441681,95.9788634987024,1,1
"Abca5",0.46039603960396,101,-0.123382415505282,0.238831577064261,1,1
"Abca6",0.555132262861855,980,0.320585428395952,-364.637211938964,1.28816661744759e-160,4.83179587598977e-158
"Abca8a",0.627404731690056,1754,0.779645571714547,32.0273304334996,1,1
"Abca8b",0.500588627115426,968,0.053596008327736,-279.409857779131,1.51834708958103e-123,2.61029170483805e-121
"Abca9",0.476253558488613,736,-0.162325185584152,165.492888831582,1,1
"Abcb1b",0.630879345603272,163,0.494264190429419,-4.30377367067331,0.00334772813067425,0.0287765130565874
"Abcc1",0.529929577464789,284,0.256564910504236,2.58810276084034,1,1
"Abcc4",0.583333333333333,216,0.495207847962827,1.68575013401565,1,1
"Abcc5",0.497377501725328,483,-0.0544477840223765,10.1087425897059,1,1
"Abcd2",0.327380952380952,126,-0.924448966992824,0.320148071242784,1,1
"Abcd3",0.510540184453228,253,0.0892673380970876,1.27044073955014,1,1
"Abce1",0.590243902439024,205,0.500693583823552,1.49215161484236,1,1
"Abcg2",0.605072463768116,92,0.642447995381916,0.603860023389885,1,1
"Abhd17b",0.419001610305958,207,-0.5264364241147,0.0956589557590632,1,1
"Abhd18",0.487387387387387,185,0.0939761482090136,0.525464065268437,1,1
