"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1110004F10Rik",0.453846153846154,65,-0.347923303420306,0.288187411176821,1,1
"1110019D14Rik",0.537581699346405,51,0.241008099503794,-1.29575678218312,0.107437623533285,0.297417163535759
"1110059E24Rik",0.46,75,-0.200298650485831,-8.4438303809292,3.96585551178635e-05,0.000171555884630534
"1500004A13Rik",0.437463126843658,113,-0.330148601692331,-3.7393987192174,0.00624297541694123,0.0219289419519602
"1600010M07Rik",0.480902777777778,144,-0.110423989693651,6.00736118708087,1,1
"1600020E01Rik",0.317777777777778,75,-0.974909019037169,0.568737153404982,1,1
"1700025G04Rik",0.530448712044457,235,0.30920458726672,4.80162952585329,1,1
"2210408F21Rik",0.455569094877444,382,-0.18590350006334,37.2759194062621,1,1
"2210408I21Rik",0.596631205673759,94,0.463400520840243,-5.29588314857446,0.00113592402997221,0.00442871602610459
"2310014F06Rik",0.418154761904762,56,-0.384663850235325,-27.175711620655,1.67656525008643e-13,1.14539656534957e-12
"2610008E11Rik",0.656378600823045,81,0.977279923499916,0.499804209870376,1,1
"2610035D17Rik",0.712141280353201,151,1.06054154193505,-0.776675212999038,0.212641508067306,0.5510917970097
"2610037D02Rik",0.477245862884161,188,-0.143835772573651,-37.6253971613531,4.14563525388235e-18,3.6533921724549e-17
"2610307P16Rik",0.480233918128655,95,0.0159415438690216,-101.44018336014,4.91239509958909e-46,4.77143071847045e-44
"2700049A03Rik",0.535185185185185,90,0.234465253637023,1.22665194512167,1,1
"2700097O09Rik",0.546728971962617,107,0.472068444315223,-0.906402315543744,0.178172153927271,0.470492425382415
"3110056K07Rik",0.423469387755102,98,-0.371968777386958,2.06946445988592,1,1
"3110082I17Rik",0.49390243902439,82,-0.0269670476002695,-0.462300070920051,0.336270017086636,0.834696909079495
"3222401L13Rik",0.390562248995984,83,-0.763559804177919,-8.98449165930234,2.24533898759059e-05,9.83546529073997e-05
"4632427E13Rik",0.513495058400719,265,0.121091816917362,41.5631522422324,1,1
"4732440D04Rik",0.315092771342771,296,-1.09530696009573,14.3191582535416,1,1
"4732471J01Rik",0.384615384615385,78,-0.459431618637297,0.954574864786949,1,1
"4833420G17Rik",0.71236559139785,62,1.34792330342031,-12.0320382856079,9.31825595519073e-07,4.39640629438144e-06
"4921524J17Rik",0.371621621621622,74,-0.788495894806288,0.603567631795158,1,1
"4930503L19Rik",0.517441860465116,86,0.115477217419936,1.10186823110958,1,1
"4930506C21Rik",0.453703703703704,54,-0.341036917835067,-2.08304707743682,0.0412407680182592,0.12521853048652
