"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.652777777777778,72,0.584962500721156,-3.00884585831522,0.0141631592973542,0.0906389049967637
"1110059E24Rik",0.445378151260504,119,-0.0780025120012731,-0.885523065291636,0.183252665119692,0.490350423166482
"1500004A13Rik",0.457746478873239,142,-0.216317906926764,-0.650648778558278,0.253976345853446,0.588680519397862
"1600010M07Rik",0.489795918367347,196,0.0634253801416333,0.125979383373419,1,1
"1600020E01Rik",0.403846153846154,104,-0.655351828612554,-2.0526586735277,0.0427485681087518,0.202803012265581
"1700025G04Rik",0.490051282051282,325,-0.187202992874148,-0.397952679839705,0.372320426293512,0.717911234645093
"2210408F21Rik",0.511947565543071,445,0.15928237748181,-0.229015583654984,0.498545549986908,0.829035935817695
"2210408I21Rik",0.560833333333333,100,0.189033824390017,-0.368588414066522,0.390566744269364,0.73118724736707
"2610035D17Rik",0.624034334763949,233,0.74881531204395,-4.91634164709151,0.00171438070571695,0.0175378985680846
"2610037D02Rik",0.414448669201521,263,-0.473370809595171,-4.44404288053764,0.00287037511453343,0.0267245634255234
"2610307P16Rik",0.473086419753086,135,0.096215315259303,0.174689536250128,1,1
"2700097O09Rik",0.614341085271318,86,0.347923303420306,-0.931791478722673,0.172211844544267,0.474467104426401
"2900093K20Rik",0.528571428571429,70,-0.0395283641866371,-0.0332160728007977,0.796604222333095,1
"3110056K07Rik",0.422514619883041,114,-0.218180170049533,-0.83918158096813,0.195142091824865,0.505030102590755
"4632427E13Rik",0.521872265966754,381,0.0142842260062475,0.0490668802667642,1,1
"4732440D04Rik",0.327134646962233,406,-1.06623369840009,-21.6690030786733,4.60550563087407e-11,2.49355233443039e-09
"4732471J01Rik",0.447058823529412,85,-0.519374159093579,-0.355559489686094,0.399072587979867,0.738598262397899
"4833420G17Rik",0.764462809917355,121,1.68650052718322,-13.6792752948474,1.69015433457275e-07,5.6520749364977e-06
"4930438E09Rik",0.581683168316832,101,0.797507136101258,-0.899727152175345,0.179778480824077,0.487072595783103
"4930503L19Rik",0.468503937007874,127,-0.241008099503795,-0.54544807324973,0.296272737066202,0.643685545307526
"4930523C07Rik",0.46969696969697,198,-0.362570079384708,-1.2773855870802,0.109961734352588,0.367638608505548
"4930578G10Rik",0.770422535211268,213,1.9926204696344,-30.7406603226396,4.469634415271e-15,3.46498249783849e-13
"4930590L20Rik",0.641176470588235,85,0.777607578663552,-2.38860341512847,0.0288388615248593,0.153702119783274
"4930599N23Rik",0.513636363636364,110,0.373458395527444,-0.0700489609691033,0.708183684047669,0.99300641118971
"4933406I18Rik",0.274193548387097,93,-1.76081233612057,-8.64079316999956,3.22294962419703e-05,0.000602043880061037
"5031425E22Rik",0.593967721316715,596,0.529756998697701,-7.32579933545844,0.000129324905870321,0.0019693180978735
"5330438D12Rik",0.45398773006135,163,-0.15200309344505,-2.04537140600361,0.04311868838731,0.203708928101267
"5430405H02Rik",0.545454545454545,88,0.596644305768791,-0.0299500672211792,0.806653851734141,1
"6720427I07Rik",0.561930783242259,183,0.342105976824993,-0.93055869734691,0.172495892280458,0.474467104426401
"6820431F20Rik",0.718660968660969,234,1.11703942119022,-12.620680610848,5.05856380357847e-07,1.52697001185895e-05
"9330159M07Rik",0.159420289855072,69,-2.16046467219325,-14.5644736552621,6.77175947364978e-08,2.45728420900206e-06
"9530026P05Rik",0.449550975505714,707,-0.334419039070559,-5.39578500441792,0.00101963366157694,0.0114406921698649
"9630014M24Rik",0.413690476190476,56,-0.459431618637297,-0.377835931383068,0.38468640536803,0.725353968330764
"A4galt",0.678571428571429,105,1.22239242133645,-6.45978348613738,0.00032516507478616,0.00440134154799839
"A730049H05Rik",0.531446540880503,53,-0.0524674198941355,0.014066590268655,1,1
"A830012C17Rik",0.523584905660377,106,0.169925001442313,-0.062250492230163,0.724203168416796,1
"A930015D03Rik",0.745098039215686,119,1.69187770463767,-10.3213065486422,5.53503257519137e-06,0.000132027944852991
"AU040320",0.607007575757576,176,0.250808103500534,-0.331604628479624,0.415429236025953,0.753611027492431
"AW554918",0.507201646090535,324,0.101283335837181,0.124733673548633,1,1
"Aak1",0.494270833333333,320,-0.0186156781673472,0.104042624687168,1,1
"Aatf",0.516239316239316,195,0.0941221773645502,0.0202754640946239,1,1
"Abca1",0.475254416282642,496,-0.204452684570583,-2.21579495768924,0.0352796297161443,0.178279728832249
"Abca5",0.51865671641791,67,0.0458036896131251,0.380039397440477,1,1
"Abca6",0.547222648979396,743,0.266514974568755,-3.06576321109878,0.0132792174900414,0.0859495462211215
"Abca8a",0.652367574169281,1508,1.02799140898728,-133.740754012089,4.01617812708132e-60,1.24538032649767e-57
"Abca8b",0.527104852914205,834,0.212441833560095,-0.315216539285075,0.42719650234614,0.763430806655931
"Abca9",0.456507413509061,607,-0.255166162500454,-2.53668858909759,0.0242960047893917,0.136036836747183
"Abcb1b",0.619402985074627,67,0.830074998557688,-1.24552771253549,0.114494921153193,0.374800552834493
"Abcc1",0.473922902494331,147,-0.185214872466907,-0.486934191210622,0.323717306736498,0.670777931844095
"Abcc4",0.584848484848485,110,-0.246160587269397,0.229281604716121,1,1
"Abcc5",0.450851749539595,362,-0.261627584619548,-0.402505580890931,0.369599325094567,0.713875027122067
"Abcd2",0.358649789029536,79,-0.540568381362703,-1.96207342513011,0.0475973354785781,0.217762018146634
"Abcd3",0.592503987240829,209,0.84799690655495,-4.05883916586743,0.00438356610482905,0.0379501116334312
"Abce1",0.597389558232932,166,0.905140813658559,-3.28913058426001,0.010323168854284,0.0720483221284074
"Abhd17b",0.490631163708087,169,0.112474729258413,0.0661603089975671,1,1
"Abhd18",0.508333333333333,120,0.215728691055437,-0.0442014304931888,0.766217491429776,1
"Abi1",0.659912901800554,780,1.40731013725423,-15.6306729850577,2.25525567237061e-08,9.12473102381754e-07
"Abi2",0.503639010189229,229,0.0246620542342697,0.043287348477179,1,1
"Abi3bp",0.680959965608922,527,0.812139984622981,-22.3286429977459,2.34722498322334e-11,1.40462884522365e-09
"Abl2",0.515602836879433,235,0.0906025487809066,0.0864456100358098,1,1
"Ablim1",0.411196530475231,662,-0.396189184645479,-10.0320918924025,7.48860551991331e-06,0.000169163135287578
"Ablim3",0.459333333333333,75,-0.765534746362976,-0.0558280243967602,0.738266567844782,1
"Abtb2",0.483924289140116,278,-0.261492241025388,0.795106518666444,1,1
"Acaca",0.470833333333333,352,-0.101029920231245,-1.37375476170803,0.0974060427086792,0.341121161888403
"Acadl",0.472463768115942,115,-0.096215315259303,-0.791940707258249,0.208202491779718,0.524891869520042
"Acadsb",0.546587926509186,254,0.291603558030565,-0.940525865055065,0.170214659892375,0.471650856939799
"Acap2",0.495220282626766,401,0.160108143082105,0.0343070960319096,1,1
"Acat1",0.535087719298246,114,0.127755547198373,-0.100275287622779,0.654276804114343,0.957360764999491
"Acbd3",0.56989247311828,217,0.375866901998166,-1.79523617366672,0.0581117235188374,0.247155971225379
"Acbd5",0.545584045584046,117,0.34577483684173,-0.0226974283364285,0.831279627214232,1
"Acbd6",0.483870967741935,155,-0.31748218985617,-0.177372012317306,0.551439860052099,0.870412476926288
"Ace",0.464285714285714,154,-0.115477217419937,-0.338827198266131,0.410395596211036,0.748402772787076
"Acer2",0.364285714285714,70,-0.186413124230882,-1.2574202048981,0.112779050163382,0.371680521842799
"Acer3",0.556962025316456,158,0.367731784500488,-0.355227585986839,0.39929274724161,0.738604967918184
"Acin1",0.486038394415358,191,-0.265894059973035,-0.103294205336994,0.64945461585409,0.95370718244358
"Ackr3",0.513088628928324,262,0.0455146592523685,0.179476523668086,1,1
"Acox1",0.407258064516129,124,-0.535037275389474,-3.19714518642989,0.0114487986701442,0.0776378772641391
"Acss3",0.31093023255814,215,-1.10395096403891,-12.6874608163303,4.72014689602977e-07,1.43753759485335e-05
"Actb",0.491452991452991,117,0.127755547198373,-0.0371816787866663,0.785086558550204,1
"Actn1",0.574612403100775,86,0.238159737194764,-0.37960000232453,0.383578995136976,0.724281192415101
"Actn4",0.496428571428571,140,-0.523561956057013,-0.416241599750165,0.361555467448133,0.704320787815866
"Actr10",0.446009389671362,142,-0.277533975528909,-0.326407234917042,0.419108226850582,0.754594684125631
"Actr1a",0.442307692307692,104,-0.678071905112637,-1.2687635115308,0.111168780133108,0.368147644984045
"Actr2",0.429947916666667,256,-0.407877707705977,-1.20097566503404,0.121184005115972,0.385955780999608
"Actr3",0.535547091797092,312,0.138383484155922,-0.160547720267857,0.570950067866551,0.885936531430281
"Acvr1",0.469367588932806,253,-0.11640949211531,-0.596954588773315,0.27454244473351,0.614074937040001
"Acvr2a",0.475925925925926,180,-0.0343515047907772,0.264378722374119,1,1
"Acyp2",0.381996302308802,576,-0.620320675313936,-11.0601438062579,2.56088982310202e-06,6.56781592977519e-05
"Adam10",0.526479750778816,214,-0.106915203916512,-0.0155652538283277,0.859949541981258,1
"Adam12",0.545488721804511,133,0.192645077942395,-0.080003136949955,0.689150740620034,0.98191026577065
"Adam17",0.322761194029851,268,-1.0983020736118,-13.0721514154778,3.16830525566327e-07,1.01953671953466e-05
"Adam19",0.485812672176309,242,-0.019899557437705,-0.0931485799074494,0.666016495465735,0.966715857886648
"Adam9",0.478456318914334,393,-0.0339473319233377,-0.192570423606298,0.534864702268765,0.85734187003701
