"","AR","N","log2FC","llr","pval","padj"
"1500004A13Rik",0.365942028985507,69,-0.754887502163469,1.15065052853971,1,1
"1600010M07Rik",0.46304347826087,92,0.02106161552783,-27.7668297536894,9.18723531575521e-14,1.09321490735677e-12
"1700025G04Rik",0.479783037475345,169,0.0374747054186628,26.4853221873337,1,1
"2210408F21Rik",0.509785393978219,223,-0.1426043954428,7.38755570958105,1,1
"2210408I21Rik",0.584905660377358,53,0.55019708256048,0.823699982676985,1,1
"2310014F06Rik",0.420289855072464,46,-0.62148837674627,-0.87254260963114,0.186495783626017,0.611425225207992
"2610035D17Rik",0.840350877192982,95,1.94110631094643,-1.07147311221082,0.143226592345905,0.480480523263181
"2610037D02Rik",0.433333333333333,135,-0.389042290745899,-3.60222746089423,0.00727228331106647,0.029958546940234
"2610307P16Rik",0.507981220657277,71,0.0978473233981445,-36.2337240216308,1.69809946220168e-17,2.92568386508499e-16
"2700097O09Rik",0.597014925373134,67,0.754887502163469,0.103670243224371,1,1
"3110056K07Rik",0.425146198830409,57,-0.505235308250422,-2.80369029100855,0.0178849790672324,0.0704327508981011
"4632427E13Rik",0.498940269749518,173,-0.0650950282218847,33.4344369296665,1,1
"4732440D04Rik",0.370616105637657,232,-0.696753326178713,5.32089911475586,1,1
"4732471J01Rik",0.361111111111111,48,-0.604071323668861,0.343952112448974,1,1
"4833420G17Rik",0.771186440677966,59,1.53051471669878,0.637373925914169,1,1
"4930523C07Rik",0.470588235294118,68,-0.144389909335175,1.92766381634557,1,1
"4930578G10Rik",0.712837837837838,74,1.49304001128012,-3.30103634993407,0.0101860124352733,0.0411923339069488
"4933406I18Rik",0.263157894736842,38,-1.77258950389693,0.748871935746045,1,1
"4933431K23Rik",0.512152777777778,48,-0.0365258760251144,-22.6954157900981,1.61388097936417e-11,1.56560653364712e-10
"5031425E22Rik",0.56407867494824,230,0.415037499278844,46.3381383283678,1,1
"5330438D12Rik",0.546626984126984,84,0.154722594798642,-6.62015116021598,0.000273993715044059,0.00132124082997922
"5430431A17Rik",0.414814814814815,54,-0.552541023028779,-6.9602625030841,0.000190704583469609,0.000931832735771737
"5830417I10Rik",0.921875,64,3.78659636189081,0.590465096154627,1,1
"6030458C11Rik",0.456896551724138,58,-0.37851162325373,1.67898239995949,1,1
"6820431F20Rik",0.640625,96,0.763559804177919,3.72242126289918,1,1
"9330159M07Rik",0.102532679738562,102,-3.25238716163429,-41.9381000707691,5.26748603169034e-20,1.16165625285544e-18
"9330162G02Rik",0.173913043478261,46,-2.20163386116965,-10.3321142874539,5.47289591772638e-06,3.13766719165318e-05
"9530026P05Rik",0.60100629622114,256,0.509674373416919,4.9476088918671,1,1
"AW554918",0.481989247311828,124,-0.064851144349968,19.5796045562294,1,1
"Aak1",0.466392801251956,213,-0.0460473675194366,79.4207256710264,1,1
"Aatf",0.428861788617886,82,-0.440572591385981,-0.613385926854747,0.268035755442445,0.855026305692967
"Abca1",0.503033060357901,157,-0.0698214494975713,65.9878751867637,1,1
"Abca6",0.563376493765715,167,0.599462070416271,-6.74092623420921,0.000240881868444262,0.00116326601578631
"Abca8a",0.656349744184322,299,0.97893838447217,-1.15015123842488,0.129348807423954,0.440211784936667
"Abca8b",0.535551079936107,187,0.403022123122002,7.17163256466705,1,1
"Abca9",0.506955380577428,127,-0.258533013598853,-58.270651737739,3.61766076381201e-27,1.5746344482487e-25
"Abcc1",0.596899224806202,86,0.595609744920664,-7.57967636339907,9.88076541820597e-05,0.000501312454040266
"Abcc4",0.573924731182796,62,0.296981737757132,-3.40789269198405,0.00903555568414089,0.0367645980358402
"Abcc5",0.414607843137255,170,-0.481869007757053,11.468535163157,1,1
"Abcc9",0.346666666666667,50,-1.02974734339405,-14.2648816158013,9.22691637089627e-08,6.28037846809154e-07
"Abcd3",0.603634085213033,133,0.539365634281046,17.4035234924153,1,1
"Abce1",0.523504273504274,78,0.162271428898877,2.02765693806043,1,1
"Abhd17b",0.467871485943775,83,0.0285691521967708,1.25012920366005,1,1
"Abhd18",0.426668769052875,151,-0.57390731221216,-26.4151154668572,3.63660592924668e-13,4.09180014079865e-12
"Abhd2",0.402597402597403,77,-0.68684211474037,-2.66588493182698,0.0209401104761239,0.0816861856780871
"Abi1",0.641443916746336,248,1.45323830821119,8.40306848940787,1,1
"Abi2",0.474178403755869,71,-0.0995356735509145,0.678029141256033,1,1
"Abi3bp",0.681765444787027,139,0.442943495848728,32.2029674110148,1,1
"Abl2",0.565359477124183,102,0.415037499278844,2.85848486974487,1,1
"Ablim1",0.464316250864156,318,-0.168734588775465,1.94958444281195,1,1
"Ablim3",0.569,50,0.485426827170242,-39.2383415632555,8.09480859533674e-19,1.54783970135109e-17
"Abra",0.455459355459355,99,-0.283792966000591,-69.941837448602,2.82261358649424e-32,2.74623698356557e-30
"Abtb2",0.528404405240357,161,0.125530882083859,7.93892388533672,1,1
"Acaca",0.525819672131148,122,0.0671141958585371,2.86299139357084,1,1
"Acacb",0.477039381153305,158,-0.0351038009559159,-39.2303437617943,8.16062060613702e-19,1.55145591753455e-17
"Acad10",0.45021645021645,77,-0.397335497545385,2.38051518223935,1,1
"Acadl",0.428194444444444,120,-0.572578776265324,-39.9191163828231,4.063531328192e-19,8.14676462646008e-18
