"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.611627906976744,43,0.704544116473829,15.8551047947861,1,1
"5031425E22Rik",0.544573643410853,43,0.31194400631474,10.8841132105821,1,1
"9530026P05Rik",0.537202380952381,40,0.432959407276106,-6.71785576253616,0.000246879330386571,0.00155401721359404
"AW554918",0.55982905982906,39,0.214124805352848,10.3876086812357,1,1
"Aak1",0.430232558139535,43,-0.724365557386573,14.1131918914747,1,1
"Abca1",0.483506944444444,48,0.0291463456595165,0.333900812461501,1,1
"Abca8a",0.61494708994709,21,0.781359713524659,-17.4360618383451,3.52085950613732e-09,1.07921997905513e-07
"Abhd17b",0.464539007092199,47,0.556393348524385,25.3441779255839,1,1
"Abi1",0.644383394383394,52,1.39854937649027,5.55165822613377,1,1
"Abi3bp",0.457818532818533,74,-0.420331798948357,8.75600902024139,1,1
"Ablim1",0.4375,32,-0.404390255079335,-11.4702971330684,1.67085753922565e-06,1.87699063807759e-05
"Ablim2",0.486111111111111,30,0.0614005446641435,-11.8685242485833,1.10436033439777e-06,1.36591936096567e-05
"Ablim3",0.41875,40,-0.476438043942987,2.32364419505311,1,1
"Ackr3",0.58,35,0.584962500721156,16.0289507766372,1,1
"Adam10",0.480392156862745,51,-0.241008099503795,16.8476055958639,1,1
"Adam12",0.691666666666667,35,1.55639334852439,-1.37622560464413,0.0971054558499745,0.3111788471556
"Adam19",0.321428571428571,28,-1.16992500144231,0.8063050785548,1,1
"Adamts5",0.431972789115646,28,-0.830074998557688,-3.46531281970395,0.00847320432705801,0.0343310864975626
"Adamts9",0.625850340136054,21,1.45066140900957,-6.47139795991958,0.000321154995257266,0.00198609010224888
"Adamtsl1",0.550273224043716,61,0.208946890271496,1.87170893323608,1,1
"Adgrl4",0.4953125,32,-0.206450877467427,-9.75338287098772,1.00243998016751e-05,9.06051520536022e-05
"Adk",0.459770114942529,29,-0.192645077942396,5.98373799617464,1,1
"Afap1l1",0.390243902439024,41,-0.321928094887362,9.23446908085409,1,1
"Aff1",0.325036075036075,33,-0.841302253980941,-18.9885397252601,7.1580627969454e-10,2.65601803781395e-08
"Agap1",0.395772594752187,49,-0.337034987277571,7.63853449043211,1,1
"Agfg1",0.595238095238095,35,0.485426827170242,-10.4715394803448,4.73134078401682e-06,4.6327711843498e-05
"Ago3",0.489035087719298,38,0,7.30160096909424,1,1
"Agps",0.557692307692308,26,-0.321928094887362,-1.96276432959231,0.0475582352289661,0.163553930909371
"Ahnak",0.412962962962963,45,-0.782408564927373,7.38309307067984,1,1
"Aig1",0.455357142857143,28,-0.137503523749935,7.0331493967135,1,1
"Airn",0.355353508924938,63,-0.868210127444459,3.83481097041324,1,1
"Akap13",0.523688458434221,59,0.146841388329271,6.0611566568515,1,1
"Akt3",0.302482269503546,47,-1.04890960048095,-0.637390639017873,0.258871628093449,0.747969253302793
