"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1600010M07Rik",0.571969696969697,44,0.485426827170241,-0.317291824038072,0.425678969557444,1
"1700025G04Rik",0.521823498139288,57,0.165059246270496,0.0843599580041001,1,1
"2210408F21Rik",0.516376713564214,80,0.064130337419716,-0.0232616894796109,0.829227222950168,1
"2610035D17Rik",0.85632183908046,29,2.32192809488736,-6.76409763542776,0.000235005928847268,0.0122379272296024
"2610037D02Rik",0.377186147186147,55,-0.465663572348812,-1.44130275908915,0.0895410301696783,0.679019478786727
"2610203C22Rik",0.631410256410256,26,0.584962500721157,-0.62868584308568,0.262149181473088,0.964710914377642
"2610307P16Rik",0.545963995354239,41,-0.0740005814437753,0.117707299388798,1,1
"4632427E13Rik",0.483641975308642,54,-0.142957953842043,0.131162082633843,1,1
"4732440D04Rik",0.327857142857143,70,-1.04182017569463,-7.10962559822431,0.000162697507286421,0.00906457540595776
"4732471J01Rik",0.567708333333333,48,0.216811389073148,-0.204094119507708,0.522890518958903,1
"4833420G17Rik",0.734848484848485,33,1.23703919730085,-3.10995409507517,0.0126321663102851,0.249897203094771
"4930523C07Rik",0.397058823529412,34,-0.561878887608115,-0.826815916572379,0.198465339152839,0.911647825171171
"4933406I18Rik",0.415555555555556,45,-0.616671360448495,-0.339906324677514,0.409651245098012,1
"5031425E22Rik",0.604379108545775,72,0.704993204427926,-2.90026779521699,0.0160212935715808,0.280372637502663
"5033421B08Rik",0.383333333333333,30,-0.719892080807266,-0.750654130455636,0.220470174300459,0.925125608281303
"5430405H02Rik",0.572222222222222,30,0.0641303374197157,-0.0698778509545619,0.708523998496266,1
"6820431F20Rik",0.736742424242424,44,1.43609911480667,-3.84664221670971,0.00554266692330917,0.154247846644893
"9330159M07Rik",0.186480186480186,33,-2.95419631038688,-6.11671428451889,0.000469408615339708,0.0220945779289208
"9530026P05Rik",0.478468122786305,88,0.126263772646173,0.0646397940705157,1,1
"9630014M24Rik",0.403508771929825,19,-0.758991900496206,-0.345343081823589,0.405931089055676,1
"AU040320",0.550813008130081,41,0.299560281858908,-0.167675267916735,0.562525355099812,1
"AW554918",0.476900584795322,57,0.321928094887362,0.768929496883189,1,1
"Aak1",0.544340924775707,69,0.266786540694901,-0.318091754921412,0.425096191924336,1
"Abca1",0.495392165704666,96,-0.144816552851781,-0.197321521093954,0.529868862770689,1
"Abca6",0.57521645021645,55,0.605721060887953,-0.370558679515277,0.389303183131654,1
"Abca8a",0.664317849503035,81,1.14809863898913,-13.3925983395991,2.27372436161171e-07,2.95584167009522e-05
"Abca8b",0.565948601662887,63,0.369949609750306,-0.574093368143295,0.28392905110929,0.976229608977785
"Abca9",0.521497244388811,83,0.162271428898877,-0.026439600279744,0.81812690890611,1
"Abcc1",0.397321428571429,56,-0.584962500721156,-1.12966690819896,0.132811182744105,0.78385755642575
"Abcc4",0.623809523809524,35,0.881355503501381,-0.683151478429167,0.242448103861962,0.951020853590492
"Abcc5",0.423924731182796,62,-0.385290155884792,-0.702327798896448,0.235945624511168,0.940182608147411
"Abcc9",0.272435897435897,26,-1.13750352374994,-1.91475475103164,0.0503576674529347,0.510846421265196
"Abcd3",0.604824561403509,38,0.671377252538629,-0.218368466981289,0.508701617750738,1
"Abce1",0.522988505747126,29,0.137503523749935,-0.00755467488762207,0.902170372723061,1
"Abhd18",0.394678492239468,41,-0.425305834732671,-0.52282338366139,0.306511810060063,0.98909839416545
"Abi1",0.558798101540037,93,0.835961841634601,-1.21072865190145,0.119683543919337,0.762941544006683
"Abi2",0.630208333333333,32,0.612976876890753,-0.828853717743854,0.197913145789927,0.911647825171171
"Abi3bp",0.510964912280702,38,0.129283016944967,0.082461392201779,1,1
"Abl2",0.585069444444444,48,0.285402218862248,-0.404410445437932,0.368469084421364,1
"Ablim1",0.445770526286157,91,-0.405256478486258,-3.49847230118763,0.00816489601895007,0.197258107360475
"Ablim3",0.456018518518518,36,-0.18641312423088,-0.047778120737739,0.757228933054252,1
"Abr",0.675438596491228,38,1.20945336562895,-1.77024569617104,0.0598877165451446,0.563770572993948
"Abra",0.422082228116711,29,-0.598637437618235,-0.310861510436425,0.430407720454082,1
"Abtb2",0.511446886446886,52,0.252766070379967,0.147213206368662,1,1
"Acaca",0.401709401709402,39,-0.454565863465481,-0.702694435479557,0.23582337769199,0.940182608147411
"Acacb",0.457397959183673,42,-0.239187663879427,-0.166410343588637,0.564002866813811,1
"Acadl",0.507057823129252,42,-0.148098638989135,0.10522241124653,1,1
"Acadm",0.651550387596899,43,0.785875194647152,-1.67614159783636,0.0671118670952828,0.594855185617279
"Acadsb",0.337301587301587,42,-1.10433665981474,-1.62724152549156,0.0712283936754416,0.608985915879613
"Acap2",0.519312169312169,63,0.280107919192735,0.182438349495712,1,1
"Acat1",0.520175438596491,38,0.0962153152593028,-0.00621537458605559,0.911225202385833,1
"Acbd3",0.472222222222222,42,4.44089209850063e-16,-0.00858155770228564,0.895768920475284,1
"Acer2",0.576041666666667,32,0.270089163367744,-0.271149571313998,0.461481446067244,1
"Acer3",0.565128205128205,65,0.388565287917653,-0.572274000938265,0.284693358933753,0.976398077750184
"Acin1",0.510416666666667,48,-2.22044604925031e-16,0.00252556564544193,1,1
"Ackr3",0.537581699346405,51,0.299560281858907,-0.0531636566867917,0.744364818051728,1
"Aco2",0.523333333333333,50,0.195920209975257,0.000911112387825597,1,1
"Acot13",0.639655172413793,29,0.610053481683987,-0.915033507403102,0.176119630234941,0.874193800984345
"Acox1",0.550952380952381,50,0.162271428898876,-0.259683702792984,0.4711116535508,1
"Acsl1",0.45,36,-0.228268987673118,-0.111894262450704,0.636168291191748,1
"Acss1",0.555603330603331,37,0.376148485885249,-0.151137825147494,0.582459297104175,1
"Acss3",0.409090909090909,33,-0.547487795302493,-0.0683891815226545,0.711504996052449,1
"Actc1",0.487207105064248,42,-0.106915203916513,0.0211594767178411,1,1
"Actn2",0.521372321822502,49,0.256775415362112,0.217659320807485,1,1
"Actr1a",0.452380952380952,35,-0.415037499278844,-0.038720475190523,0.780795783777946,1
"Actr2",0.444945697577277,57,-0.437405312307298,-0.360720338460332,0.395671747259994,1
"Actr3",0.489914021164021,72,0,-0.00565852187168048,0.915279595310834,1
"Acvr1",0.53731884057971,46,0.491853096329675,0.390135210716288,1,1
"Acvr2a",0.537172011661808,49,0.378511623253731,-0.0510601804007251,0.749299804523554,1
"Acyp2",0.382567855077254,84,-0.365649472316681,-2.98144519141307,0.0146100705776938,0.268134261239557
"Adam10",0.411944444444444,60,-0.333423733725192,-0.852849197048073,0.19154443440273,0.910735802097563
"Adam17",0.285606060606061,44,-1.32192809488736,-3.48815534142998,0.00825957066252276,0.19779498165515
"Adam19",0.466944444444444,60,-0.211504105193713,-0.120142322855983,0.624000604208775,1
"Adam22",0.433333333333333,45,-0.090197808971578,-0.180022372037229,0.548481386839454,1
"Adam9",0.470555555555556,60,-0.184424571137427,-0.0893622928638891,0.672471610164173,1
"Adamts1",0.63768115942029,23,1.22239242133645,-0.261761496727487,0.469342730048361,1
"Adamts10",0.557142857142857,35,0.610053481683988,0.257463469086673,1,1
