"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.616966966966967,37,0.756728848987636,12.8894554997149,1,1
"2210408F21Rik",0.38816491479535,46,-0.528694281074411,-3.83451599023591,0.0056176586854048,0.0456921446540599
"2610037D02Rik",0.495495495495495,37,-0.146841388329271,3.61606073738747,1,1
"2610307P16Rik",0.53287037037037,18,-0.131244533278252,-8.59335946469806,3.38796685687182e-05,0.000830810379976179
"4632427E13Rik",0.380787037037037,36,-0.37851162325373,-6.14554014855824,0.00045512821757873,0.00623146384568211
"4732440D04Rik",0.332561728395062,36,-0.961525852185364,-2.41489521750741,0.0279720304870857,0.147288039673126
"4933406I18Rik",0.379861111111111,24,-1.15200309344505,5.93442544092637,1,1
"5031425E22Rik",0.5215625,40,0.246160587269398,-0.0294423915534878,0.808267348047554,1
"9330159M07Rik",0.075,30,-3.28010791919274,-6.80627115742961,0.000224679422466641,0.00365493357537319
"9530026P05Rik",0.499848052428519,53,0.237499313726656,0.918495896796543,1,1
"AW554918",0.436111111111111,30,-0.241008099503795,6.49640004908261,1,1
"Aak1",0.651138716356108,46,0.57190634789571,3.76584622891109,1,1
"Abca1",0.516302235179786,49,0.0424352663203966,1.40277706102715,1,1
"Abca8a",0.715846321927403,37,1.59790155642865,0.0767925323789314,1,1
"Abca8b",0.366666666666667,25,-0.628031222613042,-2.48531199654678,0.0257813447829185,0.140332391826439
"Abca9",0.484959349593496,41,-0.0740005814437769,8.42784400661105,1,1
"Abcc1",0.60752688172043,31,0.584962500721156,10.0358834422508,1,1
"Abcc5",0.555555555555556,30,0.169925001442312,6.92522887761651,1,1
"Abcd3",0.807051282051282,26,1.8073549220576,-3.42894905695241,0.00882502991645693,0.0644423295677277
"Abhd18",0.416282642089094,31,-0.514573172829758,-1.82634234689161,0.0559789089696217,0.257628424193525
"Abi1",0.583917572941963,41,0.760329587231716,-1.0308692931669,0.151037757789188,0.567110118564312
"Abi3bp",0.80448717948718,26,1.5405683813627,7.24156804452399,1,1
"Abl2",0.540322580645161,31,0.561878887608115,4.06159290033854,1,1
"Ablim1",0.521789033469466,56,-0.120076451991751,0.754769413732006,1,1
"Ablim3",0.47452380952381,20,0.395928676331139,-3.0640263726886,0.0133053336833222,0.0844041051803026
"Abra",0.419063314981165,29,-0.564784618783526,3.2974418680231,1,1
"Abtb2",0.554516806722689,34,-0.0911478880581955,3.79882217201288,1,1
"Acacb",0.47997557997558,39,-0.0995356735509145,0.864805874808447,1,1
"Acadm",0.548611111111111,24,0.485426827170242,-4.71824930967026,0.00212709202739798,0.0202012265954618
"Acap2",0.442528735632184,29,-0.415037499278844,14.2619496928424,1,1
"Acat1",0.581959706959707,26,0.819427754358179,1.67082295516551,1,1
"Acer2",0.31140350877193,19,-0.616671360448494,-5.78284185471864,0.000671801832958981,0.00824167780818155
"Acer3",0.537634408602151,31,0.652076696579693,20.182372755391,1,1
"Ackr3",0.445512820512821,26,0.283792966000591,-1.32970392584023,0.102939050194821,0.419674589255807
"Aco2",0.567926225820963,38,0.610053481683987,1.92807663075442,1,1
"Acox1",0.593333333333333,25,0.561878887608115,-11.4425552185337,1.71978914452541e-06,9.4187118815175e-05
"Acss1",0.581069393569394,36,1,8.64563932006087,1,1
"Actc1",0.636755952380952,28,-0.0972972013549148,-0.657259852343493,0.251577965822067,0.836725906570155
"Actn2",0.448273461676823,42,-0.252187023596801,-6.01649344203221,0.000522672533838436,0.00698171522842724
"Actn4",0.509803921568628,17,0.192645077942396,0.387634172264924,1,1
"Actr2",0.555984555984556,37,0.214124805352848,13.131199787057,1,1
"Actr3",0.545736434108527,43,0.169925001442312,5.18308959182221,1,1
"Acvr2a",0.499774774774775,37,-0.31194400631474,14.6282353137821,1,1
"Acyp2",0.388933386999359,55,-0.620035267634782,-3.2397482298484,0.0109125894125489,0.0737834749169459
"Adam10",0.381720430107527,31,-0.540568381362703,9.44617750438259,1,1
"Adam17",0.495652173913044,23,-0.144389909335175,2.05200634838607,1,1
"Adam19",0.467948717948718,39,-0.402098443571345,9.7680006294681,1,1
"Adamts12",0.388888888888889,18,-1.10691520391651,-4.80390083408492,0.0019375244624597,0.0189485279275077
"Adamts9",0.462640056022409,34,0.0303736490435187,-0.834913162334296,0.196281798453474,0.701067380128385
"Adarb1",0.330952380952381,25,-0.893084796083488,-5.87150898727366,0.000610719114000379,0.00786969577621266
"Adcy9",0.524509803921569,34,-0.106915203916512,8.60966910372451,1,1
"Adgrf5",0.453663003663004,26,-0.15754127698648,-4.8344609378251,0.00187411259252789,0.0186616181183232
"Adgrl2",0.523076923076923,26,0.561878887608115,4.70802935057797,1,1
"Adgrl4",0.431547619047619,24,-0.137503523749935,-1.87665778917343,0.0527028719052239,0.246697488718755
"Adk",0.443930253998904,57,-0.217029236569355,-0.950857546744118,0.167886471092956,0.620779581560464
"Adprhl1",0.510897435897436,26,0.169925001442312,0.306430960886054,1,1
"Adra1a",0.392610837438424,29,-0.366127898797898,-0.346105780380313,0.405413164088463,1
"Aff1",0.437198755123283,53,0.0172779914318358,0.323918995465263,1,1
"Afg1l",0.551426426426426,37,0.0740005814437769,2.36857425894846,1,1
"Afg2a",0.541666666666667,38,0.0473057147783567,21.8040328346924,1,1
"Afg3l2",0.357471264367816,29,-1.1096244911745,-2.82819443381248,0.0173918958508715,0.102053160296364
"Aftph",0.341698841698842,37,-0.966833136064801,7.74558102216861,1,1
"Agap1",0.405555555555556,45,-0.552541023028779,2.23062179127726,1,1
"Agfg1",0.475841750841751,36,-0.0801703486839833,-8.8077335191037,2.70380362755697e-05,0.000740391560012685
"Agl",0.527777777777778,27,0.0458036896131246,-1.15099421079159,0.129208495683815,0.498332296733585
"Agmo",0.615591397849462,31,0.79836613883035,7.29888853192681,1,1
"Ago2",0.488505747126437,29,-0.192645077942396,-8.50987407170796,3.69930592887261e-05,0.000880863716106913
"Ago3",0.494509232264334,49,0,5.03925799221216,1,1
"Agps",0.3984375,32,-0.447458976971221,-8.47922401709371,3.82069219518511e-05,0.00089677103952702
"Agtpbp1",0.637830687830688,36,0.814444346843924,0.771408892769493,1,1
"Ahnak",0.494512195121951,41,-0.257157839497125,0.522901451102342,1,1
"Aig1",0.385281385281385,44,-0.963474123974886,6.5904602069343,1,1
"Airn",0.854141950328391,59,2.13245029602365,-2.78285310014496,0.0183156212659386,0.106711226028146
"Akap10",0.466666666666667,30,0.192645077942396,9.91561277289416,1,1
"Akap13",0.50630701754386,50,-0.0641303374197157,1.96447306626598,1,1
"Akap6",0.402755753975674,44,-0.129559633768916,-1.99122409543982,0.0459766926351079,0.221984457162896
"Akt3",0.473550724637681,46,0.0242475462466774,1.4372569088055,1,1
"Alcam",0.358457066901883,39,-1.11864449649862,-0.869252562836628,0.187328348710257,0.676440608639455
"Alpk1",0.485294117647059,34,0.0614005446641432,10.4939517946177,1,1
"Alpk2",0.573726117241155,28,0.423211430724544,-0.885925716335457,0.183153115550618,0.665753470906339
"Alpk3",0.394097222222222,24,-0.584962500721156,-7.30523087356619,0.000132178718078739,0.00244010824498166
"Ambra1",0.497153209109731,46,0,4.95655913660754,1,1
"Ank",0.427701789935832,47,-0.429987840744815,0.0890774427226262,1,1
"Ank2",0.494614798073466,65,0.0606959316875539,0.292298208623663,1,1
"Ank3",0.455812324929972,34,-0.415037499278844,9.20082122543734,1,1
"Ankhd1",0.628525641025641,52,0.73039294024272,2.32629103565922,1,1
"Ankib1",0.556547619047619,28,0,8.76612533944134,1,1
"Ankrd1",0.369212962962963,18,-0.237039197300849,-0.831820876632726,0.197112338142461,0.702506662837448
"Ankrd11",0.503892668178382,63,0.09515723304034,2.35036822375565,1,1
"Ankrd12",0.468915343915344,36,0.165059246270496,3.4810000415664,1,1
"Ankrd17",0.494636180615473,61,0.0867116331933309,-2.49241952307221,0.0255703636875649,0.140332391826439
"Ankrd33b",0.533870967741935,31,0.0430687218918859,10.9198009371513,1,1
"Ankrd44",0.51625,40,-0.314108590428063,2.34752730840624,1,1
"Anks1",0.38562030075188,38,-0.777607578663552,-0.157450071270375,0.574688713381129,1
"Ano4",0.456349206349206,21,-0.0671141958585368,17.0256016213516,1,1
"Ano6",0.450644841269841,48,-0.308122295362332,-1.78115536810596,0.0591054066407061,0.269003277314904
"Antxr2",0.560474446188732,49,0.0681715026415792,2.1778413487273,1,1
"Anxa2",0.507936507936508,22,-0.308122295362332,-5.64992284191073,0.000775135331618803,0.00916221114999779
"Anxa6",0.376811594202899,23,-1.29545588352617,-0.949743841294456,0.168135674859651,0.620779581560464
"Aoah",0.750666666666667,25,1.38702312310925,-12.3137605545955,6.95513182455843e-07,5.71364079387475e-05
"Aopep",0.472375963622562,65,-0.200819009388096,1.36451022384266,1,1
"Ap1g1",0.541666666666667,36,0.106915203916512,4.92866329050753,1,1
"Ap2a2",0.658439041578576,43,0.520832163301441,-0.395236381997357,0.373957210336003,1
