"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.551459293394777,31,0.311944006314741,-0.0945954289004973,0.663590914385201,1
"2010001K21Rik",0.46031746031746,21,-0.523561956057013,0.014860983708239,1,1
"2210408F21Rik",0.549329501915709,29,-3.88578058618805e-16,0.0452292247196553,1,1
"2610037D02Rik",0.427272727272727,33,-0.16349873228288,-0.279522142285394,0.454645571298829,1
"2610307P16Rik",0.482954545454545,44,-0.332575339086871,0.13088378691112,1,1
"4632427E13Rik",0.695402298850575,29,0.921997487998727,-1.98263645665728,0.0464479920747933,0.470886540344456
"4732440D04Rik",0.31359649122807,38,-1,-3.37875190893798,0.0093354259957341,0.166340317742171
"5031425E22Rik",0.576923076923077,39,0.381870635343644,-0.358804168770128,0.396929540067536,1
"9330159M07Rik",0.104938271604938,27,-3.1963972128035,-23.3745029671118,8.06858549170173e-12,7.9072137818677e-10
"9530026P05Rik",0.586402917006365,58,0.613451057680852,-2.96765327257285,0.0148404871698999,0.232698838824031
"AW554918",0.428571428571429,28,-0.678071905112638,-0.180383522077641,0.548080547155269,1
"Aak1",0.46003861003861,37,0.155278225477911,0.0951946723063273,1,1
"Abcc5",0.467948717948718,26,0.192645077942395,0.223303705214505,1,1
"Abcd3",0.471264367816092,29,0,-0.0305274421844359,0.804836354788983,1
"Abhd18",0.4625,22,-0.295455883526171,-0.0188958875505705,0.845861854008432,1
"Abi1",0.919532134532135,55,3.62803122261304,-80.7481662729699,5.32999636854131e-37,1.56701893235114e-34
"Abi3bp",0.341269841269841,21,-1,-0.755761279598609,0.218906904278,0.939542041718714
"Ablim1",0.492043576580394,43,-0.145540842815353,-0.264646341906882,0.46690438174551,1
"Ablim3",0.32183908045977,29,-1.15754127698648,-1.63147814053181,0.0708612684757572,0.591013132819081
"Abra",0.396081111870586,19,-1.09114788805819,-0.412583297688919,0.363673892352714,1
"Abtb2",0.413419913419913,22,-0.334419039070559,-0.344032479897283,0.406823340455255,1
"Acacb",0.643478260869565,23,0.459431618637296,-0.985743780620396,0.160290054228259,0.830401338204547
"Acadl",0.321212121212121,22,-0.506959988719882,-1.23221886661274,0.116449366548592,0.740240297627807
"Acat1",0.471428571428571,25,-0.137503523749934,-0.0308649949136282,0.80378222336422,1
"Ackr3",0.492753623188406,23,0.231325546106455,0.0807096132755873,1,1
"Aco2",0.384656084656085,27,-0.67137725253863,-0.580169598417744,0.281395205108395,1
"Acsl1",0.386274509803922,17,-0.211504105193712,-0.291263255885951,0.445323709497719,1
"Acss1",0.573968253968254,15,0.383328639551506,0.0532062602380208,1,1
"Actc1",0.493333333333333,25,-0.227410496103071,-0.0611738075898458,0.726502128808499,1
"Actn2",0.381060165424002,26,-0.426264754702098,-1.33686699767974,0.102016422904537,0.705713607857269
"Acyp2",0.487987012987013,35,-0.244236810379668,-0.204508318632719,0.522469043838181,1
"Adamts9",0.486111111111111,30,0.229481846122768,0.102483278980245,1,1
"Adamtsl1",0.556851851851852,45,0.532495080827021,-0.0249517473589691,0.823231285245303,1
"Adamtsl5",0.445,20,-0.0740005814437776,-0.0688999368709808,0.710478106352,1
"Adcy9",0.477604166666667,32,0.199308808223407,0.117954143287605,1,1
"Adgrd1",0.30952380952381,28,-1.58496250072116,-1.93020291076246,0.0494383690089822,0.484496016288025
"Adgrl3",0.434848484848485,22,-0.736965594166206,-0.186303325445333,0.541586837262457,1
"Adk",0.339171681116169,58,-0.588143747965836,-5.0684785561893,0.0014532586276054,0.0437802650986789
"Adra1a",0.126754385964912,19,-2.77760757866355,-5.05158190763061,0.00148014995310097,0.0437802650986789
"Aebp1",0.477011494252874,29,0.356143810225275,0.443275877551038,1,1
"Aebp2",0.498,25,-0.275634442613427,0.218118947127017,1,1
"Aff1",0.378907496012759,38,-0.678071905112637,-1.35174266737311,0.100129139224826,0.705713607857269
"Afg1l",0.4625,28,-0.415037499278844,-0.053002474690615,0.744739109623054,1
"Afg2a",0.451388888888889,24,-0.33703498727757,-0.0829364541392046,0.683806037853293,1
"Agap1",0.38978835978836,45,-0.34617564113404,-1.25594396138252,0.112990496590115,0.735086230268442
"Agl",0.407720057720058,21,-0.111031312388744,-0.271316430304001,0.461343627280736,1
"Ago3",0.660714285714286,28,0.830074998557687,-1.16566172031647,0.126794037667233,0.768107087469062
"Agtpbp1",0.623717948717949,26,0.610053481683986,-0.47953044736137,0.32742359814499,1
"Ahnak",0.491477272727273,44,-0.0297473433940523,-0.0527898152797732,0.745233904723652,1
"Aig1",0.407910906298003,31,-0.569365645670138,-0.544128981757552,0.296857510350993,1
"Airn",0.274153541597761,51,-0.632695111505258,-5.54233615621442,0.000870442030340297,0.028434439657783
"Akap13",0.530272108843537,42,0.192645077942396,-0.0790286906197011,0.690951372395808,1
"Akap6",0.55458518090097,26,0.376148485885249,-0.622052323404496,0.26468145221291,0.997645473725586
"Akt3",0.531862745098039,34,0.0365258760251138,0.00166110947807141,1,1
"Aldh1a1",0.722435897435897,26,1.04730571477836,-2.23653464098479,0.0344330850105384,0.394824477480983
"Aldh1a2",0.725,20,0.938599455335857,-1.60710223307693,0.0730016696914205,0.59361928292066
"Alpk2",0.570703933747412,23,0.505235308250422,-0.148359225238661,0.585947008907643,1
"Ambra1",0.563008130081301,41,0.304854581528421,-0.200288919170227,0.526790987919707,1
"Ank",0.435507246376812,23,-0.0703893278913972,-0.0703171178826025,0.707651308515832,1
"Ank2",0.56883559562131,42,0.0653760088520245,-0.0428239362125851,0.769784663366125,1
"Ank3",0.416269841269841,21,-0.351472370501378,-0.36497430651961,0.39289984551124,1
"Ankhd1",0.561111111111111,45,0.162271428898877,-0.100020471663875,0.654687799775938,1
"Ankrd11",0.400347222222222,48,-0.525091044743757,-1.18115983021622,0.12429723995772,0.767928188286462
"Ankrd12",0.654651162790698,43,0.793549122532574,-1.90021721652348,0.0512392868261127,0.489134344757718
