"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.481997677119628,41,-0.118644496498619,-2.90262768304075,0,0
"2010001K21Rik",0.557142857142857,35,0.443606651475615,-2.61899522402211,0,0
"2610035D17Rik",0.6875,24,0.893084796083488,1.42907807397279,0.98,1
"2610307P16Rik",0.40968253968254,75,-0.63035440353517,2.17497075135185,0.92,1
"4732440D04Rik",0.28953488372093,43,-0.938599455335857,-2.67439987255938,0,0
"5031425E22Rik",0.607407407407407,45,0.602664502454615,0.177821811005373,1,1
"9530026P05Rik",0.600710683349572,108,0.611273777837003,1.23049816147204,0.98,1
"Aak1",0.475,36,-0.283792966000591,9.46044553483134,1,1
"Abca8a",0.857563025210084,17,1.54748779530249,-34.2649672418064,0,0
"Abcb1b",0.962962962962963,27,6.95419631038687,0.678912026844193,0.04,0.0920670391061452
"Abcc5",0.5,36,0.176877762084079,6.12839838700104,1,1
"Abi1",0.907277046385957,101,3.60962455495543,-6.91687705448345,0,0
"Abi3bp",0.373958333333333,32,-0.616671360448494,-1.94166277539019,0,0
"Ablim1",0.560306637806638,60,0.202816882999687,-0.418851874170585,0,0
"Ablim3",0.429365079365079,42,-0.736965594166206,10.1308916744431,1,1
"Acap2",0.494047619047619,28,0.144389909335175,2.8970571258686,1,1
"Ackr3",0.505952380952381,28,0.184424571137427,4.46994179084403,1,1
"Acss3",0.42816091954023,29,-0.214124805352848,-1.34746731148991,0,0
"Adamts9",0.353333333333333,25,-0.943416471633633,2.95298380535348,1,1
"Adamtsl1",0.522203101776272,82,0.189661219503575,1.94130709350351,0.6,1
"Adcy9",0.643790849673203,51,0.800691191776594,-1.06801162997525,0,0
"Adgrd1",0.373626373626374,52,-0.521952703195356,23.3433784748298,1,1
"Adgrg6",0.633838383838384,33,0.514573172829758,4.70872492879121,1,1
"Adgrl3",0.359583333333333,40,-0.954196310386875,-1.77573252641773,0,0
"Adk",0.411582068724926,91,-0.437405312307298,2.04442306220096,1,1
"Aebp1",0.668713450292398,57,0.74416109557041,-1.84127138547768,0,0
"Aebp2",0.588141025641026,52,0.499571009490511,14.2886189625467,1,1
"Aff1",0.482748538011696,57,-0.0317088597273383,-3.97016414814564,0,0
"Agap1",0.435111111111111,75,-0.0797271924707341,1.25306820301019,1,1
"Agfg1",0.400709219858156,47,-0.389946518316013,-3.13451031206465,0,0
"Ago3",0.573529411764706,34,0.506959988719883,1.45430773000616,0.99,1
"Ahnak",0.40770782889427,59,-0.605721060887953,-0.287871719826398,0,0
"Airn",0.172367538564722,71,-1.94251450533924,0.147090330130084,0.8,1
"Akap13",0.461335403726708,46,-0.249978253008347,-1.56238753534101,0,0
"Akt3",0.518489583333333,64,-0.146841388329271,12.254130261071,1,1
"Aldh1a1",0.654792107117689,43,0.900464326449085,1.17070271966396,1,1
"Aldh1a2",0.720394736842105,38,1.39231742277876,3.52697934873216,1,1
"Ambra1",0.565705128205128,52,0.228268987673117,-3.19991380792486,0,0
"Anapc1",0.588141025641026,52,0.438121112391885,23.3811394536486,1,1
"Ank2",0.642089093701997,31,0.605721060887954,-1.96655332615033,0,0
"Ankhd1",0.518707482993197,49,0.192645077942396,24.6257642478556,1,1
"Ankib1",0.419354838709677,31,-0.20163386116965,2.88011213715372,1,1
"Ankrd11",0.591129032258065,62,0.321928094887362,0.324434279824217,1,1
"Ankrd12",0.685849056603774,53,1.10236171762968,-0.628672006666925,0,0
"Ankrd17",0.557598039215686,68,0.31034012061215,50.4897894277691,1,1
"Ankrd44",0.481707317073171,41,-0.186413124230881,9.65399509338771,1,1
"Ano1",0.382886904761905,56,-0.289506617194985,-1.63072869417584,0,0
"Ano6",0.555230288836846,61,0.129283016944966,0.281934557084568,1,1
"Anxa2",0.621376811594203,46,0.703606997219775,-1.93764521316623,0,0
"Anxa3",0.689716312056738,47,1.29278174922785,-1.2745572159541,0,0
"Aopep",0.563636363636364,44,0.263034405833794,-0.740815677913261,0,0
"Ap2a2",0.603448275862069,29,0.770518153877233,4.42588101195194,1,1
"Ap3b1",0.595238095238095,49,0.716207033999409,19.3675545682376,1,1
"Ap4e1",0.839015151515151,44,2.56293619439116,-1.68827332777772,0,0
"Apbb2",0.589015151515151,44,0.791413378188583,12.1955765197475,1,1
