"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.481997677119628,41,-0.118644496498619,-11.7349497079021,1.2688347855062e-06,1.08908319089282e-05
"2010001K21Rik",0.557142857142857,35,0.443606651475615,-13.6390924795266,1.76188028867218e-07,1.93571914382117e-06
"2610035D17Rik",0.6875,24,0.893084796083488,0.777871005413541,1,1
"2610307P16Rik",0.40968253968254,75,-0.63035440353517,6.35751570928937,1,1
"4732440D04Rik",0.28953488372093,43,-0.938599455335857,-6.19885917249786,0.000429858766514266,0.00214668862792579
"5031425E22Rik",0.607407407407407,45,0.602664502454615,8.9912223044629,1,1
"9530026P05Rik",0.600710683349572,108,0.611273777837003,2.93309916223387,1,1
"Aak1",0.475,36,-0.283792966000591,6.74220230669942,1,1
"Abca8a",0.857563025210084,17,1.54748779530249,-35.1793333934783,4.94451438171348e-17,1.35809328351064e-14
"Abcb1b",0.962962962962963,27,6.95419631038687,-0.327614086461688,0.418249649702546,1
"Abcc5",0.5,36,0.176877762084079,6.51240153083929,1,1
"Abi1",0.907277046385957,101,3.60962455495543,-8.3417535951499,4.41632831473043e-05,0.000269559594913917
"Abi3bp",0.373958333333333,32,-0.616671360448494,-12.2051603613245,7.78505104770859e-07,7.04932094869437e-06
"Ablim1",0.560306637806638,60,0.202816882999687,8.95935110159621,1,1
"Ablim3",0.429365079365079,42,-0.736965594166206,4.60915701655126,1,1
"Acap2",0.494047619047619,28,0.144389909335175,2.67611485926422,1,1
"Ackr3",0.505952380952381,28,0.184424571137427,1.75906216513595,1,1
"Acss3",0.42816091954023,29,-0.214124805352848,-15.5665215905839,2.40934875235945e-08,3.60964249444397e-07
"Adamts9",0.353333333333333,25,-0.943416471633633,2.72241828645654,1,1
"Adamtsl1",0.522203101776272,82,0.189661219503575,3.81733936813177,1,1
"Adcy9",0.643790849673203,51,0.800691191776594,1.18771236907438,1,1
"Adgrd1",0.373626373626374,52,-0.521952703195356,13.2928812321908,1,1
"Adgrg6",0.633838383838384,33,0.514573172829758,-5.009650592768,0.00154908231431779,0.00693719471194487
"Adgrl3",0.359583333333333,40,-0.954196310386875,-6.74291006094535,0.000240373054155488,0.00126966279887258
"Adk",0.411582068724926,91,-0.437405312307298,10.3303046615287,1,1
"Aebp1",0.668713450292398,57,0.74416109557041,-1.44734028450004,0.0888723898208251,0.272233640194646
"Aebp2",0.588141025641026,52,0.499571009490511,11.5880374500832,1,1
"Aff1",0.482748538011696,57,-0.0317088597273383,-2.16439797466001,0.0374727444915158,0.12327494739502
"Agap1",0.435111111111111,75,-0.0797271924707341,5.63887525824869,1,1
"Agfg1",0.400709219858156,47,-0.389946518316013,4.1436226229907,1,1
"Ago3",0.573529411764706,34,0.506959988719883,1.34607719587272,1,1
"Ahnak",0.40770782889427,59,-0.605721060887953,4.74632606710824,1,1
"Airn",0.172367538564722,71,-1.94251450533924,-2.66468161343689,0.0209690449874249,0.0725987103766307
"Akap13",0.461335403726708,46,-0.249978253008347,-5.26929276447706,0.00116907857453757,0.00535178191899423
"Akt3",0.518489583333333,64,-0.146841388329271,18.7411924308872,1,1
"Aldh1a1",0.654792107117689,43,0.900464326449085,0.828149455032573,1,1
"Aldh1a2",0.720394736842105,38,1.39231742277876,2.29354597937763,1,1
"Ambra1",0.565705128205128,52,0.228268987673117,7.5949898731519,1,1
"Anapc1",0.588141025641026,52,0.438121112391885,19.1582903656566,1,1
"Ank2",0.642089093701997,31,0.605721060887954,-17.889190845967,2.21087582516374e-09,4.44332117057297e-08
