"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.355376344086021,31,-0.625604485218502,-1.44683472146813,0.0889281714082186,0.668411201399817
"2210408F21Rik",0.470481310803891,31,0.247927513443586,0.251240210738096,1,1
"2610037D02Rik",0.388157894736842,38,-0.662965012722429,-0.964782726684717,0.164805994317286,0.866641407379495
"2610307P16Rik",0.468794326241135,47,-0.284729476933113,-0.209132374931777,0.517804172686445,1
"4632427E13Rik",0.502873563218391,29,-0.415037499278844,0.435961671274022,1,1
"4732440D04Rik",0.334072871572872,44,-0.940293753875732,-3.23655628616837,0.0109518557367577,0.191726790935897
"5031425E22Rik",0.537857142857143,40,0.514573172829758,0.0752295628164106,1,1
"9330159M07Rik",0.0921052631578947,19,-2.53605290024021,-9.88108208496124,8.77017249896133e-06,0.000505381190252646
"9530026P05Rik",0.648650599841076,63,0.679821687062598,-3.79760349726578,0.00585236758391963,0.144532578010015
"AU040320",0.591954022988506,29,0.415037499278843,-0.263701071607031,0.467701104735758,1
"Aak1",0.433227513227513,45,-0.415037499278844,-0.667674368415163,0.247855896422073,0.980453052691736
"Abca8a",0.712103174603175,16,0.825970600224952,-1.07017419876061,0.143469305645088,0.816535183980071
"Abcc5",0.401836734693878,35,-0.537656785942799,-0.749208524998835,0.22091508535401,0.956874615437844
"Abhd18",0.457692307692308,26,-0.142019004872428,-0.0932616584423904,0.665826121784699,1
"Abi1",0.894260461760462,55,3.2337971846087,-57.7832704867226,5.9140984291682e-27,2.72639937584654e-24
"Abi3bp",0.631944444444444,24,1.09953567355091,0.030723335566595,1,1
"Ablim1",0.493841694102878,59,0.22404027421793,0.51971407769507,1,1
"Ablim3",0.365151515151515,22,-0.53051471669878,-0.970320318418029,0.163598991641991,0.866641407379495
"Abra",0.350925925925926,18,-1.02748073642211,-2.02736288574796,0.0440478726564945,0.449686986905068
"Abtb2",0.49847619047619,25,0.415037499278843,0.18324461896643,1,1
"Acaca",0.349206349206349,21,-0.514573172829759,-0.790400413931163,0.20864537841814,0.946087076564877
"Acacb",0.452136752136752,27,-0.568283759574526,-0.135445465635748,0.602734753354327,1
"Aco2",0.583015873015873,30,0.234465253637023,-0.157060045351933,0.575162869456485,1
"Acss1",0.634826526130874,23,0.514573172829759,-0.476394446952874,0.329010422901495,1
"Actc1",0.483516483516483,26,-0.599462070416271,0.280303262131078,1,1
"Actn2",0.552165347423968,29,0.0680184234286512,-0.0199182284853592,0.841800683259642,1
"Actr3",0.45045045045045,37,-0.33257533908687,-0.312655074070328,0.429080819108529,1
"Acyp2",0.432579446268494,40,-0.518236386920344,-1.27281738173926,0.110599453731776,0.722512350351793
"Adam10",0.445039682539683,36,-0.197939377611909,-0.338978098370433,0.410291390006854,1
"Adamts9",0.516908212560386,23,-0.222392421336448,0.0439454165058599,1,1
"Adamtsl1",0.462772817460318,48,0.270089163367744,0.404450104638329,1,1
"Adamtsl5",0.513461538461538,26,-0.176877762084079,0.111963938548229,1,1
"Adcy9",0.746666666666667,25,1.65711228647699,-2.08339612436048,0.0412237773875315,0.435209802495847
"Adgrd1",0.533854166666667,32,0.381870635343644,0.210881853610573,1,1
"Adgrg6",0.666666666666667,29,1.25375659224578,-0.827962905449589,0.198154311707037,0.934974847629886
"Adgrl2",0.579365079365079,21,0.616671360448495,-0.00500567932907714,0.920299249887377,1
"Adgrl4",0.625555555555556,15,0.353636954614701,-0.157885613594352,0.574160134605956,1
"Adk",0.445061189949107,59,-0.167109985835259,-0.882612721168371,0.183974073634608,0.906361167362319
"Adprhl1",0.609424603174603,20,0.0901978089715785,-0.0425836353542373,0.770413302819085,1
"Adra1a",0.270578201356233,23,-1.06413033741972,-3.25464741813841,0.0107312055099655,0.190272528465157
"Aebp1",0.565656565656566,33,0.222392421336448,-0.105488817523749,0.646002220523801,1
"Aebp2",0.576470588235294,34,0.285402218862249,-0.176571421296771,0.552339412233801,1
"Aff1",0.507369614512472,42,-0.0660891904577726,0.0276445284033997,1,1
"Afg1l",0.532051282051282,26,0.447458976971222,0.195562112730634,1,1
"Afg2a",0.505238095238095,35,-0.356143810225275,0.307001797674239,1,1
"Agap1",0.541115921115921,60,-0.280107919192735,0.26099920929353,1,1
"Agfg1",0.48989898989899,33,-0.146841388329271,-0.032240155323521,0.799549841806913,1
"Agl",0.545112781954887,19,0.395928676331139,0.128646884158435,1,1
"Ago3",0.572222222222222,36,0.341036917835067,-0.192752847946771,0.534671310334383,1
"Agtpbp1",0.489241622574956,27,0.0995356735509143,0.0182676062014551,1,1
"Ahnak",0.464544513457557,46,-0.160464672193246,-0.179635537860442,0.548911340299407,1
"Aig1",0.588440860215054,31,0.133266530863464,-0.0995451143269577,0.65545619149135,1
"Airn",0.853620912630347,53,2.28095631383106,-31.9773589603652,1.27312061142071e-15,2.5153225794212e-13
"Akap13",0.481331168831169,44,-0.0727563424353145,-0.0929329574664592,0.666379887470049,1
"Akap6",0.55061334961335,30,0.455369593314061,-1.10482731237748,0.137149372865591,0.803718570648781
"Akt3",0.513989482739483,48,-0.14684138832927,0.169865665257738,1,1
"Aldh1a2",0.668954996186117,23,-0.192645077942396,0.758428687244766,1,1
"Alpk2",0.522222222222222,24,0.231325546106455,-0.0957990550702732,0.661589839521968,1
"Alpk3",0.506481481481482,18,0.362570079384709,0.152642199846277,1,1
"Ambra1",0.45542328042328,42,0.217591435072627,0.244839888245174,1,1
"Anapc1",0.492753623188406,46,-0.0759488532332989,-0.00188371391440967,0.951057076754793,1
"Ank",0.41984126984127,27,-0.423807708906576,-0.559422508973142,0.290167287418545,1
"Ank2",0.572926158520416,46,0.451796049288962,-0.995271512037831,0.158284112996723,0.866641407379495
"Ank3",0.571238425925926,24,0.700439718141093,-0.589638492809947,0.277503236060967,1
"Ankhd1",0.596960486322188,47,0.407175381505874,-0.641420284352897,0.257371546972262,0.985101865095492
"Ankib1",0.46875,32,0.231325546106456,0.225646340194373,1,1
"Ankrd1",0.551239669421488,11,0.0565835283663689,0.00110371050615754,1,1
"Ankrd11",0.502827380952381,48,0.0641303374197154,0.0019397105043879,1,1
"Ankrd12",0.594907407407407,36,0.491853096329675,-0.569511274935365,0.285858962407829,1
"Ankrd17",0.474987159732922,59,0.0149503414659718,-0.0928343793939774,0.666546189235105,1
"Ankrd28",0.628787878787879,22,0.15200309344505,-0.181470360958116,0.546877552587769,1
"Ankrd44",0.40015873015873,30,-0.215728691055437,-0.411855048524764,0.364097649003678,1
"Ano1",0.453947368421053,38,0.129283016944967,0.131095701342076,1,1
"Ano6",0.684848484848485,44,0.917537839808027,-2.36522668645994,0.0296330731516937,0.371533206803296
"Antxr2",0.489583333333333,24,0.184424571137428,0.0495236255233635,1,1
"Anxa1",0.607692307692308,26,0.632268215499513,-0.25991274741952,0.470916130411815,1
"Anxa2",0.675252525252525,33,1,-1.78558904427332,0.0587905883426029,0.534639973105671
