"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.490952380952381,35,0.222392421336448,12.0025793789105,1,1
"2010001K21Rik",0.607994842037395,47,0.678071905112638,-11.6699430113101,1.35755454840287e-06,8.91628419444849e-06
"2610037D02Rik",0.418367346938776,49,-0.700439718141092,-8.27046722172082,4.76110575570543e-05,0.000214653242545364
"2610307P16Rik",0.420426065162907,76,-0.53051471669878,1.6268300086719,1,1
"4732440D04Rik",0.30718954248366,51,-1.13750352374993,-7.20744419295649,0.000146638375647521,0.000588766912033819
"5031425E22Rik",0.603030303030303,55,0.599462070416271,7.98731970329483,1,1
"9530026P05Rik",0.535826638347647,119,0.0931094043914815,6.18546611017405,1,1
"Aak1",0.514705882352941,51,-0.084888897586513,0.855686412066753,1,1
"Abca1",0.450308641975309,36,-0.137503523749935,-5.70144006724338,0.000733303296879867,0.00264486341654298
"Abca8a",0.709038800705467,18,0.935869662580284,-30.2788553773044,7.14526555893624e-15,4.7516015966926e-13
"Abcb1b",1,19,Inf,-5.54516844451427,0.000867787181766222,0.00305580572326799
"Abi1",0.907075898228062,121,3.57022595746426,-9.00378902143825,2.20027338198261e-05,0.000104512985644174
"Abi3bp",0.517241379310345,29,0.184424571137427,-11.0123503130092,2.6916414993802e-06,1.65543731522574e-05
"Ablim1",0.428217503217503,74,-0.238159737194765,-7.79529195552607,7.86452584603139e-05,0.000332057757943547
"Ablim3",0.316666666666667,41,-0.902702798645085,-9.20320691876132,1.78456287317071e-05,8.79062452339645e-05
"Acaca",0.6,30,0.556393348524385,0.424474132749495,1,1
"Ackr3",0.313846153846154,25,0.111031312388744,-0.618258526237867,0.266143360094024,0.612936223246842
"Acss3",0.472222222222222,30,-0.60768257722124,-1.98720760405503,0.0461964917681392,0.116753128839193
"Acyp2",0.272435897435897,26,-1.25375659224578,-10.6644299063573,3.86863348220877e-06,2.24930383883614e-05
"Adam10",0.441117216117216,52,-0.306661338234052,-3.42610622715497,0.00885315729747932,0.0259497503154766
"Adamts9",0.544666666666667,25,-0.285402218862248,-3.6649145152539,0.00678195046259162,0.0203267473019648
"Adamtsl1",0.558380059895211,99,0.309684499132615,1.39903490769542,1,1
"Adcy9",0.634146341463415,41,1.27563444261343,-9.51418688280457,1.28789090433476e-05,6.61988368218445e-05
"Adgrd1",0.48375104427736,57,0.362570079384708,3.54536214737968,1,1
"Adgrg6",0.64,50,1,0.264519086531834,1,1
"Adgrl3",0.308974358974359,26,-1.22239242133645,-20.8530308591828,1.06079587517688e-10,2.21311139448667e-09
"Adgrl4",0.505555555555556,15,0.247927513443586,-0.44363922779366,0.346215887713863,0.772271917248534
"Adk",0.471578947368421,95,-0.0892673380970875,10.4143034481346,1,1
"Aebp1",0.454313725490196,85,-0.141355849245541,29.6008148829366,1,1
"Aebp2",0.573333333333333,50,0.238159737194765,-3.30018980977377,0.010195702736821,0.0295592035748708
"Aff1",0.494444444444444,60,-0.0766212816029128,7.93463693100914,1,1
"Agap1",0.476868553257442,108,-0.130256385951342,20.2504690916674,1,1
"Agfg1",0.508474576271186,59,0.134301091711591,0.745140914988156,1,1
"Ago3",0.545454545454545,44,0.142019004872428,0.238275573378317,1,1
"Ahnak",0.450811093668237,91,-0.29104878200339,14.6195117024502,1,1
"Aig1",0.673913043478261,23,1,-4.88626628945384,0.00177138282415253,0.00585326498415619
"Airn",0.912366238630284,89,2.82254132587228,-18.8874847755046,7.93939578391017e-10,1.27992683546673e-08
"Akap13",0.53670260557053,53,0.0544477840223765,-8.01630730615473,6.226067708979e-05,0.00027261465194871
"Akt3",0.437160940325497,79,-0.246639967583125,14.4392566075187,1,1
"Aldh1a1",0.614583333333333,48,0.777607578663552,-6.56440380119278,0.000290789783083297,0.00112101568550952
"Aldh1a2",0.66140350877193,47,0.389042290745899,-25.2301497913036,1.21599951080234e-12,3.59395410970468e-11
"Ambra1",0.499761904761905,70,-0.0780025120012731,0.456104077519512,1,1
"Anapc1",0.498717948717949,65,0.18844508941311,-7.58641384345009,9.81050236261731e-05,0.000406162432444546
"Ank2",0.746913580246914,27,1.1926450779424,-9.72062854244734,1.03741635258713e-05,5.43749260666359e-05
"Ankhd1",0.485215053763441,62,0.0297473433940521,12.9577831337083,1,1
"Ankib1",0.521929824561403,38,0.273018494406416,0.134020583535445,1,1
"Ankrd11",0.535858585858586,66,0.267480310864986,4.44385357564926,1,1
"Ankrd12",0.684210526315789,57,1.02169507109932,-22.4565307354299,2.05979339333558e-11,5.09679109420712e-10
"Ankrd17",0.476626016260163,82,-0.15200309344505,10.9703234757107,1,1
"Ankrd44",0.360119047619048,40,-0.567040592723894,3.25800802649636,1,1
"Ano1",0.527984344422701,73,-0.0201778819376301,9.39026382974939,1,1
"Ano6",0.682518518518519,75,1.04629365227393,5.77908039170418,1,1
"Antxr2",0.759259259259259,27,1.95419631038687,-2.78072610179985,0.0183601780996715,0.0511393442357342
"Anxa1",0.54390243902439,41,0.945552215977624,-0.210776367513184,0.516163274837584,1
"Anxa2",0.579931972789116,49,0.584962500721156,-12.3612948071652,6.62036541637314e-07,4.54456051807808e-06
"Anxa3",0.676923076923077,65,1.0703893278914,-0.418463458483544,0.360277155732155,0.798614361872945
"Aopep",0.481049342814049,68,-0.0234589728239889,2.72016911390425,1,1
"Ap2a2",0.563492063492063,42,0.199308808223407,-12.9364342007999,3.64658763389903e-07,2.71326520452348e-06
"Ap2b1",0.514583333333333,48,0.12199052437861,-11.2852443693266,2.0257252780242e-06,1.26786570342221e-05
"Ap3b1",0.513888888888889,60,0.227410496103073,0.71708329907085,1,1
"Ap3s1",0.435897435897436,39,-0.321928094887362,-8.81406742071083,2.68585374591475e-05,0.000126449043612977
"Ap4e1",0.919871794871795,52,3.82442843541655,0,1,1
"Apba1",0.595238095238095,28,0.506959988719883,-0.184766455124482,0.543258982194444,1
"Apbb2",0.576190476190476,48,0.475338009546658,-9.09037532510485,2.00899141642352e-05,9.62867958141725e-05
"Apc",0.306818181818182,44,-1.0703893278914,1.66256927178437,1,1
"Apoe",0.3703125,32,-0.777607578663552,-15.3898010052893,2.89060427132888e-08,2.79600267699448e-07
"App",0.368179351512685,117,-0.701341684435485,9.09729339779034,1,1
"Aqp1",0.561635220125786,53,0.296981737757132,15.1567462992387,1,1
"Arb2a",0.477536231884058,92,-0.29104878200339,10.4462263075093,1,1
"Arf4",0.573584905660377,53,0.362570079384709,-15.9099822369517,1.69145158880593e-08,1.6978344249901e-07
"Arfgef1",0.522982804232804,72,-0.123382415505282,18.6007844358202,1,1
"Arhgap10",0.47734375,64,-0.113210610447991,1.09673995492355,1,1
"Arhgap17",0.525252525252525,33,0.0614005446641435,0.0754319312857277,1,1
"Arhgap18",0.467328306614021,112,-0.191577600985896,2.60524179634999,1,1
"Arhgap21",0.446388888888889,60,-0.299560281858908,12.0997857500259,1,1
"Arhgap26",0.557070707070707,55,0.573185332944803,-5.0477375923993,0.00148633829017415,0.00498884523894414
"Arhgap28",0.54975845410628,69,0.389946518316013,20.303424060867,1,1
"Arhgap29",0.728142076502732,61,1.0703893278914,7.17409509632849,1,1
"Arhgap44",0.497761194029851,67,0.0544477840223765,15.2322485358038,1,1
"Arhgap5",0.467948717948718,39,-0.15754127698648,-7.90910276466212,6.97283553470301e-05,0.000299157137456613
"Arhgef12",0.753686120399446,94,2.40351562938362,21.666971972888,1,1
"Arhgef3",0.570289855072464,23,0.283792966000591,-19.0223344400417,6.91433769326291e-10,1.16045555361922e-08
"Arid1b",0.453512494106554,101,-0.20945336562895,12.224676092884,1,1
"Arid2",0.625925925925926,45,0.565597175854225,0.748141975200525,1,1
"Arid4b",0.546875,64,0.415037499278843,11.0408218488738,1,1
"Arid5b",0.457777777777778,30,-0.241008099503795,-10.8048224463828,3.34167201128702e-06,1.96438619890021e-05
"Arih1",0.592261904761905,84,0.334419039070559,16.4548522183756,1,1
"Arl15",0.485667197913648,58,0.120294233717712,2.48655006106181,1,1
"Arnt",0.615384615384615,39,0.796466605914868,8.28802142773966,1,1
"Arpc2",0.43640350877193,38,-0.273018494406416,2.14049241294094,1,1
"Asap1",0.405816326530612,70,-0.426264754702098,5.31851839359626,1,1
"Ascc3",0.449751243781095,67,-0.185555653156077,3.52321336669054,1,1
"Ash1l",0.48547619047619,70,-0.253756592245783,19.7603603885825,1,1
"Asph",0.590909090909091,33,0.68805599368526,-4.75957828048825,0.0020333801580279,0.00661625837352198
"Atad2",0.158854166666667,32,-2.03952836418664,-9.649235025518,1.11795894716327e-05,5.83092313618488e-05
"Atad2b",0.45906432748538,57,-0.31315788525963,1.74288730701041,1,1
"Ate1",0.385772357723577,41,-0.415037499278844,-10.0583324152883,7.28590653364664e-06,4.01668629626944e-05
"Atf2",0.553030303030303,44,0.299560281858908,0.991017687913235,1,1
"Atg10",0.440104166666667,32,-0.0544477840223765,-0.771942876991432,0.214040343938001,0.504964359090983
"Atp10d",0.593434343434343,66,0.664815808410371,12.5228644507964,1,1
"Atp11a",0.4375,48,-0.526068811667588,0.299398464337649,1,1
"Atp13a3",0.492592592592593,45,0.192645077942396,-0.246936808053,0.482204442617449,1
"Atp2a2",0.52226368159204,67,0.341036917835067,7.26586202334765,1,1
"Atp2b1",0.435374149659864,49,-0.604071323668861,-0.656046889315931,0.25201591500049,0.584193755033816
"Atp2c1",0.5,39,-0.283792966000591,0.526275063929461,1,1
"Atp6v0b",0.528985507246377,46,0.15200309344505,2.11340301761468,1,1
"Atp8a1",0.628968253968254,42,0.893084796083488,0.0233116443874692,1,1
"Atp9b",0.425925925925926,45,-0.299560281858908,1.25671347458677,1,1
"Atrnl1",0.481707317073171,41,0.253756592245783,-5.73408683661282,0.000707982220194123,0.00257096615114862
"Atxn1",0.58719806763285,69,0.206450877467426,12.2741057515119,1,1
"Atxn2",0.457264957264957,39,-0.206450877467427,-0.0952414905429038,0.662514940248421,1
"Atxn7",0.526162790697674,43,-0.371968777386958,-10.1414900191294,6.67921074732968e-06,3.70139595581187e-05
"Auts2",0.542528735632184,29,0.369233809665719,-0.793683980794185,0.207702582080456,0.491101216296899
"B2m",0.592767295597484,53,0.436099114806674,7.21865403901582,1,1
"B3galt1",0.587745098039216,34,0.833990048561071,-12.495840972252,5.75781823630012e-07,4.00412980615904e-06
"B4galt1",0.524342572850035,67,0.167109985835258,10.2217573052085,1,1
"B4galt5",0.445325203252033,41,-0.222392421336448,-22.2310885414582,2.59318998646506e-11,5.99816118608441e-10
"B4galt6",0.406349206349206,42,-0.222392421336448,-22.2996118468764,2.41787510446204e-11,5.71693135810579e-10
"Babam2",0.537908496732026,51,0.169925001442312,-2.17360639166793,0.0370695664652378,0.094836545450493
"Bach1",0.588636363636364,44,0.710493382805015,-10.4920556988,4.63108116829543e-06,2.64917761455179e-05
"Baiap2l1",0.636363636363636,44,0.736965594166206,-3.4382054547886,0.00873407794665904,0.0256714335227768
"Baz1b",0.403703703703704,36,-0.485426827170242,-15.9607893529443,1.60523953770838e-08,1.65489237762956e-07
"Baz2b",0.668888888888889,45,0.62148837674627,0.0783687422070685,1,1
"Bbx",0.474768518518519,72,-0.199308808223407,0.40458238511404,1,1
"Bcam",0.339285714285714,56,-0.951090399519054,4.97426280895023,1,1
"Bcar3",0.199186991869919,41,-2.05062607306997,-14.2297572010532,9.56784176647638e-08,8.0795108250245e-07
"Bcas3",0.537878787878788,44,0.169925001442313,-5.2499339161821,0.00119383083550332,0.0040843601574776
"Bckdhb",0.538461538461538,26,0.304854581528421,0.0634195208442137,1,1
"Bcl2",0.570175438596491,38,0.584962500721156,-0.0913077684063097,0.66913505847448,1
"Bdp1",0.537037037037037,36,0.169925001442312,-0.0134099675469983,0.869913838450031,1
"Bicc1",0.571740767905579,127,0.215538750295385,4.05209812552201,1,1
"Bicd1",0.877425044091711,54,2.86941589018986,-2.76759029727191,0.0186378417847602,0.0516423532786063
"Birc6",0.559939759036145,83,0.0622842782543427,23.1208638123047,1,1
"Bltp3b",0.368421052631579,38,-0.476438043942987,-4.37908109377523,0.00308219484838874,0.00976508403428193
"Bmp2k",0.527777777777778,36,-0.222392421336448,-0.271664348812287,0.461056470801177,0.979169830204496
"Bmpr1a",0.577705627705628,77,0.189824558880017,22.8081253677654,1,1
"Bmpr1b",0.460078105316201,63,-0.31748218985617,-0.688135034019254,0.240737513560134,0.559267935432276
"Bmpr2",0.506802721088435,49,0.118644496498619,-10.8615468101666,3.1497661277715e-06,1.87955870034334e-05
"Bnc1",0.320833333333333,40,-1,1.65695038700532,1,1
"Bnc2",0.449340493773267,119,-0.303780748177103,1.11696059313633,1,1
"Braf",0.631147540983607,61,0.328622747461371,-29.2929058948113,1.94614858966407e-14,9.00305260609812e-13
"Brwd1",0.465277777777778,60,-0.20163386116965,22.24361244001,1,1
"Btaf1",0.302631578947368,38,-1.24792751344359,3.31636975888395,1,1
"Btbd7",0.559782608695652,46,0.415037499278844,0.0774803374726218,1,1
"Btbd9",0.475434618291761,63,0.130060540564373,11.5005232443253,1,1
"Btg2",0.529487179487179,52,0.289506617194985,2.17274747341546,1,1
"Btrc",0.416666666666667,30,-0.612976876890753,-8.39796477359426,4.16224880764296e-05,0.00018845245665243
"C1qtnf7",0.391875,40,-0.678071905112638,1.92933899137409,1,1
"C3",0.492124542124542,91,0.051838931519618,14.8049294831749,1,1
"C330020E22Rik",0.452121212121212,55,-0.538419914784126,6.73344334239665,1,1
"Cacna1c",0.612179487179487,26,1.18057224564182,-10.2088897415081,6.22487807769963e-06,3.52301610354915e-05
"Cacnb2",0.545560047918539,106,0.338585438840971,1.26022620586068,1,1
"Cadm2",0.950980392156863,17,2.8073549220576,4.20304641784591,1,1
"Cald1",0.504273504273504,78,0.109624491174498,4.44819831871767,1,1
"Camk1d",0.534090909090909,22,0.793549122532573,-13.7970354768374,1.49636743507816e-07,1.20616284160846e-06
"Camk2d",0.426401446654611,79,-0.461331151552779,6.23499084413707,1,1
"Camkmt",0.487179487179487,26,-0.3536369546147,-20.7381782430631,1.19305158818566e-10,2.44116709582605e-09
"Cav1",0.334848484848485,55,-0.930737337562886,-7.79532576734319,7.86424457999824e-05,0.000332057757943547
"Cblb",0.582164502164502,55,0.559427408614019,-2.60681451245625,0.0224105100688523,0.0608285273297421
"Ccar1",0.6,35,0.695145418471579,-16.4919865907014,9.29217156486571e-09,1.05179473883161e-07
"Ccdc171",0.942857142857143,70,4.0630097975258,0,1,1
"Ccdc85a",0.423492063492063,45,-0.200298650485831,2.73755915145344,1,1
"Ccnd3",0.586186186186186,37,0.604071323668861,-7.69106806966519,8.78145690427699e-05,0.000367853155360264
"Ccnt2",0.412878787878788,44,-0.387023123109247,13.1904168900805,1,1
"Ccny",0.452046783625731,57,-0.212993723334198,14.0798385014974,1,1
"Cd200",0.555555555555556,42,0.137503523749935,-1.67123269321245,0.067513380675801,0.167056365207098
"Cd2ap",0.676305916305916,110,1.52685954615759,6.6829840281903,1,1
"Cd36",0.47463768115942,23,-0.169925001442312,-23.0706054192118,1.10029510543006e-11,2.92678498044395e-10
"Cd47",0.503623188405797,46,0,0.544926423656122,1,1
"Cd81",0.495098039215686,34,0.0614005446641435,-8.18194444972926,5.22716924406393e-05,0.00023270745086544
