"","AR","N","log2FC","llr","pval","padj"
"4933406I18Rik",0.380092592592593,36,-0.367731784500487,1.08560077014878,1,1
"5031425E22Rik",0.57,30,0.321928094887362,1.84847898020417,1,1
"Abca1",0.539952496642637,71,0.095860015407516,1.17810592817554,1,1
"Abca9",0.537414965986395,35,-0.201633861169651,-13.4366726916605,2.17234319178603e-07,3.62781313028268e-06
"Abi1",0.495757575757576,55,0.321928094887362,39.9781194023461,1,1
"Abl2",0.421212121212121,33,-0.295455883526171,-4.70920904503667,0.00214816758945386,0.0123704823254757
"Ablim1",0.511934156378601,27,-0.229481846122767,-16.9546434294554,5.7742419618221e-09,1.75326983204417e-07
"Acer3",0.536630036630037,39,0.187627003175771,0.788488520711653,1,1
"Actr2",0.478682170542636,43,0.118644496498619,8.65701867469527,1,1
"Actr3",0.653703703703704,36,0.724365557386573,-5.55729944246244,0.000856508463044501,0.00560929071876203
"Adam19",0.444444444444444,27,-0.700439718141092,4.51632803205234,1,1
"Adam9",0.458064516129032,31,-0.559427408614019,-0.281978086580224,0.45267061761238,1
"Adgre1",0.4296875,32,-0.271302021817394,-4.34591495326958,0.00319639556032985,0.0176462168123995
"Adgrg6",0.54952380952381,40,0.514573172829758,3.37594659773919,1,1
"Aff1",0.421317829457364,43,0.0331668639351993,2.37137564602176,1,1
"Aftph",0.47008547008547,39,-0.0506260730699677,9.15280272349958,1,1
"Agfg1",0.435470085470085,39,-0.46394709975979,-1.53686819716703,0.079566403148542,0.279738722648558
"Agmo",0.551282051282051,39,0.527247002864869,12.2645350915549,1,1
"Ago3",0.485714285714286,35,0.15200309344505,1.2900948999711,1,1
"Agps",0.397619047619048,35,-0.70626879694329,10.5294787341866,1,1
"Ahnak",0.36984126984127,42,-0.426264754702098,19.5225193203499,1,1
"Aig1",0.280952380952381,35,-1.33703498727757,3.09296729382769,1,1
"Airn",0.541269841269841,21,0.526068811667588,4.54327562056184,1,1
"Akap13",0.535,50,0.0577154978562875,9.514698044066,1,1
"Akt3",0.481720430107527,31,-0.356143810225275,-2.38020094623792,0.0291217475503238,0.115108445938558
"Alcam",0.415327096364248,57,-0.404390255079336,-9.4550464039667,1.37025801421935e-05,0.00015262927698523
"Alpk1",0.32156862745098,34,-1.51937415909358,3.69297983447117,1,1
"Ambra1",0.551470588235294,34,0.245112497836532,-7.46502038457056,0.000111572138910349,0.00098066037884359
"Ank2",0.279761904761905,42,-1.54432051622381,1.77181393023851,1,1
"Ankhd1",0.425193798449612,43,-0.084888897586513,9.39230108587358,1,1
"Ankrd11",0.494365079365079,60,-0.102361717629678,4.64612717264771,1,1
"Ankrd17",0.562345679012346,54,0.0995356735509143,7.02271327248613,1,1
"Ankrd33b",0.36359649122807,38,-1,-0.904536940676032,0.178619366462501,0.542353349077049
"Ankrd44",0.493269230769231,52,-0.0565835283663675,16.3327938886456,1,1
"Anks1",0.343780369290573,49,-1,-3.94386023816585,0.00497715552575709,0.0249980442947799
"Ano6",0.410119047619048,56,-0.86102358685119,0.740087033696923,1,1
"Antxr2",0.546504157218443,42,0.143364175171177,-1.58825214377372,0.0747043923497092,0.265439011114924
"Aoah",0.510301132975552,43,-0.15200309344505,-0.144939168707964,0.59029850505669,1
"Aopep",0.495614035087719,57,0.303780748177103,1.80050266056487,1,1
"Ap2a2",0.606909430438842,51,0.39231742277876,9.54813364098847,1,1
"Ap2b1",0.564035087719298,38,0.199308808223407,-6.17932851370243,0.000438946326100101,0.00325795717594298
"Ap3b1",0.397435897435897,39,-0.700439718141092,14.0052154876289,1,1
"Apaf1",0.505208333333333,32,-0.111031312388744,10.4700254624277,1,1
"Apba1",0.571428571428571,28,0.761840262805235,13.0653215568087,1,1
"Apc",0.491379310344828,29,-0.0671141958585371,6.84542659493822,1,1
"Apoe",0.881944444444444,42,2.49185309632967,-5.68135994622379,0.000749330102311827,0.00510767865657449
"App",0.694064153439153,72,1.69726547034595,-0.48224787748201,0.326056768816724,0.922906447328693
"Arb2a",0.638499149659864,56,0.666262602823004,9.35873245738234,1,1
"Arfgef1",0.434684684684685,37,-0.398549376490275,8.05544264606937,1,1
"Arhgap10",0.466216216216216,37,-0.192645077942396,0.0458626502972237,1,1
"Arhgap12",0.496913580246914,27,0.137503523749935,-4.24592256557886,0.00356741830905264,0.0195330772987473
"Arhgap15",0.549272486772487,36,0.0384741478146358,-11.9019060158152,1.06670994393023e-06,1.67428181499787e-05
"Arhgap18",0.53015873015873,42,0,1.80344823608385,1,1
"Arhgap26",0.378,50,-0.655351828612554,4.22639706572735,1,1
"Arhgef12",0.553418803418803,39,0.68965987938785,2.90419289255281,1,1
"Arhgef3",0.600757575757576,44,0.517848304862619,-5.6964660032622,0.000737240751601581,0.00507708063989542
"Arid1b",0.475641025641026,52,-0.286881147788162,5.67334167444844,1,1
"Arih1",0.540058479532164,57,0.178970141045319,10.9127275287557,1,1
"Arl15",0.42536231884058,46,-0.909802191028422,9.12164272293887,1,1
"Arpc2",0.420833333333333,40,-0.400537929583729,13.4049514082729,1,1
"Asap1",0.512619047619048,50,0.321928094887362,21.511363970641,1,1
