"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"1700025G04Rik",0.601388888888889,60,0.527247002864868,3.63787037188816,1,1
"2210408F21Rik",0.38855421686747,83,-0.616671360448494,-7.57192650438569,0,0
"2610035D17Rik",0.976190476190476,42,5.83289001416474,0.276797199005751,0.08,0.30278728606357
"2610307P16Rik",0.388888888888889,27,-0.807354922057604,13.5564255186673,1,1
"3110082I17Rik",0.49685534591195,53,-0.129283016944966,2.75150210601697,1,1
"4632427E13Rik",0.452380952380952,70,-0.0703893278913981,2.66870889919019,1,1
"4732440D04Rik",0.203125,64,-2.15919859484925,-1.33496806152471,0,0
"4732471J01Rik",0.634408602150538,93,0.758991900496205,1.61970927111844,1,1
"4933406I18Rik",0.432831325301205,166,-0.347923303420307,52.556223432787,1,1
"5031425E22Rik",0.60974358974359,130,0.750021746991652,12.1264627183999,1,1
"5033421B08Rik",0.507575757575758,66,0.0721497857558351,2.82575084886153,1,1
"9530026P05Rik",0.524702380952381,48,-0.145850866463455,-8.71074358167566,0,0
"AW554918",0.48952380952381,70,0.0874628412503395,3.27686686086989,1,1
"Aak1",0.396713615023474,71,-0.406625259462643,3.67108432422526,1,1
"Abca1",0.502294447190641,289,0.134509935811679,1.55905633002595,1,1
"Abca8a",0.568025493025493,18,0,-6.7239005330259,0,0
"Abca9",0.542272727272727,220,0.186654640100013,-3.18685544881697,0,0
"Abcc1",0.601449275362319,92,0.481126689736616,4.20850292780597,1,1
"Abcc3",0.5,57,-0.169925001442312,2.63992179161082,1,1
"Abhd12",0.508771929824561,76,-0.0857298740258843,4.47332120867603,1,1
"Abi1",0.517202181876095,184,0.313660478903762,-20.9159384457245,0,0
"Abl2",0.538617886178862,82,0.132450296023649,2.44859098980454,1,1
"Ablim1",0.461022050865801,64,0.15200309344505,-16.7421597737638,0,0
"Ablim3",0.47463768115942,23,0.211504105193712,-5.67989096768846,0,0
"Abr",0.59775641025641,104,0.559427408614019,5.5082115789665,1,1
"Abtb2",0.413690476190476,42,-0.29373120305671,3.37161591895187,1,1
"Acap2",0.434959349593496,82,-0.398549376490275,4.05877815150251,1,1
"Acer3",0.562141541699553,181,0.36118752533459,-14.6262421280897,0,0
"Actr2",0.515151515151515,154,-0.084888897586513,28.7169736562312,1,1
"Actr3",0.446687370600414,161,-0.284303022587445,31.3938676852547,1,1
"Acvr1",0.617021276595745,47,0.454565863465481,2.07668518760428,1,1
"Acvr2a",0.414814814814815,90,-0.574236094128098,3.72469609517896,1,1
"Acyp2",0.367222222222222,60,-0.84799690655495,-4.62449203164437,0,0
"Adam10",0.535140562248996,83,0.278301162487104,2.83340371614094,1,1
"Adam17",0.407142857142857,70,-0.366782330671623,3.31886729306609,1,1
"Adam19",0.56980056980057,117,0.666576266274808,10.568563235282,1,1
"Adam22",0.284722222222222,60,-1.14886338591448,2.77565900499302,1,1
"Adam9",0.4996336996337,91,0.175849835399418,3.78713777136605,1,1
