"","AR","N","log2FC","llr_var","pval_var","padj_var"
"2210408F21Rik",0.46420581655481,149,-0.271302021817394,-0.882075897840423,0.184107499537559,1
"2210408I21Rik",0.621527777777778,48,0.825970600224951,-4.4483922433047,0.00285673280117303,0.0307098776126101
"2610307P16Rik",0.461805555555556,144,-0.237039197300849,-0.423521329507395,0.35739030361371,1
"4632427E13Rik",0.507936507936508,147,-0.0531113364595628,0.0518807447500222,1,1
"4833422C13Rik",0.675287356321839,203,0.962329582033945,-2.92563761432075,0.0155657676386252,0.136996960796087
"4930523C07Rik",0.339285714285714,84,-0.866733469136535,0.000277923527519874,1,1
"4933431K23Rik",0.47948717948718,65,-0.33014860169233,0.0486967323424068,1,1
"5031425E22Rik",0.510224948875256,163,0.153623189113212,0.184329285866596,1,1
"9330188P03Rik",0.575757575757576,55,0.37851162325373,0.0152359357076222,1,1
"9530026P05Rik",0.465829877193514,770,-0.0652914602517191,3.47677875719148,1,1
"9630014M24Rik",0.391071428571429,112,-0.551409941010129,-0.313290683563423,0.428612070729769,1
"A830082K12Rik",0.509345794392523,107,0.022026306329999,-0.00794318004552963,0.899699387111126,1
"AW554918",0.477011494252874,203,-0.0817940911636477,0.220755795280894,1,1
"Aak1",0.536507936507936,105,0.246639967583125,-0.247032570520105,0.482119520407174,1
"Abca6",0.587730061349693,163,0.697730430883106,-0.0607876759936801,0.727332134449286,1
"Abca8a",0.759190031152648,321,1.72747414518891,-39.1499176506343,8.8529238280618e-19,1.95936034724015e-17
"Abca8b",0.775537634408602,124,1.78958022032963,0.00449646522361036,1,1
"Abca9",0.558333333333333,100,0.245112497836531,-0.0345636383654266,0.792611727195158,1
"Abcc9",0.422356338161507,503,-0.492092925943873,-0.661073448458296,0.250207113018626,1
"Abcg2",0.48780487804878,82,-0.120294233717712,-0.0334794140438959,0.795817305449161,1
"Abhd17b",0.304878048780488,82,-1.2081081953302,0.00189061519930078,1,1
"Abi1",0.628109452736318,268,0.9724141683281,-116.053725389765,2.06895776293412e-52,2.83071039383259e-50
"Abi2",0.482758620689655,174,-0.103093492964104,-0.0122081703776757,0.875830220185052,1
"Ablim1",0.378981937602627,116,-0.788495894806288,-0.233381968653362,0.494479687839445,1
"Abr",0.52,100,-0.0692626624371138,-0.09733121503821,0.659064119585277,1
"Acaca",0.518115942028985,92,0.321928094887362,-0.0397255020141927,0.778042775965924,1
"Acap2",0.459643605870021,159,-0.117836490293858,-0.00633344338316988,0.91038949604851,1
"Acbd6",0.568181818181818,66,0.243925582886089,0.0202481368296574,1,1
"Acer2",0.485466034755134,211,-0.1760303640915,-2.3209022132591,0.0312021786665599,0.24881302399497
"Acer3",0.676470588235294,68,1.14684138832927,-0.252577597241995,0.477243690213212,1
"Actr2",0.559895833333333,128,0.303780748177103,0.0452363017727322,1,1
"Actr3",0.445736434108527,129,-0.282399730700725,-0.819988847567259,0.200328528474364,1
"Acvr1",0.423948220064725,103,-0.401362562381767,-0.278342691013165,0.455598843921944,1
"Acyp2",0.382478632478632,195,-0.736965594166206,-4.4225013472589,0.00293892464382722,0.0313693729713473
"Adam19",0.544715447154472,82,0.200298650485832,-0.117831745759005,0.627355865309099,1
"Adam22",0.543543543543544,111,0.225559700415131,-0.0546534028085262,0.740934711928855,1
"Adam9",0.533333333333333,75,0.20163386116965,-0.000123301774898721,0.987470842346979,1
"Adamts12",0.451566951566952,234,-0.074000581443777,-4.20895355756755,0.00371543232111453,0.0385636251260508
"Adamts17",0.441176470588235,51,0,0.108145989678185,1,1
"Adamts2",0.614740368509213,199,0.730813367184611,-0.500645802636626,0.316998178902033,1
"Adamts9",0.591452991452991,156,0.434937056716549,-105.16294986142,1.16617568089622e-47,1.25363885696344e-45
"Adap2",0.56075117370892,355,0.380423744197507,-80.2578185846249,8.72949107039628e-37,5.05303233113323e-35
"Adap2os",0.597058823529412,170,0.650415562209772,0.2309888435841,1,1
"Adcy3",0.55787037037037,72,0.137503523749935,0.0666102072078587,1,1
"Adcy6",0.441613588110403,157,-0.466318004222537,0.176048536039758,1,1
"Adcy9",0.467329545454545,176,-0.174330180562313,-0.610771436337473,0.269058075042881,1
"Adgra3",0.507042253521127,71,0.0703893278913981,-0.000131135430478935,0.987079000818382,1
"Adgrl2",0.514669738863287,217,0.156868848616866,-3.24210240566259,0.0108837216182396,0.0992727335481853
"Adgrl3",0.423610072301172,382,-0.584962500721156,-126.377295492281,6.51518709590924e-57,1.22566957241793e-54
"Adk",0.397849462365591,62,-0.672425341971495,-0.190584945005924,0.536977795139574,1
"Aebp2",0.54,75,0.222392421336448,-0.0339190810570074,0.794510816125903,1
"Aff1",0.455555555555556,189,-0.189477798863713,-0.509103131708116,0.312944866662108,1
"Aff4",0.514767932489452,79,0.0931094043914822,-0.152186149618231,0.581154276853027,1
"Afg2a",0.59349593495935,123,0.404390255079335,-0.470756338678456,0.331889123148568,1
"Aftph",0.635542168674699,83,0.84799690655495,-0.112520177230621,0.635225969072191,1
"Agap1",0.450133333333333,125,-0.239465934695389,-0.163916091435624,0.566938374133082,1
"Agfg1",0.428802588996764,103,-0.311201688294304,-0.0901394674312854,0.671133637858973,1
"Agl",0.521505376344086,62,0.0780025120012731,0.155399824786826,1,1
"Agmo",0.620877192982456,190,0.83364161357788,-2.8391929120084,0.0171751619478821,0.148555280066451
"Ago2",0.587813620071685,93,0.494764691749578,-0.0860860076458465,0.678188639333824,1
"Ago3",0.507154882154882,198,-0.0356239097307216,0.0262575294581779,1,1
"Agtpbp1",0.525925925925926,90,0.192645077942396,-0.101889791404744,0.65168721747776,1
"Agtr1a",0.533639143730887,109,0.19854567938208,-0.0453297065328115,0.763340516369682,1
"Aig1",0.667808219178082,146,0.701918647067005,-0.917311241109019,0.175582535259265,0.978710057648868
"Airn",0.244608427747963,559,-1.567206029917,145.87047268875,1,1
"Akap10",0.491666666666667,80,-0.0577154978562877,-0.0809401404478365,0.687431255119843,1
"Akap11",0.483630952380952,112,0.0443941193584534,-0.00496641125984354,0.920611442007758,1
"Akap13",0.453782051282051,260,-0.3040061868901,-76.2156721204006,5.09980126623663e-35,2.64662100196073e-33
"Akap6",0.680444444444444,150,1.1926450779424,-1.0165936958625,0.153897555473943,0.897735740264665
"Akt3",0.497917427840701,391,-0.0563991701729163,88.2107819301123,1,1
"Aldh1a1",0.511415525114155,146,0.165059246270497,-1.90388824727867,0.0510151303828365,0.376361623657691
"Alpk1",0.380577427821522,127,-0.479609500574927,-0.821416271130687,0.199937274680781,1
"Ambra1",0.539351851851852,216,0.122619286663956,0.0376931810488372,1,1
"Amn1",0.392307692307692,65,-0.660513533728333,0.122447774571313,1,1
"Anapc1",0.456,125,-0.266786540694901,0.0468553708394666,1,1
"Ank2",0.512202380952381,336,0,-27.5951950493264,1.09402314305889e-13,2.05813103787954e-12
"Ank3",0.252941176470588,85,-1.6020360140801,-2.93245727345356,0.0154456085602247,0.13673906401846
"Ankhd1",0.529817158931083,237,0.132973865269421,-1.67358911184857,0.0673203228644278,0.473365257363357
"Ankib1",0.435435435435435,111,-0.394859617341214,-0.00664559033452861,0.908217338620985,1
"Ankrd11",0.503200483091787,276,0.11425717925768,-49.6395151094803,2.19318043190724e-23,6.34757028850077e-22
"Ankrd12",0.530524344569288,178,0.201047518938093,0.0423434827298479,1,1
"Ankrd17",0.556847133757962,314,0.264131929691129,-52.2794555627635,1.5258849958635e-24,4.99229764950993e-23
"Ankrd44",0.426051282051282,325,-0.396798380993802,-69.1453364004029,6.29535126403141e-32,2.87106171283857e-30
"Ankrd6",0.439655172413793,58,-0.29373120305671,0.20297059268313,1,1
"Anks1",0.671768707482993,98,0.904422340017769,-0.0134834862776927,0.869560919201942,1
"Ano1",0.512531912531913,429,0.0925896079380513,44.958658805172,1,1
"Ano4",0.416666666666667,60,-0.70781924850669,0.000227418998257178,1,1
"Ano6",0.668812589413448,233,0.865863327348463,-9.50763334892264,1.29676766801692e-05,0.000169707420901345
"Antxr2",0.5,62,0.118644496498619,0.120789480211322,1,1
"Anxa2",0.490229885057471,58,0.0395283641866371,0.0460851147555488,1,1
"Aopep",0.489855072463768,230,-0.0283818013698225,-1.22814698081993,0.117054672358136,0.734030341245811
