"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1600010M07Rik",0.56578947368421,38,0,0.0442298359695315,1,1
"1700025G04Rik",0.544600938967136,71,0.219566377257685,-0.14202870766222,0.594054091250351,1
"2210408F21Rik",0.503125466487535,116,-0.0585521823551127,0.0870778737414639,1,1
"2310014F06Rik",0.260551948051948,44,-1.37851162325373,-4.85988147154887,0.00182297028485909,0.0309904948426044
"2610008E11Rik",0.75,30,1.63226821549951,-3.34767752703322,0.00966644162422954,0.110481420371844
"2610037D02Rik",0.442982456140351,57,-0.569365645670138,-0.043952638529035,0.766857245819726,1
"2610307P16Rik",0.469298245614035,38,-0.0489096004809468,-0.0475500733863896,0.757790827175088,1
"2700097O09Rik",0.621875,32,0.559427408614018,-0.770457809032742,0.214481568695612,0.740437224353623
"4632427E13Rik",0.561904761904762,84,0.178337241258513,-0.354283450567252,0.399919976874739,0.893659685907172
"4732440D04Rik",0.351752966558792,103,-0.896622260154692,-6.51153566979342,0.000307676786543409,0.00732270751973314
"4930506C21Rik",0.416666666666667,36,-0.432959407276106,-0.50873497239381,0.313119897986793,0.846846996827918
"5031425E22Rik",0.561561119293078,97,0.355658952199912,-0.779335084120206,0.211860039470399,0.733891883302427
"5330438D12Rik",0.490740740740741,54,4.44089209850063e-16,-0.0117723308780455,0.878049174930964,1
"6720427I07Rik",0.540540540540541,37,0.169925001442312,-0.0728953718448224,0.702590772640227,1
"9330159M07Rik",0.11542934677263,67,-3.03562390973072,-49.2120795100927,3.377139393676e-23,5.25534845646657e-21
"9530026P05Rik",0.52468487861345,140,0.128429940124473,-0.348332437447539,0.403906618933057,0.896929846434221
"AW554918",0.548484848484849,55,0.371968777386958,-0.0798493561296283,0.689434056590275,1
"Aak1",0.53421052631579,95,0.0885366746016574,-0.0765539492446834,0.69558285720221,1
"Abca1",0.496296296296296,45,-0.096215315259303,0.0245679765860345,1,1
"Abca6",0.635135135135135,37,0.752072486556414,-1.17297458201007,0.125609033211556,0.563948172789602
