"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1600010M07Rik",0.56578947368421,38,-0.231325546106455,0.0352482722878165,1,1
"1700025G04Rik",0.544600938967136,71,0.481532911065751,-0.787142318271023,0.209585870063973,0.698504473046815
"2210408F21Rik",0.503125466487535,116,0.0718929184817856,0.373737158742188,1,1
"2310014F06Rik",0.260551948051948,44,-1.58496250072116,-4.54690194115576,0.00256476888052042,0.0415082195623426
"2610008E11Rik",0.75,30,1.71620703399941,-3.1384629775292,0.0122320103713963,0.128214284877382
"2610037D02Rik",0.442982456140351,57,-0.302562770020432,0.177442879572972,1,1
"2610307P16Rik",0.469298245614035,38,-0.34103691783507,0.0560988164444822,1,1
"2700097O09Rik",0.621875,32,0.777607578663552,-0.845006648884464,0.193599216242082,0.677670070035049
"4632427E13Rik",0.561904761904762,84,0.560300446486887,-0.832513467369566,0.19692596176323,0.680993539567545
"4732440D04Rik",0.351752966558792,103,-1,-7.26951797759222,0.000137285233663945,0.0037469110752457
"4930506C21Rik",0.416666666666667,36,-0.807354922057605,-0.746765409155696,0.221669440562248,0.717991817228624
"5031425E22Rik",0.561561119293078,97,0.294183104404458,-0.967435040258863,0.164226616987077,0.627281630715539
"5330438D12Rik",0.490740740740741,54,-0.229481846122767,-0.0206251510824629,0.83905553989375,1
"6720427I07Rik",0.540540540540541,37,0.719892080807265,-0.0912021082375496,0.66931518458865,1
"9330159M07Rik",0.11542934677263,67,-2.56884283535788,-29.2433042293414,2.04679390756629e-14,2.30036893055922e-12
"9530026P05Rik",0.52468487861345,140,0.0880247477972246,-0.281580848377814,0.45298914455401,0.947655044678209
"AW554918",0.548484848484849,55,0.700439718141093,-0.641470756387122,0.257352826373526,0.773588065012843
"Aak1",0.53421052631579,95,0.0430687218918862,-0.0405003828823425,0.775945757481835,1
"Abca1",0.496296296296296,45,0.0506260730699677,0.0216371828241932,1,1
"Abca6",0.635135135135135,37,0.777607578663551,-1.37468677715704,0.0972925407235812,0.481262863219815
"Abca8a",0.72118018967334,73,1.4447848426729,-7.5624998391974,0.00010062193926053,0.00295011859600076
"Abca8b",0.588235294117647,34,1.18762700317577,-0.452597892197751,0.341392340146709,0.858982199789845
"Abcc5",0.516428571428571,70,-0.0588936890535681,-0.00436656627171317,0.925545092234176,1
"Abcc9",0.473913043478261,92,-0.438884241233211,-0.172444801938724,0.557020355947239,1
"Abcd3",0.529661016949152,59,0.26918663281539,-0.0796648982487795,0.689774307682519,1
"Abhd18",0.522541743970315,77,0.0597062461242677,0.117965993678297,1,1
"Abhd2",0.426829268292683,41,-0.176877762084079,0.0288474445438425,1,1
"Abi1",0.637032746370096,83,1.07800251200127,-3.55827950555344,0.00763751569252164,0.0882896814055502
"Abi2",0.34009009009009,37,-0.929610672108602,-1.3406720558775,0.101530000234378,0.492268363161822
"Ablim1",0.451153626608401,131,-0.152951922838599,-1.63296174783477,0.0707331857249031,0.406514871367838
"Abra",0.355460468351093,64,-1.04350163863659,-1.73630895051829,0.0623924937075151,0.376776163493442
"Abtb2",0.490196078431373,68,-0.02345897282399,0.0955583004862888,1,1
"Acacb",0.540659041394336,102,0.337695410745678,-0.576257570932768,0.283023260674923,0.79632274874182
"Acadl",0.466374269005848,57,-0.11864449649862,-0.171618400347363,0.557966811263535,1
