"","AR","N","log2FC","llr_var","pval_var","padj_var"
"1600010M07Rik",0.56578947368421,38,0,0.10052338877739,1,1
"1700025G04Rik",0.544600938967136,71,0.219566377257685,-2.54371302230807,0.0240999359934837,0.0826341873132502
"2210408F21Rik",0.503125466487535,116,-0.0585521823551127,1.75031481911739,1,1
"2310014F06Rik",0.260551948051948,44,-1.37851162325373,-9.15225388422539,1.88261168059244e-05,0.000111035668508411
"2610008E11Rik",0.75,30,1.63226821549951,2.33393198420666,1,1
"2610037D02Rik",0.442982456140351,57,-0.569365645670137,0.964486830942917,1,1
"2610307P16Rik",0.469298245614035,38,-0.0489096004809464,-13.2287944621197,2.69388058407444e-07,2.55855418853643e-06
"2700097O09Rik",0.621875,32,0.559427408614018,-8.47297069512581,3.84594539261771e-05,0.000211998570279717
"4632427E13Rik",0.561904761904762,84,0.178337241258512,4.42704308200341,1,1
"4732440D04Rik",0.351752966558792,103,-0.896622260154691,-0.0534077194655396,0.743799256403001,1
"4930506C21Rik",0.416666666666667,36,-0.432959407276106,0.921643596724216,1,1
"5031425E22Rik",0.561561119293078,97,0.355658952199912,2.73248654891779,1,1
"5330438D12Rik",0.490740740740741,54,0,1.78279887692098,1,1
"6720427I07Rik",0.540540540540541,37,0.169925001442313,-0.594410068112026,0.275567678025346,0.738763270610025
"9330159M07Rik",0.11542934677263,67,-3.03562390973072,0,1,1
"9530026P05Rik",0.52468487861345,140,0.128429940124473,1.27949293307452,1,1
"AW554918",0.548484848484849,55,0.371968777386958,-16.2693697115279,1.16840147921353e-08,1.55942610543565e-07
"Aak1",0.53421052631579,95,0.0885366746016574,14.8034795348541,1,1
"Abca1",0.496296296296296,45,-0.0962153152593035,0.342974745308759,1,1
"Abca6",0.635135135135135,37,0.752072486556414,0.649560992596662,1,1
"Abca8a",0.72118018967334,73,1.39366384848628,-0.480095086218,0.327138968634985,0.839850423284994
"Abca8b",0.588235294117647,34,0.632268215499513,-0.327270282670256,0.418493971435745,1
"Abcc5",0.516428571428571,70,0.0473057147783567,-1.25925743714322,0.112516506913201,0.349648069870054
"Abcc9",0.473913043478261,92,-0.307428525192247,8.11628626237986,1,1
"Abcd3",0.529661016949152,59,0.251538766995964,-10.1442461377107,6.65999527389814e-06,4.44629910294342e-05
"Abhd18",0.522541743970315,77,-0.0339473319233375,0.958023130756445,1,1
"Abhd2",0.426829268292683,41,-0.520832163301441,0.358728690496847,1,1
"Abi1",0.637032746370096,83,1.06649541178691,1.90243951614308,1,1
"Abi2",0.34009009009009,37,-0.459431618637297,-17.8050898644696,2.41024714712611e-09,3.86978569733026e-08
"Ablim1",0.451153626608401,131,-0.169925001442312,-0.0346746372913174,0.792286601748636,1
"Abra",0.355460468351093,64,-1,0.00309977697554586,1,1
"Abtb2",0.490196078431373,68,-0.0695409332530771,-2.31284793316362,0.031496482736945,0.106018942723527
"Acacb",0.540659041394336,102,0.179168845685932,1.54394334021903,1,1
"Acadl",0.466374269005848,57,-0.192645077942396,-9.4887896325429,1.32263532074103e-05,8.25830633907128e-05
