"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"9530026P05Rik",0.516666666666667,25,0.485426827170242,0.169925803318421,1,1
"Acta2",0.471605667060213,33,-0.131244533278253,-0.000867128284582463,0.966782172885544,1
"Actn1",0.5,23,0,-0.0324408726260756,0.79894017625602,1
"Acyp2",0.178571428571429,14,-2.0703893278914,-2.07851317667513,0.0414621352152441,0.816317553167994
"Akap6",0.548309178743961,23,0.0588936890535686,-0.150468368558212,0.583295765873532,1
"Aopep",0.382098765432099,27,-0.283792966000591,-0.291710869714407,0.444974225140381,1
"Cacna1c",0.486111111111111,30,-0.156119201917282,0.00437932438014599,1,1
"Cacna2d1",0.528571428571429,21,0.556393348524385,0.410555204199245,1,1
"Cacnb2",0.39026169026169,37,-0.409390936137702,-0.4771802798222,0.328611832500009,1
"Cald1",0.512962962962963,36,-0.405992359675837,0.218211338909484,1,1
"Carmn",0.461412151067323,29,-0.137503523749935,-0.00683921970249912,0.906895823980583,1
"Celf2",0.566176470588235,17,0.131244533278253,-0.19089291419191,0.536649037510535,1
"Clic4",0.15,19,-2.50250034052918,-4.31946802046368,0.00329053542542565,0.11681400760261
"Cobll1",0.510416666666667,16,-0.169925001442312,0.014536864612932,1,1
"Cped1",0.596894020766201,28,0.57190634789571,-0.583071842406838,0.280195028571954,0.994692351430437
"Crim1",0.421645021645022,21,-0.0901978089715781,0.010763257286694,1,1
"Dip2c",0.4625,24,-0.201633861169651,-0.0411751399064997,0.774137293702269,1
"Dlc1",0.554150579150579,37,0.421463768438277,-0.639226419441108,0.258186902011601,0.994692351430437
"Ebf1",0.363852813852814,33,-0.495957494662411,-0.487245520601739,0.323562674435768,1
"Enah",0.462797619047619,24,-0.685891409571937,0.247766101151505,1,1
"Entpd1",0.543137254901961,17,-0.304854581528421,0.217206742557952,1,1
"Esyt2",0.377777777777778,27,-0.369233809665719,-0.293956017650018,0.443227659385918,1
"Ext1",0.601731601731602,22,0.502500340529183,-0.408538629017009,0.366036095051698,1
"Fbxl17",0.36231884057971,23,-0.473931188332413,-0.477986561152505,0.328203536356936,1
"Fry",0.370238095238095,30,-0.597240830499593,-0.685886111075156,0.241507624686714,0.994692351430437
"Igf1r",0.547222222222222,24,0,-0.152975364254367,0.580175675573394,1
"Igfbp7",0.55,20,0.106915203916512,-0.160054216802035,0.571542487621204,1
"Irag1",0.5,30,0,-0.0748690272304913,0.698785808587338,1
