"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Ablim1",0.49025974025974,33,0.231325546106456,-0.000546530673677381,0.973625561808097,1
"Airn",0.242753623188406,23,-1.58496250072116,-2.5211144589846,0.024736642401975,0.50869751669108
"Akap13",0.461805555555556,24,-0.584962500721156,-0.240618184963864,0.48786282496902,1
"Akt3",0.375,26,-0.280107919192735,-0.31070725190726,0.430522132755284,1
"Ankrd11",0.508558558558559,37,0,0.178349047001866,1,1
"Ankrd44",0.405691056910569,41,-0.0874628412503395,-0.244289793530356,0.484561603172741,1
"Apbb1ip",0.264603174603175,30,-1.32192809488736,-3.27247294816992,0.0105182526678799,0.438772406014208
"App",0.537719298245614,19,1.11547721741994,-0.501034599169149,0.316810339915258,1
"Arb2a",0.495454545454545,33,-0.334419039070559,0.00435840675020671,1,1
"Arhgap15",0.480880230880231,48,-0.281412935148648,-0.290809024113123,0.445678795679463,1
"Arhgap26",0.545138888888889,24,1.05062607306997,-0.0865469618407424,0.677376651307689,1
"Arid1b",0.57926267281106,31,0.667424660913129,-0.605323402869448,0.271204061497998,1
"Arl15",0.367025089605735,31,-1.20945336562895,-2.46717889834781,0.0263278440438742,0.50869751669108
"Atp2b1",0.524404761904762,28,0.667424660913129,0.151391779288414,1,1
"Atxn1",0.435416666666667,32,-0.263034405833794,-0.08885517808136,0.673348353065316,1
"Bach2",0.616452991452991,26,1.18057224564182,-0.597788185193792,0.274207615275902,1
"Bcl2",0.452715605907095,47,-0.128324096975539,-0.304146044683009,0.435431594283716,1
"Birc6",0.55952380952381,28,0.211504105193712,0.172911089393711,1,1
"Camk1d",0.591397849462366,31,0.283792966000591,-0.546631385643003,0.295749413310625,1
"Camk4",0.457407407407407,27,-0.253756592245783,-0.103415270073011,0.649263017771912,1
"Cblb",0.34992784992785,33,-0.567040592723894,-1.60508165822837,0.0731821783655437,0.731821783655437
"Ccnd3",0.476130952380952,40,0,0.107385079797979,1,1
"Cd44",0.578030303030303,22,0.387023123109247,-0.0769701479843867,0.69479795480598,1
"Celf2",0.578571428571429,43,0.0554951125917036,0.0885524868588803,1,1
"Chst11",0.503086419753086,27,0.0824621601919731,0.235649745362331,1,1
"Crebbp",0.607142857142857,28,1.18442457113743,-0.470123882053358,0.332214131216139,1
"Crim1",0.610215053763441,31,1,-1.00973161530027,0.155294028831164,0.918753397025369
"Dennd1b",0.335119047619048,28,-0.830074998557688,-2.20783642603216,0.0356102321408398,0.50869751669108
"Dennd4a",0.551708074534161,23,0.222392421336448,-0.000936995465615098,0.965470667979362,1
"Dlc1",0.58796992481203,19,1.08746284125034,-0.31025865343636,0.430855116461825,1
"Dleu2",0.464722222222222,30,-0.106915203916512,-0.00689838850556868,0.906495791537095,1
"Dock10",0.634053156146179,43,0.480625840906421,-0.824516296201431,0.199090651587862,0.918753397025369
"Dock2",0.467628205128205,52,-0.227805917522812,-0.280661630557915,0.45372757140597,1
"Dst",0.435185185185185,18,-0.777607578663552,-0.813473840937974,0.202125747345581,0.918753397025369
"Ebf1",0.345643939393939,22,-0.485426827170242,-0.550674476955415,0.293970255821682,1
"Eif4g3",0.691358024691358,27,1,-1.48725112089525,0.0845861432241583,0.746348322566103
"Elmo1",0.582698412698413,45,0.502500340529183,-0.866672307666839,0.187984322276227,0.918753397025369
"Emb",0.533854166666667,32,0.713695814843359,-0.403079926997115,0.369258032159598,1
"Entpd1",0.564285714285714,14,1.22239242133645,0.0407622272090933,1,1
"Esyt2",0.5,34,-0.362570079384708,-0.0969388615033253,0.659708629670193,1
"Ets1",0.437719298245614,38,-0.214124805352848,-0.413482579464052,0.363151555460858,1
"Etv6",0.487003968253968,24,0,0.0539937107960675,1,1
"Ext1",0.32993672993673,26,-0.954196310386875,-1.69845702567784,0.0653185125326643,0.699841205707118
"Fbxl17",0.703888888888889,30,1.22239242133645,-2.15908462191231,0.0377074700414076,0.50869751669108
"Fli1",0.545977011494253,29,0.398549376490275,-0.0320648682212443,0.800083919372123,1
"Foxp1",0.484567901234568,27,-0.616671360448494,-0.304384980084162,0.435251318090278,1
"Frmd4b",0.782222222222222,15,1.11547721741994,-1.37592155409015,0.0971423900652163,0.809519917210136
"Fryl",0.526666666666667,25,-0.616671360448494,-0.148105516918694,0.586267570726309,1
"Fyb1",0.740686274509804,34,1.58496250072116,-5.13816918756654,0.00134747093744097,0.101060320308072
"Fyn",0.627689594356261,27,0.819427754358179,-0.539474113267179,0.298932964073083,1
"Gab2",0.558002645502645,18,-0.830074998557688,-0.0427048834475876,0.770095871595571,1
"Gm2682",0.502501202501202,33,-0.0274807364221071,-0.00359236663539519,0.932449963643677,1
"Gnaq",0.344718013468013,24,-1.20645087746743,-2.14934143618593,0.0381419019159885,0.50869751669108
"Gramd2b",0.547101449275362,23,-0.0931094043914815,0.025417989083401,1,1
"Grap2",0.493045112781955,38,-0.571156701196126,0.366200375668519,1,1
"Heg1",0.549487433862434,24,0.807354922057604,0.204815892778225,1,1
"Hivep2",0.543693693693694,37,0.299560281858908,-0.0143729037054605,0.86536728305516,1
