"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"Arhgap15",0.525210084033613,17,0,-0.0473411073616603,0.758307003094184,0.972728713974656
"Bcl2",0.669230769230769,13,1.11547721741994,-1.53837743538417,0.0794188403350836,0.777022059395124
"Ccnd3",0.394117647058824,17,-0.497499659470817,-0.214472035129575,0.512507532210028,0.939597142385051
"Dock2",0.545098039215686,17,-0.163498732282879,0.0224607334682112,1,1
"Gm2682",0.431565656565657,11,-0.710493382805015,0.267925944909276,1,1
"Malat1",0.533635959608197,20,0.00728635407849243,-0.874193718637457,0.186079582441915,0.777022059395124
"Pde3b",0.380952380952381,14,-0.362570079384708,-0.116390604143085,0.629469228946797,0.972728713974656
"Pitpnc1",0.603535353535353,16,0.37851162325373,-0.661259958339237,0.250140304725965,0.777022059395124
"Skap1",0.528703703703704,18,-0.067114195858537,-0.033462097953656,0.795868947797446,0.972728713974656
"St6galnac3",0.605922865013774,11,0.0614005446641434,-0.225929935605169,0.501453051952378,0.939597142385051
"Zeb1",0.600915750915751,13,0.523561956057013,-0.577383481406581,0.282553476143682,0.777022059395124
