"","AR","N","log2FC","llr","pval","padj"
"Arhgap15",0.525210084033613,17,0,-0.204717095477218,0.522256827438897,0.957470850304645
"Bcl2",0.669230769230769,13,1.11547721741994,0.483342872593459,1,1
"Ccnd3",0.394117647058824,17,-0.497499659470817,9.70600898509016,1,1
"Dock2",0.545098039215686,17,-0.163498732282879,-1.60769033692595,0.0729492210454906,0.545526142584439
"Gm2682",0.431565656565657,11,-0.710493382805015,-0.436555422470235,0.350095532502478,0.881949232722234
"Malat1",0.533635959608197,20,0.00728635407849243,-0.352833517673929,0.400886014873743,0.881949232722234
"Pde3b",0.380952380952381,14,-0.362570079384708,10.6473629499354,1,1
"Pitpnc1",0.603535353535353,16,0.37851162325373,0.329415017942829,1,1
"Skap1",0.528703703703704,18,-0.067114195858537,2.14689359463308,1,1
"St6galnac3",0.605922865013774,11,0.0614005446641434,-1.35928716183859,0.099186571378989,0.545526142584439
"Zeb1",0.600915750915751,13,0.523561956057013,-0.735412941500257,0.225215433174085,0.825789921638312
