"","AR","N","log2FC","llr_var","pval_var","padj_var"
"Arhgap15",0.525210084033613,17,0,-0.794464983463392,0.207479078320255,1
"Bcl2",0.669230769230769,13,1.11547721741994,0.115229040313825,1,1
"Ccnd3",0.394117647058824,17,-0.497499659470817,10.8910421157965,1,1
"Dock2",0.545098039215686,17,-0.163498732282879,-0.101031304262747,0.653061093732311,1
"Gm2682",0.431565656565657,11,-0.710493382805015,-0.72093158951385,0.229838075420462,1
"Malat1",0.533635959608197,20,0.00728635407849243,-0.303623883130086,0.43582596063041,1
"Pde3b",0.380952380952381,14,-0.362570079384708,10.45599336638,1,1
"Pitpnc1",0.603535353535353,16,0.37851162325373,-0.0596301789357163,0.72983807954822,1
"Skap1",0.528703703703704,18,-0.067114195858537,0.586064541922116,1,1
"St6galnac3",0.605922865013774,11,0.0614005446641434,-0.201827428159859,0.525207747639812,1
"Zeb1",0.600915750915751,13,0.523561956057013,-0.205196619762745,0.521769979977142,1
