"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.50094696969697,24,-0.695145418471579,0.263502402596682,1,1
"2210408F21Rik",0.380645161290323,31,-0.841302253980942,-1.07879093846094,0.141867794495305,0.997463313438087
"2610307P16Rik",0.612238095238095,25,0.251538766995964,0.0401152272818557,1,1
"4732440D04Rik",0.22768759018759,22,-0.938599455335857,-1.71841255704596,0.0637581028742586,0.829776826155444
"5031425E22Rik",0.682430213464696,29,1.40209844357135,-3.3133620444376,0.0100459854647022,0.438611840526746
"9530026P05Rik",0.434629028379028,36,-0.169925001442312,0.0872275534417781,1,1
"Abca1",0.344285714285714,20,-1.8073549220576,-1.61669935231464,0.0721508052742274,0.829776826155444
"Abca6",0.521014492753623,23,-0.657112286476991,0.578056142393375,1,1
"Abca8a",0.618596570912747,40,1.03652587602511,-4.86626572487175,0.00181034984075932,0.130959162891036
"Abca8b",0.484057971014493,23,-0.374395514781498,0.712746788955535,1,1
"Abca9",0.25297619047619,24,-0.321928094887362,-1.1308755542274,0.132604043511622,0.978106261711938
"Abi1",0.656896551724138,29,1.18220333122075,-2.81264741360108,0.0177030878023663,0.541986841949367
"Ablim1",0.520822211611685,37,0.256013978156022,-0.237191390245052,0.490977764278496,1
"Ablim3",0.38015873015873,21,0.180572245641821,-0.283327273015123,0.451591381582684,1
"Acacb",0.317592592592593,18,-1.1926450779424,-1.18090647049825,0.124337615224896,0.958834296516061
"Acadsb",0.543859649122807,19,-0.115477217419936,0.166441045796002,1,1
"Acss1",0.526041666666667,16,0,0.00399213375846585,1,1
"Actn2",0.557665945165945,20,0.584962500721156,-0.598862561505527,0.273776827402773,1
"Acyp2",0.252442047200112,31,-1.32192809488736,-5.01479226327996,0.001540457799715,0.122620440857314
"Adamts5",0.681746031746032,15,0.093109404391482,-0.494594579090435,0.319940632088797,1
"Adamts9",0.569176319176319,37,0.330645311988471,-0.484351180612308,0.325004019592573,1
"Adamtsl3",0.286630036630037,26,-0.868755466721748,-1.52935396703187,0.08030550293225,0.829776826155444
"Adarb1",0.429047619047619,20,-0.956931278108114,-0.328894328899672,0.417341717400668,1
"Adcy9",0.571428571428571,21,-0.0874628412503393,-0.153821648372908,0.579129966021863,1
"Adgrf5",0.495679012345679,27,-0.0565835283663677,0.0947434971284835,1,1
"Adgrl2",0.669230769230769,26,0.137503523749935,-0.384860678778487,0.380303266394484,1
"Adgrl4",0.532641432641433,39,-0.0280143761695967,-0.144424724311577,0.590958775674704,1
"Adk",0.418707198598503,26,-0.321928094887362,-0.320244953832805,0.423533450183344,1
