"","AR","N","log2FC","llr","pval","padj"
"1700025G04Rik",0.50094696969697,24,-0.415037499278844,7.3945251283917,1,1
"2210408F21Rik",0.380645161290323,31,-0.330148601692331,4.28095055805684,1,1
"2610307P16Rik",0.612238095238095,25,0.604071323668861,-0.105513298247924,0.645963955464499,1
"4732440D04Rik",0.22768759018759,22,-1.09953567355091,-3.1531084420386,0.0120315300817821,0.0896308623492533
"5031425E22Rik",0.682430213464696,29,1.13750352374994,-2.71076810934015,0.0198898522951403,0.124507343107374
"9530026P05Rik",0.434629028379028,36,0.0512253233551733,-4.68494455207539,0.00220578864416027,0.033086829662404
"Abca1",0.344285714285714,20,-0.770518153877233,-1.7354749257748,0.0624554377148576,0.299108873393444
"Abca6",0.521014492753623,23,0.280107919192735,-5.055281525804,0.00147421917655224,0.0286011363014955
"Abca8a",0.618596570912747,40,1.11381989955716,-0.133638964422282,0.605163633236941,1
"Abca8b",0.484057971014493,23,-0.604071323668861,2.91883143848941,1,1
"Abca9",0.25297619047619,24,-0.415037499278844,7.44455348195388,1,1
"Abi1",0.656896551724138,29,1.28010791919274,-2.76113349619983,0.0187759116829529,0.121356502341037
"Ablim1",0.520822211611685,37,0.146220740851044,-0.11494944364695,0.631598812167707,1
"Ablim3",0.38015873015873,21,-0.289506617194985,-0.807724144181822,0.203727628616294,0.739679592642589
"Acacb",0.317592592592593,18,-0.754887502163469,3.29735686038286,1,1
"Acadsb",0.543859649122807,19,0.280107919192735,11.9185502110618,1,1
"Acss1",0.526041666666667,16,-0.0703893278913981,-0.494587744528655,0.319943975689049,1
"Actn2",0.557665945165945,20,0.405256478486258,-4.36809604667466,0.00311955300259336,0.0382501525549696
"Acyp2",0.252442047200112,31,-0.807354922057604,-1.4727247091321,0.0861197409320765,0.38680900588136
"Adamts5",0.681746031746032,15,0.222392421336448,0.507796140181529,1,1
"Adamts9",0.569176319176319,37,0.222392421336448,1.2304084495623,1,1
"Adamtsl3",0.286630036630037,26,-1.0703893278914,0.168063704293957,1,1
"Adarb1",0.429047619047619,20,-0.169925001442313,-0.192959236703146,0.534452666025245,1
"Adcy9",0.571428571428571,21,0.321928094887362,3.53149930502077,1,1
"Adgrf5",0.495679012345679,27,0.176877762084079,6.59151199326054,1,1
"Adgrl2",0.669230769230769,26,0.823122237915921,-3.15810472678616,0.0119639110542337,0.0896308623492533
"Adgrl4",0.532641432641433,39,0.15200309344505,1.32402629764565,1,1
"Adk",0.418707198598503,26,-0.453717967442904,0.375735855226701,1,1
"Aff1",0.50952380952381,28,0.263034405833794,1.19640763799764,1,1
"Agap1",0.465277777777778,24,-0.347923303420307,1.51749232827612,1,1
"Agmo",0.845909090909091,20,2.35755200461808,-1.89056728841572,0.0518335025237926,0.259167512618963
"Ago3",0.461538461538462,26,-0.231325546106456,7.16601639507466,1,1
"Ahnak",0.477564102564103,26,0,8.03278586214101,1,1
"Airn",0.71337821432513,41,1.6924909650256,-3.82752006984158,0.00566139316834095,0.0562600946103881
"Akap13",0.502037037037037,30,-0.256339753259786,0.67487990876247,1,1
"Akap6",0.525833333333333,20,-0.229481846122767,-3.81015337133502,0.00577146703838499,0.0566458801915564
"Akt3",0.54572192513369,34,0.25831199559139,-0.479084057174752,0.327648851998933,1
"Ambra1",0.650617283950617,27,0.761840262805235,0.314411521996924,1,1
"Ank",0.400833333333333,20,-0.719892080807265,0.559559405795152,1,1
"Ank2",0.488742038742039,37,-0.159656665988485,0.538648609109927,1,1
"Ank3",0.338888888888889,15,-0.263034405833794,-10.803171360738,3.34743020480247e-06,0.000295689668090885
"Ankrd11",0.452227342549923,31,-0.0687127500840144,-3.39171589317116,0.00920078263209342,0.0746390019644313
"Ankrd12",0.709770114942529,29,1.25375659224578,8.99696620154604,1,1
"Ankrd17",0.535564135564136,37,0.254572827085598,1.62146639006797,1,1
"Ankrd44",0.536666666666667,25,0.263034405833794,5.96560729392426,1,1
"Ano6",0.504861111111111,24,0.0418201756946273,-0.694375870537279,0.238616013800039,0.824781439004484
"Aopep",0.490975422427035,31,0.169925001442312,0.944870302050944,1,1
"Ap1g1",0.535,20,0.321928094887362,-1.1254207176128,0.133541770830147,0.538912222385617
"Ap3b1",0.537878787878788,22,-0.082462160191973,3.38144143461129,1,1
"Apbb2",0.652531102531103,37,0.350497247084133,8.01846969864241,1,1
"Apc",0.481578947368421,19,-0.362570079384708,-2.67443099626231,0.0207358003766051,0.128788760151571
"App",0.575026036055448,34,0.120294233717712,-2.33742082570301,0.0306075243589294,0.170948787124753
"Aqp1",0.53735632183908,29,0.289506617194985,6.70054955807747,1,1
"Arb2a",0.485741341991342,32,-0.0291463456595163,-0.688999088180807,0.240442425194148,0.827496658135705
"Arfgef1",0.522,25,0.430634354329862,-1.76744806165826,0.0600900980111968,0.291290414139643
"Arhgap10",0.635930735930736,22,0.6463630453853,-1.24265770070149,0.114913310023025,0.478304091457092
"Arhgap21",0.604022988505747,29,0.768674453893544,0.630134086801348,1,1
"Arhgap24",0.592506472285884,34,0.25583890442959,0.265697857182985,1,1
"Arhgap26",0.48212481962482,36,-0.373814836552331,0.503286178552322,1,1
"Arhgap29",0.427777777777778,24,-0.231325546106456,1.55266476102426,1,1
"Arhgap42",0.557142857142857,30,0.175086706558091,2.99117801751027,1,1
"Arhgef12",0.502521008403361,34,-0.0297473433940522,-2.13098698386087,0.0389746073166201,0.205197435872271
"Arhgef3",0.489142857142857,25,0.0524674198941355,-0.0425160016326451,0.770590583078319,1
"Arid1b",0.591898148148148,36,0.310340120612151,1.93727839844801,1,1
"Arid2",0.347222222222222,24,-0.612976876890753,11.8765902234027,1,1
"Arid4b",0.631944444444444,24,0.337034987277571,5.01459171852991,1,1
