gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
Abcc4,0.779696493982208,2.9977880330973e-5,0.757142857142857,0.00128652373093989,above,above,consistent_above
Acyp2,0.392505411255411,0.0201399249360678,0.330467091295117,0.00128652373093989,below,below,consistent_below
Agmo,0.830795739348371,3.37321072983174e-10,0.895833333333333,5.35507445883433e-6,above,above,consistent_above
Airn,0.286438679245283,1.9835354437912303e-15,0.909567901234568,9.24773298898316e-48,below,above,discordant
Apbb2,0.577171085690639,0.00272122139530676,0.536722931247427,0.0958632628463106,above,above,consistent_above
Auts2,0.603556485355649,0.0187749116291585,0.610042735042735,0.0949567757993944,above,above,consistent_above
Cdk14,0.640897369778236,0.00398424388136584,0.635507246376812,0.025000133782151,above,above,consistent_above
Cdk6,0.284,2.7870220347705e-4,0.196969696969697,2.77515981021824e-5,below,below,consistent_below
Clic4,0.392353039203433,0.0132188055592755,0.364994789161456,0.0105326389860762,below,below,consistent_below
Cmah,0.0632911392405063,5.33746390629786e-17,0.0451388888888889,1.30939602798521e-13,below,below,consistent_below
Cst3,0.784722222222222,5.78356071460908e-5,0.761044176706827,0.00668937876726085,above,above,consistent_above
Cxcl12,0.316239316239316,0.0720388909701226,0.34349593495935,0.0161351561289295,below,below,consistent_below
Epb41l4a,0.277826725403818,1.10797875222782e-7,0.269423558897243,1.9146526585348e-4,below,below,consistent_below
Ext1,0.397916417517811,1.15156361526853e-6,0.393252828185108,2.82247741984647e-5,below,below,consistent_below
Fas,0.737903225806452,7.7069581199739e-4,0.700913242009132,0.0117207751244476,above,above,consistent_above
Gda,0.355981994787965,0.0495627177020195,0.353260869565217,0.0217528315827292,below,below,consistent_below
Gm56730,0.992,8.313728953591329e-45,1,5.93725415070373e-20,above,above,consistent_above
Grb10,0.666666666666667,0.0187749116291585,0.0704607046070461,6.294754320885e-23,above,below,discordant
Hdac9,0.71075958541712,5.2864071585745e-17,0.745044509980612,4.0350540650871895e-19,above,above,consistent_above
Kcnc2,0.998305084745763,3.6079777054040494e-30,1,9.57243202583398e-21,above,above,consistent_above
Kcnq1ot1,0.299808429118774,6.99769175849701e-7,0.85054347826087,1.6272556530551501e-9,below,above,discordant
Klf12,0.432126010781671,0.0369139888074228,0.393209381130729,0.0617748080014282,below,below,consistent_below
Lpl,0.363637782982045,2.7817224153523e-4,0.388706739526412,0.0253191856437203,below,below,consistent_below
Lrrc3b,0.135416666666667,5.33746390629786e-17,0.185135135135135,2.73383148930864e-5,below,below,consistent_below
Ly6a,0.669565217391304,0.0103260678604796,0.726984126984127,0.00156895578262343,above,above,consistent_above
Myzap,0.291666666666667,9.01906819292079e-7,0.266666666666667,0.0161351561289295,below,below,consistent_below
Prkg1,0.244154869154869,3.77495683812247e-6,0.220289855072464,3.57955248685756e-5,below,below,consistent_below
Serinc3,0.330106302201974,7.78612186556523e-7,0.288679245283019,1.11926927970288e-10,below,below,consistent_below
Sparc,0.280417212756662,1.10797875222782e-7,0.271201814058957,0.00185477111738136,below,below,consistent_below
Susd6,0.336715867158672,1.1179549037181e-4,0.359547738693467,0.0021922007009287,below,below,consistent_below
Zeb1,0.684799904999406,2.00038923437355e-8,0.714430894308943,9.55661108496288e-7,above,above,consistent_above
