gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Cp,F1_Aged,0.0012001267798479,0.740325018896447,shared,0.0973627857758034,0.688844488844489,Lymphatic_EC
Dnm3,F1_Aged,0.0012001267798479,0.270590828924162,shared,0.0851500817331051,0.224537037037037,Lymphatic_EC
Gm56730,F1_Aged,5.71372276989775e-7,0.954545454545455,shared,9.40507608335003e-7,0.975,Lymphatic_EC
Prkg1,F1_Aged,4.14238087413254e-22,0.127240896358543,shared,3.7425534370364e-9,0.117040149393091,Lymphatic_EC
Cp,F1_Young,0.0973627857758034,0.688844488844489,shared,0.0012001267798479,0.740325018896447,Lymphatic_EC
Dnm3,F1_Young,0.0851500817331051,0.224537037037037,shared,0.0012001267798479,0.270590828924162,Lymphatic_EC
Gm56730,F1_Young,9.40507608335003e-7,0.975,shared,5.71372276989775e-7,0.954545454545455,Lymphatic_EC
Prkg1,F1_Young,3.7425534370364e-9,0.117040149393091,shared,4.14238087413254e-22,0.127240896358543,Lymphatic_EC
Igfbp5,F1_Aged,0.0276556983047139,0.684305150631681,aged_only,1,0.528226855959775,Lymphatic_EC
St6galnac3,F1_Aged,1.1390011559839e-4,0.195687134502924,aged_only,0.861343449225211,0.386178861788618,Lymphatic_EC
Zfp423,F1_Aged,0.0553175734998835,0.760683760683761,aged_only,0.978538776082187,0.596354166666667,Lymphatic_EC
Airn,F1_Young,9.40507608335003e-7,0.867149758454106,young_only,0.423962426125245,0.355353508924938,Lymphatic_EC
Arhgef3,F1_Young,0.07475790902665,0.69625,young_only,0.423962426125245,0.652,Lymphatic_EC
Clic4,F1_Young,0.0574528389263586,0.264156515319306,young_only,1,0.41781746031746,Lymphatic_EC
Flrt2,F1_Young,0.0973627857758034,0.254761904761905,young_only,0.188127760775413,0.247311827956989,Lymphatic_EC
Kcnq1ot1,F1_Young,0.00373481742245002,0.869642857142857,young_only,0.10956342541929,0.277777777777778,Lymphatic_EC
Myzap,F1_Young,0.0651772193829704,0.25709219858156,young_only,0.893634302409834,0.389455782312925,Lymphatic_EC
Serinc3,F1_Young,0.039826221944489,0.276709956709957,young_only,0.211892593302765,0.320776255707763,Lymphatic_EC
Zeb1,F1_Young,0.00113137277034549,0.778867102396514,young_only,1,0.575664335664336,Lymphatic_EC
