gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
4732440D04Rik,0.28953488372093,0.147094314265938,0.30718954248366,0.0247295648346765
Anxa3,0.689716312056738,0.401293693479216,0.676923076923077,0.0931444017557117
Btaf1,0.36875,0.172202154803444,0.302631578947368,0.0710458896295533
Cav1,0.48968253968254,1,0.334848484848485,0.0575821604867125
Cdon,0.459821428571429,1,0.338662131519274,7.2933338130413e-4
Celf2,0.466041862689936,0.293749857709982,0.463341230192798,0.0431816604752795
Clic4,0.513452231399653,0.867249257360256,0.403710317460317,0.0888165839417421
Cog5,0.545454545454545,1,0.255813953488372,0.0816760490488884
Dapk1,0.306818181818182,0.273379215965591,0.276927437641723,0.0117725064682626
Fbxl17,0.535972629521017,0.700074814697419,0.628828942924688,0.0631794657807706
Ghr,0.471522266313933,1,0.429355956942164,0.0797581480911654
Grb10,0.688888888888889,0.227420926402967,0.0862745098039216,5.10261101398015e-18
Gucy1a2,0.27991452991453,0.101527234689432,0.125,3.5576584381924697e-13
Igfbp5,0.426394421871978,0.273379215965591,0.419704635625874,4.5338097552858e-4
Igfbp6,0.579905188708006,0.513661909956062,0.667638791627762,0.0075137693523126
Igfbp7,0.42657017778969,0.433038239352363,0.3375,0.0250283630715824
Kiz,0.675675675675676,1,0.820936116382037,7.77963489537385e-9
Lpp,0.467039586919105,0.996802155581532,0.394171626984127,0.0182600650821365
Man1a,0.394836370762297,0.121937458312507,0.391571464838792,0.0595620955482421
Mcc,0.342745753272069,0.155036254503656,0.354420970266041,0.0767487839503014
Neat1,0.575604530149985,0.845381154192559,0.649203175849155,0.00112372814988979
Nt5dc1,0.303921568627451,0.120044482138444,0.274509803921569,0.00809025449914286
Pawr,0.572222222222222,1,0.68921568627451,0.0431816604752795
Rbm28,0.68042328042328,0.199030859150537,0.708333333333333,0.0529609320648081
Rbm47,0.302083333333333,0.188299049570986,0.19390243902439,0.0296054859761236
Ror1,0.44622445065483,0.812879897230461,0.409989941975236,0.0540678067806917
Rora,0.556884612677296,1,0.628386661881807,0.0540678067806917
Sema3d,0.423341049382716,0.3734114548027,0.370750900190152,0.00844452962048099
Sipa1l1,0.426470588235294,1,0.225609756097561,0.0160970114126098
Slc1a5,0.385144927536232,0.734234715963527,0.225308641975309,3.3933697896158e-4
Slc38a1,0.691812439261419,0.156143132627639,0.824561403508772,6.4222521282429e-4
Slit3,0.443870461483121,0.243905363559729,0.385784687964921,4.13385592433047e-5
Tmem108,0.405970982142857,0.369822840586169,0.348885109599395,0.0797581480911654
Vwa5a,0.395061728395062,0.543548166317509,0.260283687943262,0.0501383990374396
Xdh,0.605426356589147,0.946929088138448,0.775757575757576,0.0247295648346765
Zcchc7,0.471570294784581,0.812879897230461,0.42859623015873,0.0945503758034391
Zdbf2,0.321428571428571,0.402778613499971,0.870967741935484,3.5593795692635e-4
