gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
4833422C13Rik,F1_Aged,1.1883503340277e-4,0.675287356321839,shared,2.54735117749699e-6,0.727213541666667,Pericytes
Abca8a,F1_Aged,1.4336569221145398e-19,0.759190031152648,shared,1.54312821841799e-17,0.776280892103677,Pericytes
Abca8b,F1_Aged,3.3008553453799703e-9,0.775537634408602,shared,5.80940879102244e-5,0.725177304964539,Pericytes
Abi1,F1_Aged,4.16406183470526e-5,0.628109452736318,shared,0.028438446754762,0.60219298245614,Pericytes
Acyp2,F1_Aged,0.04389485405779,0.382478632478632,shared,0.00831479814729093,0.339495305164319,Pericytes
Agmo,F1_Aged,0.034091714056158,0.620877192982456,shared,2.547595043107e-4,0.696969696969697,Pericytes
Aig1,F1_Aged,0.00100587999921043,0.667808219178082,shared,1.6253706557848e-5,0.732732732732733,Pericytes
Airn,F1_Aged,4.72488751411101e-38,0.244608427747963,shared,2.49449992507876e-178,0.958405954974582,Pericytes
Akap6,F1_Aged,3.5196020742155e-4,0.680444444444444,shared,0.0169659303365565,0.629496402877698,Pericytes
Ank3,F1_Aged,0.00139157755873349,0.252941176470588,shared,0.0208482394558068,0.315068493150685,Pericytes
Ano6,F1_Aged,4.05268635599127e-5,0.668812589413448,shared,6.6480923522016e-4,0.654285714285714,Pericytes
Atp8a1,F1_Aged,5.14394772009473e-5,0.310931899641577,shared,3.78457158461194e-5,0.239130434782609,Pericytes
C330020E22Rik,F1_Aged,1.5419562775633e-4,0.239583333333333,shared,0.00669434739951817,0.290079365079365,Pericytes
Cacnb2,F1_Aged,4.93030313796689e-24,0.8121103117506,shared,7.044870821308949e-18,0.828125,Pericytes
Camk2d,F1_Aged,3.12522653468662e-5,0.631666666666667,shared,0.00286868670177451,0.634117647058824,Pericytes
Cd36,F1_Aged,4.4628524467638e-4,0.319995013712291,shared,0.00204244664608343,0.285306334371755,Pericytes
Cdc42,F1_Aged,0.024346174565232,0.365740740740741,shared,0.00273565388226624,0.33984375,Pericytes
Cdh2,F1_Aged,2.44393256909429e-26,0.883333333333333,shared,2.61258032869239e-17,0.892966360856269,Pericytes
Celf2,F1_Aged,6.1518449203179e-4,0.637780071028802,shared,3.4606073246897e-4,0.678755868544601,Pericytes
Clic4,F1_Aged,4.95811773043783e-21,0.218561048397561,shared,2.98264879670267e-5,0.302568922305764,Pericytes
Clstn2,F1_Aged,1.45860134425903e-24,0.989583333333333,shared,3.72114583510198e-13,0.959016393442623,Pericytes
Col4a4,F1_Aged,0.0342004449800943,0.338785046728972,shared,0.0355758597891871,0.271929824561404,Pericytes
Cp,F1_Aged,5.9536104564856495e-28,0.838323917137476,shared,8.21337739706967e-16,0.824766355140187,Pericytes
Dennd1b,F1_Aged,0.0046612368842384,0.358952380952381,shared,0.0944315278146929,0.380482456140351,Pericytes
Dip2b,F1_Aged,0.0762778016724703,0.593400447427293,shared,0.0035260429587436,0.705387205387205,Pericytes
Dock9,F1_Aged,5.6485846314032e-4,0.333844580777096,shared,0.00175906331778364,0.293650793650794,Pericytes
Ebf2,F1_Aged,0.0227019117099766,0.538156116667353,shared,0.0834017385648012,0.547676697797763,Pericytes
Egflam,F1_Aged,1.2461753004547e-4,0.6125249500998,shared,0.0890108018750131,0.558048433048433,Pericytes
Errfi1,F1_Aged,2.5575239302087303e-9,0.631492397202116,shared,2.09283990322787e-6,0.635118045534712,Pericytes
Fabp4,F1_Aged,0.00139157755873349,0.35361736334405097,shared,0.0834017385648012,0.38718954248366,Pericytes
Fat1,F1_Aged,0.0644988901195715,0.356697819314642,shared,0.0890108018750131,0.348684210526316,Pericytes
Galnt18,F1_Aged,8.29597314144368e-12,0.251090604026846,shared,1.26454500430886e-10,0.223255813953488,Pericytes
Gm56730,F1_Aged,8.012755490414259e-70,0.994413407821229,shared,7.895080543617939e-42,0.9921875,Pericytes
Gna14,F1_Aged,4.2170173320691e-5,0.264150943396226,shared,1.17768481375645e-5,0.159420289855072,Pericytes
Gnai1,F1_Aged,5.8922525403412e-4,0.306712962962963,shared,0.0154518068009724,0.338842975206612,Pericytes
Grb10,F1_Aged,5.91389377168536e-6,0.690828402366864,shared,5.63879469695603e-48,0.0294117647058824,Pericytes
Gulp1,F1_Aged,4.45397563446442e-9,0.268216253443526,shared,0.0309541743730889,0.356111111111111,Pericytes
Hdac9,F1_Aged,2.94410640040888e-5,0.31650641025641,shared,0.00859463025785878,0.309701492537313,Pericytes
Impa2,F1_Aged,1.59529747449262e-7,0.253703703703704,shared,3.3654813650328e-4,0.23936170212766,Pericytes
Kcnq1ot1,F1_Aged,7.66825937569157e-11,0.240196078431373,shared,6.78226740155094e-29,0.990740740740741,Pericytes
Lama2,F1_Aged,4.96946368578945e-9,0.405141485872577,shared,1.6447514448367e-8,0.390436272789214,Pericytes
Lima1,F1_Aged,0.00692673141935211,0.626041666666667,shared,2.7588339220851e-4,0.70959595959596,Pericytes
Limd1,F1_Aged,2.23537995305944e-12,0.692931741887356,shared,1.75520167471104e-6,0.658816425120773,Pericytes
Lims1,F1_Aged,0.00704005367530688,0.535224492972781,shared,0.0841662338742601,0.53149879528637,Pericytes
Lrrfip2,F1_Aged,0.00316957344757177,0.612567204301075,shared,0.028438446754762,0.597151898734177,Pericytes
Lsamp,F1_Aged,4.01148472848365e-29,0.896428571428571,shared,1.71195252053573e-10,0.859920634920635,Pericytes
Ltbp1,F1_Aged,2.6289008109177e-4,0.317532467532468,shared,1.38688801190663e-5,0.231707317073171,Pericytes
Maml3,F1_Aged,0.0417773468530956,0.397337006427916,shared,3.5710842534662e-4,0.360987654320988,Pericytes
Mcam,F1_Aged,0.0510273867099328,0.619904076738609,shared,0.0199343779696198,0.674698795180723,Pericytes
Mdga2,F1_Aged,2.44155922280407e-37,0.693669222855826,shared,1.12472456326689e-27,0.72092344128768,Pericytes
Mgp,F1_Aged,1.13541627405754e-6,0.289235270379338,shared,0.0158009019973335,0.353805774278215,Pericytes
Mir100hg,F1_Aged,9.7036875274212e-4,0.320297951582868,shared,0.0731909769630535,0.363636363636364,Pericytes
Morrbid,F1_Aged,0.00421729667622464,0.561199044011544,shared,0.0715682988522322,0.565811311119622,Pericytes
Mpdz,F1_Aged,3.50960486544556e-8,0.308622350674374,shared,6.82685945140928e-7,0.310654761904762,Pericytes
