gene,padj_Aged,padj_Young
1700025G04Rik,0.00378942555193179,0.311579641141834
2610307P16Rik,2.3050872782256e-4,0.33779839856498
9530026P05Rik,1.00582946368431e-11,1
9630014M24Rik,0.00415326240088362,1
Ackr3,0.041128420391398,1
Actn1,8.2347899937107e-4,1
Adam10,3.1730655552121e-8,0.152416631524111
Aff1,7.97422210863501e-20,1
Ankrd11,3.65519996637876e-6,1
Ash1l,0.00793453647141034,1
Atp2a2,1.6973908456717201e-10,0.619935336309837
B2m,1.89644747100394e-6,1
Btg2,0.0637647327670916,1
Camkmt,0.0700470523459169,0.283116745177051
Ccdc85a,5.7626831188004504e-9,0.188556941092352
Ccnd3,0.0637647327670916,1
Cdc42,0.0836724022142132,1
Cdh13,0.0899548048984367,0.482733742914746
Cemip2,9.52820061659394e-21,1
Col5a2,1.87672927277694e-14,0.145104081122309
Cpne8,1.18698802449322e-28,1
Csgalnact1,2.7976365335645e-4,1
Cst3,7.032071230065601e-16,1
Dach1,0.0165787041354969,0.230756717627902
Dcbld1,0.0463735636784763,1
Dennd1b,0.02065046206763,1
Dennd4a,0.00179645715951544,1
Dyrk1a,4.90606172248454e-6,1
Elf1,0.0677321595123747,1
Ets1,8.60490481372095e-9,1
Evl,6.1828168796784e-4,1
Fam117b,3.79265529108044e-9,0.646238796006735
Fbxl17,1.20959790552968e-28,1
Fhl2,9.20791364085739e-20,0.488541359856489
Fmo1,8.08457706830942e-6,0.571340437675072
Gda,0.0500741805995848,0.132705321082015
Gls,3.69117648528221e-7,1
Gnb1,1.5739727680876102e-14,1
Gphn,1.0888194785127601e-17,1
Grb10,5.09851217278735e-8,1
Hdac9,0.00252334850302815,0.352180971755256
Heg1,3.0848515638765e-4,0.698633419872445
Hip1,8.18475067274549e-16,1
Hpcal1,0.00935862138342942,1
Igfbp7,5.025192365217889e-12,1
Irak2,1.96193436709005e-5,1
Itpr1,2.0801216419594998e-41,1
Lmo7,6.379812989338519e-11,1
Lrrc8c,2.8491530726323495e-23,1
Lrrfip1,0.0882112534509941,0.376147214948073
Ltbp4,0.0310244516797757,1
Ly6c1,1.5633846961809901e-9,1
Lyn,0.040824891332863,1
Map3k3,7.8053507738308e-4,1
Marchf3,2.70640519581504e-6,0.225036517299042
Mcu,0.00363184996422749,1
Med13,0.0153315080545888,1
Mgll,2.43026493582459e-38,1
Mllt3,0.00124146848951295,0.742747059883364
Nbeal1,1.0088962734159501e-9,1
Ncald,0.0102718637266233,0.44080895918646
Nfkbia,6.8670402720672e-5,1
Niban1,0.098996580577842,0.377780468622758
Nr3c1,0.0787049446050998,1
Nrp1,0.00804598800213786,1
Nsd1,2.22471916804907e-6,1
Nxpe4,7.0613675838505e-8,1
Oxr1,0.0012017960666651,1
Palld,9.20791364085739e-20,1
Pbx3,1.7873068594505e-4,0.653287950389433
Pde4b,0.0899548048984367,0.561574695108945
Pdlim1,4.16011351653264e-52,0.145104081122309
Pdzd2,1.2021659478266399e-12,1
Picalm,1.3129953682427e-4,1
Pik3r3,2.61262960095633e-18,1
Plcl1,6.0985524556856105e-21,0.237722696430785
Plpp3,2.95904944465745e-15,0.713906020543825
Plxna2,0.00242376114807975,1
Ppm1h,8.4912980089862e-4,1
Ptpn14,0.0117824660759465,0.150948402582988
Ptprb,3.79160978953205e-7,1
Rabgap1,0.0567119998960292,1
Rapgef2,3.48748144335537e-13,1
Rasa4,0.0160126826990067,0.145104081122309
Rasgrp3,0.070269894742464,1
Rbms2,2.062590824418e-4,1
Rnf144a,0.00828767392283305,1
Robo2,4.6996534664608e-4,0.228196634384486
Samd12,2.56025615997514e-22,1
Shroom3,8.3037678090816e-4,1
Slc12a2,4.48117657282907e-5,0.883128500131666
Slc6a6,4.03322112937459e-11,1
Smad1,0.0503560423042029,1
Sptan1,3.25192949108161e-10,1
Sptlc2,2.5865093232073e-4,1
Srgap1,0.0564095609135502,1
St6galnac3,5.12700732103596e-7,1
Stag1,8.50167854683329e-6,1
Stard13,0.00762173761163803,1
Stox2,8.73939437549918e-6,1
Tacc1,4.44351471189584e-19,0.898036194025757
Timp4,0.0879352971124075,1
Ulk2,0.0564570769390749,1
Utrn,2.69012237079433e-13,1
Vps13a,0.00959366240457957,1
Wipf1,6.29746496187185e-13,1
Wt1,8.05406860507353e-13,1
Zbtb46,1.8047594974506797e-11,1
Zbtb7c,9.014434177739861e-14,0.346391325702491
Zfp277,8.6379781476233e-4,1
