gene,condition,padj,status,padj_other,celltype
Abca8a,F1_Aged,6.056892187779229e-19,shared,6.10924254572748e-7,Pericytes
Abcc9,F1_Aged,0.00218247129554526,shared,9.2125964756857e-4,Pericytes
Adamts12,F1_Aged,4.47969330003508e-5,shared,0.0121294832102054,Pericytes
Adamts9,F1_Aged,1.14891732916484e-56,shared,1.21848838380092e-33,Pericytes
Agmo,F1_Aged,0.00230461154835352,shared,3.4041107617552e-4,Pericytes
Ankrd44,F1_Aged,2.75707712269539e-15,shared,1.7259534555169398e-22,Pericytes
B3galt1,F1_Aged,3.024978558284e-4,shared,8.8817881599295e-5,Pericytes
Btg2,F1_Aged,0.00244937106363373,shared,5.6539179398788e-4,Pericytes
Cacnb2,F1_Aged,3.0684804649917198e-16,shared,1.00642827014964e-5,Pericytes
Camk2d,F1_Aged,3.63376048432848e-6,shared,7.8232457305407e-4,Pericytes
Cd36,F1_Aged,2.2332733100573096e-31,shared,1.7958859285956e-4,Pericytes
Celf2,F1_Aged,4.2830954363182295e-19,shared,2.92936691207213e-11,Pericytes
Clic4,F1_Aged,5.78074342750008e-14,shared,5.40908618884977e-15,Pericytes
Col25a1,F1_Aged,7.8130102020985e-4,shared,0.0252248630772777,Pericytes
Col4a1,F1_Aged,4.3220675554241305e-24,shared,1.1029927476498599e-16,Pericytes
Col4a2,F1_Aged,4.70843627876901e-37,shared,2.57118840833041e-5,Pericytes
Creb5,F1_Aged,5.14547873524136e-29,shared,8.526497583414819e-34,Pericytes
Cyp7b1,F1_Aged,0.0203140917340786,shared,6.71412401780872e-5,Pericytes
Cyth3,F1_Aged,1.23004503421657e-38,shared,6.6201038034755e-4,Pericytes
Dach1,F1_Aged,4.28788115750261e-32,shared,1.7804147649471e-4,Pericytes
Dennd2a,F1_Aged,4.73403184965628e-20,shared,2.32861543713232e-6,Pericytes
Dock10,F1_Aged,3.08619224787678e-21,shared,3.04022412555602e-11,Pericytes
