"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"0610005C13Rik",0.221153846153846,0.2195,0.7209,0.70819583863389,0.663529110873495,0.0400139178844816,104
"0610038B21Rik",0.606481481481482,0.6133,0.4217,0.588800773271737,0.654709047710366,0.0410577592205985,108
"0610040B10Rik",0.654761904761905,0.6496,0.8787,0.72929844134496,0.604235819414202,0.0476687543493389,126
"0610040J01Rik",0.65034965034965,0.6497,1.2394,0.829726898090089,0.548417549016262,0.0567153792623521,143
"0610043K17Rik",0.465141612200436,0.4855,3e-04,0.347349968199066,0.530345184762707,0.0601948503827418,153
"1110002E22Rik",0.498359240069085,0.5002,0.7359,0.491923831506958,0.324509665321627,0.260612386917189,579
"1110002L01Rik",0.969613259668508,0.9709,0.0049,0.316904303198661,0.481176505752089,0.0716771050800278,181
"1110004F10Rik",0.471230158730159,0.4684,0.2233,0.333212841357927,0.379413079700674,0.134307585247042,336
"1110019D14Rik",0.536498599439776,0.5355,1.0793,0.613363206194868,0.310816070261628,0.291231732776618,595
"1110038F14Rik",0.48421052631579,0.4872,1.7879,0.998281708322913,0.487726929178529,0.069937369519833,190
"1110059E24Rik",0.433187560738581,0.4351,0.9095,0.591027624279965,0.3751861914836,0.141614474599861,343
"1200007C13Rik",0.45,0.4493,5.6322,2.63971105843607,0.765042689918028,0.0292275574112735,70
"1500002F19Rik",0.62366452991453,0.6247,1.9749,0.999709075248554,0.381446994262958,0.131176061238692,312
"1500004A13Rik",0.451904761904762,0.4494,0.7384,0.502399271124117,0.339059153430235,0.227209464161447,525
"1500009L16Rik",0.581769305962854,0.5812,1.394,0.768386726492739,0.365062660263243,0.162839248434238,341
"1500026H17Rik",0.222222222222222,0.2258,1.9528,1.14867447277026,0.621784811411103,0.0452331245650661,117
"1600010M07Rik",0.486533333333333,0.4829,0.4335,0.373169353357936,0.318523992362021,0.273834377174669,625
"1600014C10Rik",0.403041825095057,0.4041,0.1801,0.339220951307588,0.413645466297123,0.0998608211551844,263
"1600020E01Rik",0.299170274170274,0.2958,0.5072,0.420537017632416,0.348124204930577,0.204940848990953,462
"1700025G04Rik",0.546589734970417,0.545,0.4826,0.309204789016884,0.192350781091787,1.00835073068894,1320
"1700037F03Rik",0.575136612021858,0.5752,0.5944,0.534353530266695,0.471383958560665,0.0744606819763396,183
"1700081N11Rik",0.542483660130719,0.5339,2e-04,0.303594504455798,0.463574006472155,0.0768963117606124,204
"1700084C06Rik",0.526785714285714,0.5254,2.2654,1.27607126301186,0.635054175706777,0.0434933890048713,112
"1700086O06Rik",0.665374677002584,0.6677,0.6129,0.616137812729521,0.585565819308888,0.0504523312456507,129
"1700087I21Rik",0.097082494969819,0.0952,0.4857,0.404422209969945,0.33598152202743,0.234516353514266,497
"1700096K18Rik",0.37280701754386,0.4086,1e-04,0.480664450084124,0.734076836761819,0.0323590814196242,76
"1700109H08Rik",0.40453834115806,0.4042,0.3349,0.364656074043793,0.362709377089554,0.168406402226862,426
"1700120C14Rik",0.746171967020024,0.7499,0.3016,0.374848980649,0.39759134311124,0.112386917188587,283
"1700123M08Rik",0.641293532338308,0.6473,1.1511,0.730437355903385,0.447983321583103,0.0824634655532359,201
"1810024B03Rik",0.604545454545454,0.6005,2.063,1.19394850055973,0.627017343188224,0.0445372303409882,110
"1810034E14Rik",0.64525993883792,0.6489,0.4534,0.5970761579643,0.648962318597474,0.0417536534446764,109
"1810037I17Rik",0.110772357723577,0.1141,0.5873,0.555428119325683,0.50768988091676,0.0650661099512874,164
"1810062O18Rik",0.542496679946879,0.5409,0.3232,0.392880072239536,0.412602830333851,0.100556715379262,251
"2010001K21Rik",0.943037974683544,0.9344,0.2056,0.545607927787375,0.714077175040584,0.034446764091858,79
"2010109A12Rik",0.4002849002849,0.3913,0.8822,0.745543437268588,0.627017343188224,0.0445372303409882,117
"2210408F21Rik",0.488197189819308,0.4901,0.1334,0.143875107246177,0.142373247133994,2.64578983994433,2392
