"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.4858,0.494940476190476,64,0.247,0.143702361870177,-0.289506617194985,-0.177424418714764,0.55138107164649,0.894715115567116
"2210408F21Rik",0.4768,0.457548115664999,77,0.4925,0.238124370456191,-0.0919224894410386,-0.0771404587881506,0.694477474478722,1
"2610035D17Rik",0.9723,0.989130434782609,23,0.1346,0.140574621861285,Inf,-23.3715844736121,8.09265362489336e-12,1.33865978711778e-09
"2610037D02Rik",0.5569,0.542198581560284,47,0.0951,0.0937831754845453,0.724365557386573,-1.23512966112658,0.11601878165736,0.417205220271485
"2610307P16Rik",0.5246,0.494293924466338,58,0.1923,0.123753623194258,0.494109070270041,-0.577898174161277,0.282339049880389,0.667513117638185
"2700097O09Rik",0.6889,0.649659863945578,28,1e-04,0.0995945888420048,0.691877704637669,-0.620267092446124,0.265368128205103,0.642385042057475
"4632427E13Rik",0.5269,0.550819672131148,61,0.469,0.229675963465606,0.561878887608115,-0.573685075198235,0.284100346626727,0.667513117638185
"4732440D04Rik",0.4159,0.432368082368082,74,2e-04,0.0508675973375832,-0.302028537449657,-0.357837078758394,0.397566540243253,0.763785037937848
"4732471J01Rik",0.3298,0.324242424242424,33,0.5601,0.296594227070276,-1.20645087746743,-2.70433527546104,0.0200369701433285,0.144106470052562
"4933431K23Rik",0.4251,0.453846153846154,26,1.0055,0.494327863231672,-0.192645077942395,0.0496507737295566,1,1
"5031425E22Rik",0.5373,0.575143513203215,67,0.0645,0.0772390405653086,0.286881147788162,-0.47107370772418,0.331726192580131,0.707376478540458
"5330438D12Rik",0.5682,0.578095238095238,35,0.1277,0.121507529389266,0.584962500721156,-0.752079513937556,0.220032534866149,0.594646381360609
"5430431A17Rik",0.627,0.624285714285714,35,0.2824,0.162552815348728,1.32192809488736,-3.31617071107058,0.0100143543683642,0.092030062135199
"9330159M07Rik",0.1015,0.0795197740112994,59,9e-04,0.0520905855279031,-3.20163386116965,-36.6448021918264,1.11956024879154e-17,6.21199197766252e-15
"9530026P05Rik",0.5605,0.557185990338164,92,0.164,0.115103239393899,0.270089163367744,-0.952492691739764,0.167521355936059,0.508935328797537
"9630014M24Rik",0.5385,0.544117647058824,34,1.6895,0.718492897844736,-0.0443941193584536,0.0250436022861216,1,1
"AW554918",0.3924,0.43030303030303,55,0.183,0.122441408516708,-1.02553509210714,-3.26944120936368,0.0105541631340295,0.0947964426291788
"Aak1",0.4527,0.454279279279279,74,0.1632,0.111888711356003,-0.0201778819376299,0.258814892269925,1,1
"Abca1",0.5,0.511428571428571,35,0,0.0609462315237578,-0.263034405833794,-0.00391005775311015,0.929533791974806,1
"Abca8a",0.6771,0.718939393939394,23,0.0393,0.0697706413962998,1.72582503656101,-6.21632113098081,0.000421894590267415,0.00910283436609585
"Abcc1",0.4133,0.409313725490196,34,1.7483,0.753372090215716,-0.691877704637669,-0.704960717960514,0.23506943575909,0.617500844979735
"Abcc5",0.4626,0.504678362573099,57,0.2385,0.14427623965918,-0.12553088208386,0.0302372053356734,1,1
"Abcd3",0.6746,0.637996031746032,56,0.2009,0.129700773116312,0.80145432061792,-2.83406370525085,0.017275888210421,0.131894761914175
"Abhd18",0.5671,0.546675191815857,46,0.2228,0.13791974454347,0.15200309344505,0.189423951900075,1,1
"Abi1",0.6311,0.587254901960784,68,0.1129,0.09498136687675,1.21723071622067,-7.02525211646056,0.000177966109488992,0.00464819378073222
"Ablim1",0.4481,0.439077156237766,116,0.078,0.0725613157125242,-0.303232001177457,-3.50733923725403,0.00808441495982353,0.0806410235942196
"Ablim3",0.4098,0.395502645502645,63,0.2009,0.128308291376662,-0.799701349514169,-3.62798050912052,0.00706660447525889,0.0742180417110524
"Abra",0.3754,0.376166666666667,50,0.3527,0.185179060504331,-1.23029761942179,-4.47085192983337,0.00278732600770438,0.0378961789403643
"Abtb2",0.6228,0.617952380952381,50,0.0901,0.086414355882674,0.69389687227432,-2.18190476087243,0.0367101251164079,0.212344803302455
"Acacb",0.4511,0.450714004610109,77,1e-04,0.0515208277925243,-0.0512253233551733,0.470657437388667,1,1
