"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.4858,0.494940476190476,64,0.247,0.143702361870177,0.0762214073630496,-0.167944637314071,-0.189867656062347,0.537744926854567,1
"2210408F21Rik",0.4768,0.457548115664999,77,0.4925,0.238124370456191,0.0780452884767554,-0.0773057261674489,0.0772709598282546,1,1
"2610035D17Rik",0.9723,0.989130434782609,23,0.1346,0.140574621861285,0.13663630578947,4.52356195605701,0.131478165045248,1,1
"2610037D02Rik",0.5569,0.542198581560284,47,0.0951,0.0937831754845453,0.0880801700233956,0.341036917835067,-0.0792959385447105,0.690456263670985,1
"2610307P16Rik",0.5246,0.494293924466338,58,0.1923,0.123753623194258,0.0774790338253629,0.210566985939658,0.203300828563172,1,1
"2700097O09Rik",0.6889,0.649659863945578,28,1e-04,0.0995945888420048,0.152056135358022,1.14684138832927,-0.452906370247305,0.341227868387455,1
"4632427E13Rik",0.5269,0.550819672131148,61,0.469,0.229675963465606,0.0787717548664683,0.123735368422245,-0.00832231597404132,0.897346510440782,1
"4732440D04Rik",0.4159,0.432368082368082,74,2e-04,0.0508675973375832,0.0775757770002687,-0.490050853695689,-0.066989488884218,0.714341653379737,1
"4732471J01Rik",0.3298,0.324242424242424,33,0.5601,0.296594227070276,0.128140249478669,-1.08746284125034,-0.608731067767582,0.269859284533451,1
"4933431K23Rik",0.4251,0.453846153846154,26,1.0055,0.494327863231672,0.171813423109174,-0.556393348524385,0.451538618658372,1,1
"5031425E22Rik",0.5373,0.575143513203215,67,0.0645,0.0772390405653086,0.0805597612900813,0.159198594849254,-0.03048487567672,0.804969722498095,1
"5330438D12Rik",0.5682,0.578095238095238,35,0.1277,0.121507529389266,0.111516499887205,0.369233809665719,-2.28632225266453,0.0324863792942293,1
"5430431A17Rik",0.627,0.624285714285714,35,0.2824,0.162552815348728,0.08448033330929,0.823122237915921,-0.0362917155548743,0.787611788310192,1
"9330159M07Rik",0.1015,0.0795197740112994,59,9e-04,0.0520905855279031,0.0790376876296173,-3.14684138832927,-0.595621761452833,0.275078866437411,1
"9530026P05Rik",0.5605,0.557185990338164,92,0.164,0.115103239393899,0.0806810143009487,0.358047520694014,-0.0803701987214396,0.688475763850046,1
"9630014M24Rik",0.5385,0.544117647058824,34,1.6895,0.718492897844736,0.117468152641526,0.163498732282879,-1.8241685378612,0.0561252231474007,1
"AW554918",0.3924,0.43030303030303,55,0.183,0.122441408516708,0.0808688446078526,-0.70781924850669,-0.210131152407158,0.516806188285389,1
"Aak1",0.4527,0.454279279279279,74,0.1632,0.111888711356003,0.076235358477735,-0.209923069374232,-0.509978748717785,0.312529091086296,1
"Abca1",0.5,0.511428571428571,35,0,0.0609462315237578,0.093085210947286,0,0.0840349329779819,1,1
"Abca8a",0.6771,0.718939393939394,23,0.0393,0.0697706413962998,0.0837690262926152,1.02974734339405,-0.271473166873388,0.461214228738526,1
"Abcc1",0.4133,0.409313725490196,34,1.7483,0.753372090215716,0.13663630578947,-0.485426827170242,-1.40304284668379,0.0939072539167024,1
"Abcc5",0.4626,0.504678362573099,57,0.2385,0.14427623965918,0.0820279100394549,-0.39231742277876,-2.28410581436916,0.0325705501152759,1
"Abcd3",0.6746,0.637996031746032,56,0.2009,0.129700773116312,0.0815743141396471,1.20511442990461,-0.431420191332641,0.352945049572348,1
"Abhd18",0.5671,0.546675191815857,46,0.2228,0.13791974454347,0.0814254231660606,0.456378294659743,0.130149471956777,1,1
"Abi1",0.6311,0.587254901960784,68,0.1129,0.09498136687675,0.0795862076764228,0.888354644171091,-0.0883641630456822,0.674200073511999,1
"Ablim1",0.4481,0.439077156237766,116,0.078,0.0725613157125242,0.065585316198262,-0.27372900663003,-1.97254958711824,0.0470080828184283,1
"Ablim3",0.4098,0.395502645502645,63,0.2009,0.128308291376662,0.079447530362621,-0.496425826119499,-0.625228437859548,0.263465234440791,1
"Abra",0.3754,0.376166666666667,50,0.3527,0.185179060504331,0.0782641517436148,-0.823122237915921,-1.6177399846479,0.0720591856868979,1
"Abtb2",0.6228,0.617952380952381,50,0.0901,0.086414355882674,0.0797255262181373,0.777607578663552,0.0811740283485065,1,1
"Acacb",0.4511,0.450714004610109,77,1e-04,0.0515208277925243,0.0786314776484488,-0.280900826627307,-0.351367751457104,0.40186604943022,1
"Acad10",0.468,0.485119047619048,28,0.3948,0.262416470826609,0.171813423109174,-0.275634442613427,-1.40399363466935,0.0937959886725374,1
"Acadl",0.4287,0.448850574712644,58,0.2745,0.157948187778053,0.0820295321330134,-0.628031222613042,0.0868915240861128,1,1
"Acadm",0.5236,0.525850340136054,49,0.0607,0.0755700863754026,0.0802147119240316,0.14086253583985,0.10875120223686,1,1
