"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1600010M07Rik",0.3954,0.401595744680851,47,0.5843,0.287319346876254,-0.485426827170241,-0.89902525264948,0.179948358074088,0.557310072988451
"1700025G04Rik",0.5043,0.531659226190476,64,0.1886,0.121368178416132,0.0911478880581948,-0.0350824916490993,0.791096716044695,1
"2210408F21Rik",0.5245,0.508689876431812,93,0.0098,0.058252597264227,-0.0712586831698208,0.420641176078334,1,1
"2610035D17Rik",0.842,0.828070175438597,38,0,0.0765715972176773,3.04439411935846,-12.4630455411156,5.95707293661693e-07,4.33797106153643e-05
"2610037D02Rik",0.3646,0.36875,64,1e-04,0.0510059698120282,-0.472068444315223,-0.501782534537561,0.316449400470325,0.724306625849122
"2610307P16Rik",0.3627,0.362535564540282,106,0.1339,0.105456651184099,-0.647118976783726,-6.8003229641543,0.000226107713765643,0.00738098743786697
"3222401L13Rik",0.3836,0.400574712643678,29,1e-04,0.0918721634978959,-0.347923303420307,0.0583754675935957,1,1
"4632427E13Rik",0.4712,0.457291666666667,80,0.2628,0.148194285895099,-0.517848304862619,-0.686873545606645,0.241169123482447,0.647372694414131
"4732440D04Rik",0.3357,0.323800897170462,92,0.2692,0.156471874205838,-1.24462236871991,-10.7921564244257,3.38610060964058e-06,0.000192330514627585
"4930523C07Rik",0.4601,0.450793650793651,63,0.1294,0.10162902653648,-0.0374747054186626,0.0809116328675543,1,1
"5031425E22Rik",0.4982,0.498717332050665,99,0.1358,0.105627509124764,-0.089637212484676,0.00652308289033954,1,1
"5330438D12Rik",0.5026,0.467509920634921,48,0.3249,0.184343739751206,0.0524674198941351,-0.00604026846137629,0.912479565404195,1
"5430431A17Rik",0.449,0.414516129032258,31,2e-04,0.088283053650056,-0.415037499278843,-0.232980913207347,0.494850806791666,0.878909500493014
"6720427I07Rik",0.5679,0.577777777777778,45,0.2651,0.179809337215494,0.700439718141093,-0.9032207483578,0.178935696042613,0.555140186867875
"9330159M07Rik",0.109,0.117407407407407,45,0.6548,0.300190284328676,-3.16992500144231,-18.3909601608814,1.32109734595461e-09,1.50076658500443e-07
"9530026P05Rik",0.5032,0.480580810592123,130,0.134,0.103802546468726,-0.212097440608568,0.309408410080522,1,1
"AU040320",0.5385,0.583333333333333,48,0.0893,0.0977514106814867,0.561878887608114,-0.6585208525903,0.251123662985015,0.659751344012435
"AW554918",0.4105,0.426337448559671,81,0.2534,0.146910794400289,-0.791413378188583,-2.83211416463682,0.01731433255446,0.155609824223628
"Aak1",0.4992,0.529829290206649,106,0.0942,0.0898786907239595,0.153805336079036,-0.033220926000098,0.796589689958823,1
"Abca1",0.4334,0.420659117305459,82,0.2561,0.149328606308392,-0.532495080827021,-1.62227369018814,0.0716614810749389,0.355180813704758
"Abca8a",0.6919,0.702118644067797,59,0.4869,0.23778119693457,1.16397573511113,-10.9744462334469,2.80008445713925e-06,0.00016229060935256
"Abca8b",0.4563,0.454411764705882,34,0.7558,0.352445929154735,-0.440572591385981,-0.436801923921394,0.349959539543705,0.757588165956967
"Abca9",0.6561,0.59375,36,0.1725,0.138578860554143,0.770518153877233,-1.13959379886725,0.131120540191656,0.480493334379747
"Abcc1",0.6387,0.618518518518518,45,0.0993,0.103981492213576,0.637429920615292,-0.994977870142829,0.158345507172439,0.524218167989921
"Abcc4",0.6029,0.596491228070175,38,1.1443,0.513682754937013,0.452512204697507,-0.565854628719922,0.287411044683266,0.7012372781705
"Abcc5",0.4874,0.463703703703704,90,0.1681,0.114415408890165,-0.547487795302494,-0.341885015769648,0.408291542438173,0.806170276861741
"Abcc9",0.4457,0.355555555555556,30,0.0171,0.0947007751690434,0,0.129994915365018,1,1
"Abcd3",0.5859,0.576904761904762,70,3e-04,0.0483266111364364,0.628031222613042,-1.88917825304595,0.0519196337894925,0.297882343357896
"Abcg2",0.4908,0.495726495726496,39,1.3977,0.609910603038278,-0.784271308944565,-0.0808782177696621,0.687544531013341,1
"Abhd17b",0.4288,0.422413793103448,58,0.3145,0.173021051293999,-0.527247002864869,-0.829583373761992,0.197715865488777,0.580675344351733
"Abhd18",0.441,0.415277777777778,54,0.1472,0.103884094141733,-0.187627003175772,-0.172482013772559,0.556977810043872,0.939879370484015
"Abhd6",0.3951,0.372222222222222,30,1.0759,0.504427023022759,-1,-1.40140396086766,0.0940993804602744,0.406143222655287
"Abi1",0.7158,0.692641650385013,113,0.122,0.101112701259204,1.42662547355406,-27.7338352991586,9.50087864994057e-14,2.45295412416647e-11
"Abi2",0.3746,0.375,36,0.5427,0.282660204812614,-0.643856189774725,-0.82477334255616,0.19902064089835,0.581782935519734
"Abl2",0.5161,0.506410256410256,52,1.0016,0.443438226427653,-0.280107919192736,0.182227337387772,1,1
"Ablim1",0.4587,0.461992353058154,155,0.0537,0.0648401110471711,-0.176753063951767,-1.15177921143589,0.129077985740065,0.475462359924493
"Ablim3",0.5277,0.551587301587302,42,1e-04,0.06239103096187,-0.146841388329272,0.198601170497909,1,1
"Abra",0.4589,0.472682823129252,56,0.3469,0.183015593190193,-0.174029399775048,-0.127135317882647,0.614083915700105,0.97947419444912
"Abtb2",0.4907,0.465599876314162,70,0.1406,0.103972370915481,-0.101283335837182,-0.0722574995115579,0.703833118803759,1
"Acaca",0.5394,0.504807692307692,52,2e-04,0.0597412135248651,0,0.186886610239803,1,1
"Acacb",0.4775,0.502313883299799,71,0.0312,0.0656139139547064,0.0246620542342681,0.176267182572829,1,1
"Acadl",0.4485,0.440104166666667,64,0.0885,0.0816672153149596,-0.289506617194985,-0.347168913206765,0.404692832540087,0.804345855020631
"Acadm",0.5747,0.560869565217391,46,0.243,0.149061067806776,0.637429920615292,-0.97249212098589,0.16312837330357,0.530681076955486
"Acap2",0.4348,0.443989071038251,61,2e-04,0.0522311154100347,-0.338801913451758,-0.426190092110247,0.355879866133576,0.76106838841819
"Acat1",0.5287,0.530503144654088,53,1e-04,0.0540293590455223,0.214124805352847,-0.158555419349703,0.57334912024391,0.950006710322464
"Acbd5",0.4418,0.424731182795699,31,0.1305,0.145414364794911,-0.247927513443587,-0.28904249648842,0.447063922988236,0.838752909124081
"Acbd6",0.4411,0.441869918699187,41,0.4152,0.225714022453234,-0.299560281858908,-0.655232443411855,0.252310502326905,0.661732319193527
"Acer2",0.5772,0.58010101010101,105,0.2232,0.13959884602058,0.408084738637077,-2.81500824851383,0.0176554653047817,0.158175146579117
"Acer3",0.6067,0.594339622641509,53,0.0639,0.0805346462266547,1.28950661719498,-3.99577300438133,0.00469962680783351,0.0654261771286626
"Acin1",0.554,0.529569892473118,62,1.0213,0.443610621384839,0.229481846122768,0.051085898364903,1,1
"Ackr3",0.6205,0.583786848072562,84,0.1291,0.103353859331773,0.837270499961892,-4.45196474581174,0.0028455764746045,0.0462718966421192
"Aco2",0.5373,0.536235827664399,70,0.0639,0.0744295617988777,0.350497247084133,-0.516946290422574,0.309246162645555,0.718968027545057
"Acox1",0.5238,0.508563748079877,62,0.3588,0.184465851642766,0.206450877467427,-0.257114308294781,0.473314027675525,0.859470485037399
"Acsl1",0.4418,0.457,50,1e-04,0.0512807970697758,-0.565597175854225,-0.917339861769989,0.175575798460845,0.55037005257042
"Acss1",0.5339,0.530324488729661,58,0.1335,0.104001270221436,0.148863385914481,-0.0855268548687249,0.679177035422895,1
"Actc1",0.4363,0.405235124352771,68,0.1174,0.0994168888580637,-0.50089823593268,-1.50386632115499,0.0828681319085609,0.377769689075469
"Actc1dt",0.4106,0.335416666666667,32,0.098,0.107160473949502,-0.788495894806289,-0.890653574112406,0.181988898057453,0.561181835486608
"Actn1",0.5817,0.602452222574174,82,0.0852,0.0860336212184374,0.386058432307079,-2.86556929551506,0.0166666732237305,0.153679714140892
"Actn2",0.5048,0.495458055796335,76,0.058,0.0736429562767515,-0.00777735059171987,0.0542941993765851,1,1
"Actn4",0.584,0.617283950617284,54,0.0729,0.092306342875681,1.06711419585854,-2.87011823392793,0.016580560129654,0.153383683284095
"Actr1a",0.5454,0.534722222222222,36,0.1047,0.124682450058601,-0.15200309344505,0.221746427831469,1,1
"Actr2",0.5379,0.515777777777778,75,0,0.0489436315564921,0.280107919192735,-0.502004577845391,0.316342350304195,0.724306625849122
"Actr3",0.5707,0.564084507042254,71,0.0861,0.0811613858853412,0.46948528330122,-1.09264874946669,0.139334139019344,0.495985725183729
"Acvr1",0.5198,0.525093632958802,89,0.2615,0.150956958315869,-0.0467942114789418,0.0104049682091301,1,1
"Acvr2a",0.5715,0.581666666666667,50,0,0.0638400182764234,0.724365557386572,-1.39444358202293,0.0949201239701706,0.407882116415316
"Acyp2",0.4157,0.380033088083742,121,0.1055,0.0914125153413266,-0.443382124972806,-4.44503168626588,0.00286726780322172,0.0462718966421192
"Adam10",0.4853,0.482329317269076,83,0.3157,0.168282893490035,-0.222392421336448,-0.0668274399259587,0.714672230571568,1
"Adam17",0.5154,0.509803921568627,51,3.8535,1.52500120863698,0.604071323668861,-0.223667671449775,0.503603081257576,0.885499571514867
