"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1700025G04Rik",0.523456790123457,0.5057,0.4674,0.296942786377626,0.182438615727427,0.216216216216216,54
"2210408F21Rik",0.487878787878788,0.4894,0.7776,0.422367473932968,0.194087921853621,0.202702702702703,55
"2610307P16Rik",0.410967741935484,0.4118,0.3035,0.229164470471999,0.173980534567566,0.754054054054054,155
"2900026A02Rik",0.613095238095238,0.5843,1e-04,0.123828987916227,0.189070140877384,0.208108108108108,56
"4632427E13Rik",0.434391534391534,0.4336,0.2926,0.225801992978067,0.175166910608501,0.227027027027027,63
"5031425E22Rik",0.529220779220779,0.5,1e-04,0.105034252773045,0.160364315402031,0.308108108108108,77
"9530026P05Rik",0.468005148005148,0.456,0.5337,0.317637329051501,0.175592080571326,1.03243243243243,185
"AW554918",0.373563218390805,0.352,4e-04,0.106388629569062,0.162258900228481,0.337837837837838,87
"Aak1",0.440350877192982,0.4357,0.2135,0.187738451753957,0.16290919531221,0.345945945945946,95
"Abca1",0.441840277777778,0.4718,0.2344,0.196812224537339,0.164645870943363,0.367567567567568,96
"Abca8a",0.636210086210086,0.6435,4e-04,0.105513947345636,0.160922968912569,0.272972972972973,39
"Abca8b",0.653601953601954,0.6088,0.0617,0.174639040070809,0.230946027201482,0.172972972972973,26
"Abcc5",0.393459915611814,0.3995,0.0523,0.125402501627922,0.161197420819713,0.27027027027027,79
"Abhd17b",0.46969696969697,0.4652,1.6291,0.767218709220377,0.226920708549256,0.175675675675676,44
"Abi1",0.733879138180758,0.7495,0.0359,0.128112422615795,0.174848373475191,0.856756756756757,156
"Abi3bp",0.467372134038801,0.4611,2.0059,0.959731165600027,0.302407400259774,0.137837837837838,27
"Ablim1",0.414777162727982,0.442,0.0322,0.126494024703485,0.174522540397123,1.78108108108108,244
"Ablim3",0.563063063063063,0.5769,1.8463,0.881562863161229,0.275586346334917,0.148648648648649,37
"Abtb2",0.618376928236083,0.6261,1.332,0.610982140049216,0.160613388568503,0.313513513513514,71
"Acap2",0.561111111111111,0.5463,0.9024,0.475303610137428,0.202555047216564,0.194594594594595,60
"Acer2",0.577712165551839,0.5624,0.3846,0.26113717336902,0.17577550945895,1.14864864864865,184
"Acer3",0.512121212121212,0.5148,2.2906,1.00658921236151,0.208849257013473,0.189189189189189,55
"Ackr3",0.508421052631579,0.5194,0.4194,0.268570688832366,0.166944965409966,0.402702702702703,95
"Actn1",0.680268199233717,0.6525,0.0592,0.133230221862095,0.169150958857374,0.454054054054054,87
"Actn4",0.5,0.5125,0,0.122267126130716,0.186742657310314,0.210810810810811,65
"Actr2",0.455128205128205,0.4372,0.4788,0.325399871512469,0.219290070423377,0.181081081081081,52
"Actr3",0.491496598639456,0.4861,0.1539,0.187283799973262,0.196782790492496,0.2,49
"Acvr1",0.59969696969697,0.5849,0.0537,0.131141614267159,0.169150958857374,0.454054054054054,110
"Acyp2",0.425742574257426,0.4318,0.6839,0.371398339653892,0.170587064098044,0.516216216216216,101
"Adam10",0.416666666666667,0.395,0.3713,0.247662502386868,0.16290919531221,0.345945945945946,93
"Adamts1",0.573757763975155,0.5992,1.1018,0.527959452652149,0.167326070684049,0.243243243243243,46
"Adamts9",0.583267587113741,0.5711,0.7277,0.386714265288325,0.168575587850368,0.437837837837838,65
"Adamtsl3",0.518918918918919,0.5102,0.6834,0.413463174602266,0.235124088675861,0.17027027027027,37
"Adarb1",0.636054421768708,0.6461,0.453,0.323233976779669,0.230946027201482,0.172972972972973,49
"Add1",0.5,0.4959,1.8351,0.853660187544424,0.239465659776183,0.167567567567568,50
"Adgra2",0.497058823529412,0.5088,0.3431,0.243011629852778,0.17216176266181,0.232432432432432,68
"Adgrf5",0.499581430745814,0.5018,2e-04,0.11333354854597,0.172982106479211,0.683783783783784,146
