"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.5057,0.523456790123457,54,0.4674,0.296942786377626,0.182438615727427,-0.0721497857558351,-0.137594703976859,0.599871725926609,1
"2210408F21Rik",0.4894,0.487878787878788,55,0.7776,0.422367473932968,0.194087921853621,-0.0384741478146355,-1.57783296918919,0.0756638133718804,1
"2610307P16Rik",0.4118,0.410967741935484,155,0.3035,0.229164470471999,0.173980534567566,-0.512061953673709,-0.451534290493271,0.34196024221965,1
"2900026A02Rik",0.5843,0.613095238095238,56,1e-04,0.123828987916227,0.189070140877384,0.491853096329674,0.0136812860126696,1,1
"4632427E13Rik",0.4336,0.434391534391534,63,0.2926,0.225801992978067,0.175166910608501,-0.415037499278844,-0.265237776349913,0.466406995872323,1
"5031425E22Rik",0.5,0.529220779220779,77,1e-04,0.105034252773045,0.160364315402031,0,0.0865567432379777,1,1
"9530026P05Rik",0.456,0.468005148005148,185,0.5337,0.317637329051501,0.175592080571326,-0.333830183943654,0.10409389824477,1,1
"AW554918",0.352,0.373563218390805,87,4e-04,0.106388629569062,0.162258900228481,-0.880418384247328,-0.0462022469540813,0.761142309362162,1
"Aak1",0.4357,0.440350877192982,95,0.2135,0.187738451753957,0.16290919531221,-0.362570079384708,0.0102410184003645,1,1
"Abca1",0.4718,0.441840277777778,96,0.2344,0.196812224537339,0.164645870943363,-0.084888897586513,-0.27178585498821,0.460956251855871,1
"Abca8a",0.6435,0.636210086210086,39,4e-04,0.105513947345636,0.160922968912569,0.852442811586142,-0.0975232274797762,0.658749270648371,1
"Abca8b",0.6088,0.653601953601954,26,0.0617,0.174639040070809,0.230946027201482,0.641546029087524,0.0672703842098841,1,1
"Abcc5",0.3995,0.393459915611814,79,0.0523,0.125402501627922,0.161197420819713,-0.584962500721156,-0.202489028349859,0.524529514567813,1
"Abhd17b",0.4652,0.46969696969697,44,1.6291,0.767218709220377,0.226920708549256,-0.222392421336448,0.0151188757902858,1,1
"Abi1",0.7495,0.733879138180758,156,0.0359,0.128112422615795,0.174848373475191,1.6154645891185,-1.69450182196155,0.0656325984712698,1
"Abi3bp",0.4611,0.467372134038801,27,2.0059,0.959731165600027,0.302407400259774,-0.632268215499513,0.0995389225619618,1,1
"Ablim1",0.442,0.414777162727982,244,0.0322,0.126494024703485,0.174522540397123,-0.312080308931015,-0.430486322820741,0.353466646718717,1
"Ablim3",0.5769,0.563063063063063,37,1.8463,0.881562863161229,0.275586346334917,0.695145418471579,-1.61585527626396,0.072225211351477,1
"Abtb2",0.6261,0.618376928236083,71,1.332,0.610982140049216,0.160613388568503,0.817135942850189,0.0182195293515548,1,1
"Acap2",0.5463,0.561111111111111,60,0.9024,0.475303610137428,0.202555047216564,0.160464672193246,-0.327175056321728,0.418561680919979,1
"Acer2",0.5624,0.577712165551839,184,0.3846,0.26113717336902,0.17577550945895,0.375509135092207,-0.176851224390447,0.552024709382525,1
"Acer3",0.5148,0.512121212121212,55,2.2906,1.00658921236151,0.208849257013473,0.165059246270496,-0.481184652482447,0.326590654163718,1
"Ackr3",0.5194,0.508421052631579,95,0.4194,0.268570688832366,0.166944965409966,0.174497731232136,-0.152966993536936,0.580186037688201,1
"Actn1",0.6525,0.680268199233717,87,0.0592,0.133230221862095,0.169150958857374,0.885541275415085,-0.401509482296547,0.370192278802746,1
"Actn4",0.5125,0.5,65,0,0.122267126130716,0.186742657310314,0.074000581443777,-0.0429561549256121,0.769439588790993,1
"Actr2",0.4372,0.455128205128205,52,0.4788,0.325399871512469,0.219290070423377,-0.478047296804645,-0.0364871672955829,0.787054379807326,1
"Actr3",0.4861,0.491496598639456,49,0.1539,0.187283799973262,0.196782790492496,-0.0780025120012731,0.0704966383786996,1,1
"Acvr1",0.5849,0.59969696969697,110,0.0537,0.131141614267159,0.169150958857374,0.485426827170242,-0.291071950189789,0.445473205288548,1
"Acyp2",0.4318,0.425742574257426,101,0.6839,0.371398339653892,0.170587064098044,-0.349149563622386,-1.40309923916048,0.0939006506264097,1
"Adam10",0.395,0.416666666666667,93,0.3713,0.247662502386868,0.16290919531221,-0.736965594166206,-0.435664598328472,0.350587593504766,1
"Adamts1",0.5992,0.573757763975155,46,1.1018,0.527959452652149,0.167326070684049,0.857980995127572,0.0106218372018532,1,1
"Adamts9",0.5711,0.583267587113741,65,0.7277,0.386714265288325,0.168575587850368,0.28590887208638,-0.724442856458992,0.228706833468285,1
"Adamtsl3",0.5102,0.518918918918919,37,0.6834,0.413463174602266,0.235124088675861,-0.137503523749935,0.264655132754591,1,1
"Adarb1",0.6461,0.636054421768708,49,0.453,0.323233976779669,0.230946027201482,0.932885804141463,-0.591906936808009,0.276580932188614,1
"Add1",0.4959,0.5,50,1.8351,0.853660187544424,0.239465659776183,-0.0931094043914817,-2.55492018817275,0.0237905089497457,1
"Adgra2",0.5088,0.497058823529412,68,0.3431,0.243011629852778,0.17216176266181,0.134301091711591,-0.377904033221775,0.384643569669115,1
