"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5916,0.614492753623188,23,0.4267,0.21076261545521,1.12553088208386,-1.72902537077275,0.062944477515302,0.363287195019608
"2210408F21Rik",0.3263,0.388157894736842,19,0.165,0.112049429340353,-0.765534746362978,-0.7624144177371,0.216890206501216,0.628538965779034
"5031425E22Rik",0.6074,0.638888888888889,24,0.4598,0.218317440220131,1,-2.10022899020639,0.0404130636178159,0.301336727319123
"9530026P05Rik",0.5468,0.642753623188406,23,0.0087,0.0464885206653992,1.04730571477836,-1.25143305714968,0.113639317270538,0.463700662425757
"AW554918",0.5945,0.604166666666667,24,0.4995,0.238760890943748,0.39231742277876,-0.56071395678569,0.289611194880147,0.698240974557031
"Aak1",0.4333,0.453703703703704,27,0.4523,0.221150695163138,-0.643856189774724,-0.696797619215111,0.237798887056886,0.651175341024531
"Abca1",0.5364,0.463541666666667,24,1e-04,0.0385981554757768,0.0489096004809464,0.134182011969212,1,1
"Abca8a",0.6253,0.715644841269841,16,0.0703,0.0653663381217389,0.704544116473829,-2.16453011656588,0.0374669264656034,0.296813424125388
"Abhd17b",0.6103,0.563636363636364,22,0.8433,0.365031284768983,1.14438990933517,-0.639875038012697,0.257945509593536,0.666942988380106
"Abi1",0.6805,0.629650793650794,25,0.4256,0.200911475920794,1.65207669657969,-5.07826782370725,0.00143790570710108,0.0486149072400841
"Abi3bp",0.5106,0.517526455026455,36,0.0335,0.0510208818011577,0.0317088597273381,0.02582650836748,1,1
"Ablim1",0.496,0.46061140505585,27,1e-04,0.0411929329882294,-0.367731784500487,-0.0250823865329366,0.822776804066627,1
"Ablim3",0.4298,0.383333333333333,25,0.024,0.0585051255428851,-0.415037499278844,-0.51882782728563,0.308367332105369,0.717838707523973
"Ackr3",0.6369,0.630895915678524,23,0.0581,0.0690097297224606,0.643856189774724,-0.849824087682062,0.192333994526027,0.596319371674581
"Acyp2",0.3928,0.348800366300366,20,0.12,0.0839620554048315,-1.14684138832927,-1.89945145228286,0.051286176231995,0.342553386488378
"Adam10",0.4577,0.490952380952381,30,1.0294,0.430955762584538,-0.15754127698648,0.103489675537073,1,1
"Adamts9",0.7421,0.71860119047619,16,0.5415,0.244702707720544,2,-4.79860727032974,0.00194872756617154,0.0601563726948607
"Adamtsl1",0.6147,0.613950892857143,32,0.1394,0.0924976499823344,0.769387071858584,-2.89420416342983,0.0161321889138168,0.19407793965102
"Adgrf5",0.6433,0.624074074074074,18,0.1024,0.0893613936028451,0.862496476250065,-0.991298698878509,0.1591170435496,0.537967147239124
"Adk",0.4141,0.399756116809284,26,0.0464,0.0584844864315602,-0.569365645670137,-1.32665489275351,0.103334542653976,0.445647494441646
"Afap1l1",0.4856,0.452777777777778,30,0.3456,0.176578961116758,-0.0524674198941355,-0.0459580687329009,0.761755171875004,1
"Aff1",0.4445,0.455128205128205,26,0,0.0447907784398693,-0.494764691749578,-0.513319365932148,0.310949442430928,0.718935847722017
"Agap1",0.5845,0.566137566137566,27,1e-04,0.039730129986664,0.111031312388744,0.311914245031829,1,1
"Agfg1",0.597,0.561728395061728,27,0.2151,0.126474322743667,0.369233809665719,-0.417307933282885,0.360941189960614,0.774224304749353
"Ago3",0.5416,0.487179487179487,26,2e-04,0.0479825226906771,0.304854581528421,-0.213415295973789,0.513548240561358,0.902522898016247
"Agtpbp1",0.7334,0.609848484848485,22,0,0.0490773466399505,1.07800251200127,-1.54164283078652,0.0791005807239906,0.404038937511031
"Ahnak",0.3964,0.38452380952381,28,1e-04,0.0404610039718666,-0.833990048561071,-2.12813456823182,0.0391057175523792,0.298549026475153
"Aig1",0.4777,0.48,25,0.4853,0.233015780012172,0.289506617194985,0.158979760028892,1,1
"Airn",0.3643,0.352774447774448,35,0.6765,0.301487123684333,-0.911463325398342,-2.40821664190771,0.0281896190448506,0.259930253530441
"Akap13",0.5225,0.515364583333333,32,0.0791,0.0681585172999107,0.332575339086871,-0.281556773535684,0.453008460343223,0.855414911818321
"Akap6",0.5796,0.673650793650794,15,0.0576,0.0631293562952883,0.0931094043914822,0.19154835411006,1,1
"Akt3",0.3425,0.295977011494253,29,0.0208,0.0459185554435288,-0.736965594166206,-1.5097551587823,0.0822683036092769,0.411341518046385
"Ambra1",0.5253,0.455128205128205,26,0,0.0498997214235953,0.169925001442312,-0.0564945283731291,0.736766465624346,1
"Ank",0.5646,0.617348484848485,20,0.0131,0.0519211221275239,0.788495894806288,-0.805894564664342,0.204240487928582,0.6170670060821
"Ank2",0.42,0.432762392460668,24,0.2973,0.153576758452609,-0.485426827170242,-0.692848469521444,0.239133129849939,0.651175341024531
"Ank3",0.5872,0.550925925925926,18,0.131,0.100201126783499,0,0.409530539046514,1,1
"Ankhd1",0.3734,0.351923076923077,26,0.4611,0.220439720610429,-1,-1.94972077126773,0.0483021611794282,0.329755138821096
"Ankrd11",0.403,0.438888888888889,30,0.0464,0.055449290450467,-0.237039197300849,0.146612120259192,1,1
"Ankrd17",0.4652,0.45811519104202,41,0.1342,0.0903428275084229,-0.227410496103073,-0.17756423563754,0.551224285470274,0.918337730660356
"Ankrd44",0.5348,0.54,20,0.3136,0.169542898935398,0.362570079384708,-0.12554730429677,0.61630538238373,0.95332640848028
"Ano6",0.4073,0.397101449275362,23,0,0.0447907784398693,-0.893084796083488,-1.40778281983819,0.093353984326845,0.430398239428961
"Antxr2",0.4877,0.463333333333333,25,0.8143,0.357561861269931,-0.497499659470817,-0.077075840859024,0.694599020381767,1
"Aopep",0.4909,0.474104927330734,31,0.0123,0.0451696055205737,-0.0324214776923773,0.00266814723758557,1,1
"Ap1g1",0.4174,0.449074074074074,18,0.1651,0.113150493872107,-0.628031222613041,-0.49976364865687,0.317424915114698,0.722716146990242
"Ap2a2",0.4491,0.4,16,0.4539,0.222460797934988,0,0.0636699991537011,1,1
"Apaf1",0.5278,0.538194444444444,24,0.2907,0.157835989370874,-0.169925001442313,0.128884441820095,1,1
"Apba1",0.7319,0.747294372294372,22,0.9508,0.410963012562836,2.11547721741994,-5.16346776446733,0.00131102701203992,0.0475685593319918
"Apbb2",0.6188,0.632194121667806,19,0.2367,0.132560350014516,0.247927513443585,0.136380584290169,1,1
"Apc",0.6544,0.667391304347826,23,0.0257,0.0584841344425516,1.58496250072116,-3.80956299384371,0.00577524711039093,0.121084762956453
"Apoe",0.4037,0.367777777777778,20,0.1713,0.110389087699036,-0.3536369546147,-0.559809803666351,0.290000377058809,0.698240974557031
"App",0.4512,0.477514984488419,34,1e-04,0.0437095391338493,-0.222392421336448,-0.1288829011187,0.611659250037885,0.953137778016115
"Arb2a",0.5388,0.529120879120879,39,0,0.0393462558427131,0.0627357553479628,0.0573340716820567,1,1
"Arfgef1",0.5648,0.670194003527337,27,3e-04,0.0409411707674859,0.251538766995964,-0.346132794375876,0.405394837429807,0.806247435784771
"Arhgap10",0.3968,0.368727106227106,26,2e-04,0.0404989786554109,-0.231325546106456,0.200335059079073,1,1
"Arhgap21",0.6061,0.666666666666667,23,0.3448,0.176821085450662,0.584962500721156,-0.751191086712588,0.220305189150876,0.631718035691068
"Arhgap24",0.5157,0.558089322685596,14,0.2195,0.123777459668069,-0.0824621601919726,-0.0114959047779415,0.879478373361155,1
"Arhgap26",0.5016,0.559804393137726,33,0.0091,0.0470288442985905,0.169925001442313,-0.0513424226962229,0.748631197925514,1
"Arhgap29",0.5327,0.516106442577031,34,0.0218,0.0469486166027515,0.222392421336448,-0.200982495896362,0.52607619425481,0.908793425598334
"Arhgap32",0.5899,0.603333333333333,20,0.5552,0.261083011100268,0.736965594166206,-0.837090167713786,0.195699547289966,0.601500773055741
"Arhgef12",0.6226,0.670429750847708,38,0.2279,0.126105244919043,0.930737337562886,-3.44418972386697,0.00867578860840514,0.146662140761134
"Arhgef3",0.6273,0.646222222222222,25,0.2231,0.122550556273252,1.18762700317577,-3.02666763055005,0.0138800547393912,0.185940355942788
"Arid1b",0.3917,0.370658263305322,34,0.2041,0.117305674239013,-0.754887502163469,-2.44599866531283,0.0269814545800635,0.252063588840067
"Arid2",0.6844,0.715079365079365,21,0,0.0504372401399868,0.874469117916141,-1.62599175941256,0.0713370814290059,0.374025419060791
