"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.6096,0.611627906976744,43,0.3961,0.223423462392242,0.111504101560418,0.704544116473829,0.343543068321402,1,1
"5031425E22Rik",0.5474,0.544573643410853,43,0.2379,0.162580664378016,0.110332868060022,0.31194400631474,-3.91765633021744,0.00512352904558743,0.884619190793072
"9530026P05Rik",0.567,0.537202380952381,40,0.1021,0.111285378288185,0.110751867772155,0.432959407276106,0.0021935333776284,1,1
"AW554918",0.5533,0.55982905982906,39,0.7287,0.348357715206354,0.109412350358504,0.214124805352848,-0.0441450598742108,0.766362273252942,1
"Aak1",0.3893,0.430232558139535,43,0.1488,0.128064331397385,0.109292922154273,-0.724365557386573,-0.0136871485656584,0.868588387281331,1
"Abca1",0.4875,0.483506944444444,48,0.3838,0.219039052415024,0.111941646055213,0.0291463456595165,-0.0305260822497786,0.804840614156643,1
"Abca8a",0.6304,0.61494708994709,21,0.0789,0.10204777999703,0.110098975982131,0.781359713524659,-0.250369894583066,0.4791752455006,1
"Abhd17b",0.4982,0.464539007092199,47,1.2062,0.530283572901608,0.110323777011723,0.556393348524385,-1.83630845814483,0.0553132731282892,1
"Abi1",0.6672,0.644383394383394,52,0.7085,0.347656967828663,0.120058075530312,1.39854937649027,0.212559174687449,1,1
"Abi3bp",0.4328,0.457818532818533,74,0.2175,0.167793493748906,0.130126596119162,-0.420331798948357,-0.186276409533761,0.541616040760729,1
"Ablim1",0.4384,0.4375,32,0.0584,0.095095908303711,0.111371150615868,-0.404390255079335,-0.0112818960364436,0.880596972314184,1
"Ablim2",0.5106,0.486111111111111,30,0,0.0792352747215236,0.121018676258007,0.0614005446641435,-0.00110111073191277,0.962570745392468,1
"Ablim3",0.4181,0.41875,40,0.3082,0.188372426081473,0.108951485435103,-0.476438043942987,-0.020307415121529,0.840283224792844,1
"Ackr3",0.5895,0.58,35,0.4068,0.225815464056156,0.108951485435103,0.584962500721156,-0.085271341718876,0.67962995746445,1
"Adam10",0.4706,0.480392156862745,51,0.4695,0.251366850857782,0.11161097021012,-0.241008099503795,-0.116512132964239,0.629290391738807,1
"Adam12",0.7037,0.691666666666667,35,0.6845,0.332484702705783,0.110804969265966,1.55639334852439,0.192517829121563,1,1
"Adam19",0.3112,0.321428571428571,28,0.1367,0.167399302148301,0.176388534147838,-1.16992500144231,-0.0385431213745946,0.781285580487221,1
"Adamts5",0.3969,0.431972789115646,28,0.5462,0.281928123727843,0.113802220973659,-0.830074998557688,-0.689105357513885,0.24040616289199,1
"Adamts9",0.6858,0.625850340136054,21,0.8077,0.377880181147691,0.108682996672906,1.45066140900957,2.18326808639502,1,1
"Adamtsl1",0.5398,0.550273224043716,61,0.2419,0.177132294514134,0.130238057821254,0.208946890271496,-1.20802910289805,0.120096790077781,1
"Adgrl4",0.4741,0.4953125,32,0.1033,0.110386510261615,0.108682996672906,-0.206450877467427,-0.0199116309179495,0.841826539809127,1
"Adk",0.4628,0.459770114942529,29,0.9699,0.452604912248314,0.128736569307258,-0.192645077942396,-0.0889549419604236,0.673175640397153,1
"Afap1l1",0.4293,0.390243902439024,41,0.1806,0.140483440693358,0.109817041752322,-0.321928094887362,-1.08791013285121,0.140194749073504,1
"Aff1",0.3581,0.325036075036075,33,1e-04,0.0725859685285679,0.110804969265966,-0.841302253980941,-0.112922501830642,0.634621958517982,1
"Agap1",0.4362,0.395772594752187,49,0.0397,0.0871846716493885,0.110134055165833,-0.337034987277571,-0.0392480598113636,0.779345862345894,1
"Agfg1",0.5846,0.595238095238095,35,0.1023,0.110240923941279,0.10904063783298,0.485426827170242,0.00338009375231962,1,1
"Ago3",0.4994,0.489035087719298,38,0.2423,0.163405480903304,0.10904063783298,0,0.00956311325910519,1,1
"Agps",0.5384,0.557692307692308,26,1.5646,0.678440355286288,0.128736569307258,-0.321928094887362,1.14593953531064,1,1
"Ahnak",0.3737,0.412962962962963,45,0.1549,0.131508383637642,0.111015137942559,-0.782408564927373,0.299449282454447,1,1
"Aig1",0.4731,0.455357142857143,28,0.5517,0.305801058765074,0.147074150420523,-0.137503523749935,-0.557007056017614,0.291211031268532,1
"Airn",0.3565,0.355353508924938,63,1.1583,0.525099179514317,0.1301874801782,-0.868210127444459,-1.17648963074718,0.125043825785438,1
"Akap13",0.5182,0.523688458434221,59,0.1051,0.117936523651808,0.119170383790861,0.146841388329271,-0.938723961394899,0.170624491666287,1
"Akt3",0.3197,0.302482269503546,47,0.127,0.120337691079145,0.110135766841548,-1.04890960048095,-0.0156371411136647,0.859629856464827,1
"Ank2",0.6048,0.626262626262626,33,0.3026,0.186148429176931,0.108802700829566,0.6463630453853,0.259410981479771,1,1
"Ankhd1",0.4632,0.476666666666667,50,0.6806,0.331374389316369,0.111371150615868,-0.404390255079335,-0.352716146225738,0.400964363352702,1
"Ankrd11",0.5372,0.520138888888889,48,0.3851,0.219027248181981,0.111169617056613,0.241008099503795,-1.02546701773215,0.152112844199694,1
"Ankrd12",0.5287,0.524122807017544,38,0.2853,0.17997796837091,0.109412350358504,0.106915203916512,-0.544060020580616,0.296888122605903,1
"Ankrd17",0.4755,0.451242236024845,69,0.0813,0.108039246835561,0.11785794300018,-0.125530882083859,-0.277420685323115,0.456346232466435,1
"Ankrd44",0.5166,0.516666666666667,30,0.5724,0.298895720166512,0.124521396600986,0.125530882083859,0.0183861699674353,1,1
