"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Ablim1",0.443384020274777,0.4441,0.0994,0.0625936685855139,0.0379493964862749,6.8,14
"Actn2",0.53459595959596,0.4637,0.2102,0.120957121319857,0.0628258432958623,4.33333333333333,11
"Acyp2",0.448169191919192,0.4957,0.0796,0.0548685490946503,0.0376345639838959,7,12
"Adk",0.624236874236874,0.6163,1e-04,0.0375083234408684,0.0572297126686863,4.86666666666667,13
"Airn",0.472104818258664,0.4581,0.99,0.417083703598338,0.0628258432958623,4.33333333333333,13
"Akap6",0.521700521700522,0.5803,0.2271,0.123710855086438,0.0572297126686863,4.86666666666667,13
"Alcam",0.420568783068783,0.3989,0.3315,0.160918801252831,0.05350664911349,5.13333333333333,12
"Ank",0.613888888888889,0.5818,1e-04,0.0425959385730745,0.0650001968472758,3.66666666666667,12
"Ank2",0.331195471195471,0.338,0.0504,0.0449032987185449,0.0393503049094575,6.46666666666667,13
"Ankrd17",0.504444444444444,0.4965,0.2063,0.115562986112826,0.0568492007896556,2.4,15
"Aopep",0.516666666666667,0.4425,0.2473,0.132988486036927,0.0596837476737333,2.6,12
"Arhgap26",0.480112930547713,0.4735,0,0.0257262205942064,0.039292514254218,7.6,15
"Arid1b",0.703296703296703,0.6889,1e-04,0.0421652928688728,0.0643424573083918,3,13
"Arih1",0.704212454212454,0.7098,0,0.0384756291768492,0.0587651109627744,2.53333333333333,13
"Asap1",0.326190476190476,0.3517,0.2644,0.143468685105634,0.065772505051338,3.2,14
"Atp2a2",0.548273950048247,0.5126,0.1035,0.0775075018915913,0.0583497912224238,11.7333333333333,14
"Atxn1",0.61007326007326,0.5954,0.2148,0.124620397140086,0.0657528865652919,3.46666666666667,13
"Cacna1c",0.628950125777447,0.5351,0.3072,0.170221706119434,0.0818092858130816,21.0666666666667,14
"Cacna2d1",0.633189033189033,0.6796,0.0472,0.0596025415203739,0.063656948415451,4,11
"Cacnb2",0.541136674330454,0.5203,0.0484,0.053671610058566,0.0539024390961165,9.86666666666667,11
"Camk1d",0.606410256410256,0.6889,1e-04,0.0421652928688728,0.0643424573083918,3,13
"Camk2d",0.74047619047619,0.7097,0.2553,0.13931476186325,0.0647060796191374,3.73333333333333,14
"Cd36",0.576281028912608,0.5898,0.0152,0.0328530471817191,0.0413615540622123,7.86666666666667,13
"Cdh13",0.410897435897436,0.3868,0.0267,0.0487580852413614,0.0589838488586393,4.73333333333333,12
"Cdh2",0.464218833879959,0.4872,0,0.0267166544814653,0.0408052369446913,7.8,11
"Celf2",0.601597305588902,0.5918,0,0.025525285164586,0.038985618874711,6.53333333333333,14
"Chchd3",0.419444444444444,0.4238,1e-04,0.0418621536011442,0.0638794626001476,3.93333333333333,12
"Ckmt2",0.377289377289377,0.4042,0.4031,0.194547954738126,0.0633415762033637,4.13333333333333,10
"Clic4",0.272222222222222,0.254,0.1845,0.11323565630527,0.0659385923969158,3.26666666666667,12
"Clip1",0.698232323232323,0.6546,1e-04,0.0425959385730745,0.0650001968472758,3.66666666666667,11
"Cpeb3",0.585010822510822,0.5957,0.0466,0.0591682079026825,0.0633415762033637,4.13333333333333,12
"D830005E20Rik",0.37661763760835,0.401,0.0783,0.0589122407306273,0.0445646290092448,8.26666666666667,13
"Dip2c",0.428896103896104,0.5029,0.3775,0.184774024282735,0.063261526421164,4.2,14
"Dst",0.470851370851371,0.4891,0.0237,0.0440327253034636,0.05350664911349,5.13333333333333,12
"Ecpas",0.465,0.452,0,0.0338331923200872,0.0516745624035465,2.06666666666667,10
"Esrrg",0.433088235294118,0.4933,4e-04,0.0351846240376408,0.05350664911349,5.13333333333333,12
"Ext1",0.590994498079518,0.5614,0.2281,0.113258441748225,0.0406853933634556,6.26666666666667,13
"Fbxl17",0.588461538461538,0.5868,0.1605,0.10168690444791,0.0622197987267748,2.8,13
"Fhl2",0.720720585752143,0.6731,0.1756,0.121670028000513,0.0839826894327837,25.5333333333333,14
"Fhod3",0.580911778280199,0.597,0.2552,0.132644891011644,0.0545769635384503,10.0666666666667,12
"Gnaq",0.543981481481482,0.6154,0,0.0390770936318638,0.0596837476737333,2.6,12
"Gpcpd1",0.541363035113035,0.5501,0.0023,0.0294488629465787,0.0436442300070745,5.93333333333333,12
"Grm1",0.993006993006993,0.9874,1e-04,0.0332604669047677,0.0507418197858819,5.33333333333333,11
"Lama2",0.293309614362246,0.3413,0.0084,0.0283197029556552,0.0383816263142708,6.66666666666667,11
"Limch1",0.378647119597346,0.3997,0.0391,0.0422894433811573,0.0419120765241543,7.93333333333333,13
"Lims1",0.573809523809524,0.5009,0.0484,0.0585907330753345,0.0614155796503943,2.73333333333333,14
"Lmo7",0.516002284752285,0.4624,0,0.0269800010866547,0.0412074549930173,6.2,12
"Lmod2",0.416666666666667,0.4058,0.1148,0.0867673018748903,0.0659385923969158,3.26666666666667,11
"Lncpint",0.470642135642136,0.4422,0.2933,0.140890400199011,0.0450726045706223,8.33333333333333,15
"Lpl",0.4375,0.4416,3.2104,1.25935022674622,0.0614155796503943,2.73333333333333,12
"Luc7l2",0.448809523809524,0.4608,0.1466,0.0953264412687045,0.0605672512977347,4.6,14
"Malat1",0.482365626342286,0.4796,0.0109,0.0112365559701674,0.0108399664851023,228.866666666667,15
"Man1a",0.295770202020202,0.3175,0.5779,0.259666682442423,0.0614155796503943,2.73333333333333,12
"Mast2",0.493027210884354,0.484,0.0825,0.0728011192950875,0.0633415762033637,4.13333333333333,14
"Mbnl2",0.559047619047619,0.5387,0.0506,0.0444637612406669,0.0385629846682452,7.46666666666667,15
"Mhrt",0.564935064935065,0.5666,0.0036,0.0418855370018905,0.061885176847554,4.46666666666667,11
"Mir99ahg",0.499761456492226,0.5254,0.0268,0.045209940493337,0.05350664911349,5.13333333333333,13
"Mitf",0.68452380952381,0.6444,2e-04,0.0422032675524171,0.0643424573083918,3,14
"Mlip",0.599054965502334,0.6054,0.0824,0.0573206649197501,0.039755762220765,6.4,12
"Msi2",0.513789682539682,0.4998,0.0014,0.0432747107975541,0.0652829082914643,3.6,12
"Mycbp2",0.55952380952381,0.5517,0,0.0322290593492726,0.0492245166461224,1.93333333333333,14
"Myh6",0.657131571622624,0.6609,0.0614,0.0777855528603328,0.0831924677353482,23.1333333333333,13
"Myocd",0.3843789928252,0.4342,0.2678,0.136650120771969,0.0533862844590541,9.73333333333333,12
"Myom1",0.534474616292798,0.547,0,0.0246320058277373,0.0376212835675641,7.06666666666667,11
"Myzap",0.374206349206349,0.4388,0.0724,0.0688175506603506,0.0631153390419087,4.26666666666667,12
"Neat1",0.518768361121302,0.5327,0.0572,0.0632509093717683,0.0634292222471475,13.3333333333333,15
"Nfia",0.477777777777778,0.4418,0.4131,0.195950511353383,0.0596837476737333,2.6,10
"Ogdh",0.252713952713953,0.2965,1e-04,0.0413618544578189,0.0631153390419087,4.26666666666667,11
"Palld",0.563153962051021,0.554,0.4011,0.176996171207464,0.0376941521575331,6.93333333333333,12
"Pbx1",0.58400638032991,0.5309,0.0595,0.0622504919016159,0.0605672512977347,4.6,12
"Pcdh7",0.56872382003961,0.6055,0.1424,0.0910935332011126,0.0565381897091659,11,14
"Pde4b",0.46247856718445,0.4498,0.3373,0.154409725011167,0.0402011200003895,6.33333333333333,15
"Pde7b",0.392023918110875,0.3505,0.1016,0.0723995401647317,0.0516502310116002,5.26666666666667,13
"Pdlim5",0.669562622913391,0.6249,0.1666,0.100783572648776,0.0573021099588974,11.3333333333333,14
"Pid1",0.465544871794872,0.4795,0.2039,0.119988343636366,0.0650001968472758,3.66666666666667,12
"Ptprc",0.319444444444444,0.3113,1.2261,0.493852598664612,0.0431395356937504,1.66666666666667,12
"Ptprm",0.367905384375973,0.4822,0.1833,0.102247444867289,0.049851930793972,5.4,15
"Qki",0.508843537414966,0.4905,0.1909,0.106310932569795,0.0516502310116002,5.26666666666667,14
"Rbm20",0.54772651378542,0.5534,0,0.0502855617310829,0.0768028146172739,17.6,14
"Rora",0.608843537414966,0.6553,0.0985,0.0736663020755175,0.0553829987033403,5,14
"Ryr2",0.544319215571483,0.4883,0.1245,0.0914465799586374,0.0674594097901589,57.5333333333333,15
