"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.6341,0.63,25,1.047,0.438582614810611,0.784271308944562,-1.38926468475976,0.095535856289304,0.362622166596553
"2210408F21Rik",0.5572,0.561865785275149,49,0.1328,0.095413485821314,0.377069649079824,-0.930807955104783,0.172438416860736,0.494407508174234
"4632427E13Rik",0.4934,0.525740025740026,37,0.0694,0.069095100435248,-0.0848888975865134,-0.00363805826843588,0.932022767874026,1
"4732440D04Rik",0.2883,0.272788065843621,54,0.1575,0.103762581048772,-1.2461605872694,-10.5905878987049,4.1784845172601e-06,0.000146366343376025
"5031425E22Rik",0.5469,0.547404761904762,50,0.163,0.107475158334394,0.237039197300849,-0.438178335057131,0.34920150358158,0.677309465239378
"5330438D12Rik",0.6091,0.626436781609195,29,0.0053,0.0444644742134986,0.637429920615292,-1.11882355980259,0.134685787563491,0.43799675212955
"5430431A17Rik",0.5071,0.533333333333333,25,0.3754,0.188123732372649,-0.137503523749936,0.00623467672612321,1,1
"9330159M07Rik",0.0606,0.0752688172043011,31,0.4978,0.23151565347187,-4.41503749927884,-25.0909163324656,1.40139244742685e-12,1.90900793393925e-10
"9530026P05Rik",0.7351,0.750630110630111,45,0.2399,0.135186832110824,1.33628338786443,-11.4562212735191,1.69550769306161e-06,6.99057702865179e-05
"Aak1",0.4537,0.474247129681912,46,0.0465,0.064370846016893,-0.234465253637023,-0.411659540660523,0.364211528287887,0.691075168386834
"Abca1",0.4655,0.468693009118541,47,0.5663,0.261763251080184,-0.234465253637023,-0.201344293028569,0.525704015471386,0.801633237522287
"Abca9",0.4305,0.460752688172043,31,0.0218,0.0485301971960972,-0.415037499278844,-0.462596306555071,0.336115245178772,0.675267204132325
"Abcc5",0.5229,0.527472527472527,35,0.2703,0.145909014188025,0.0824621601919733,-0.0510793418106132,0.749254348514988,0.920460410803874
"Abcd3",0.652,0.634391534391534,45,1e-04,0.0471543837007898,0.906890595608518,-3.73928486782834,0.00624376498634163,0.0622346005955678
"Abhd18",0.4648,0.473983739837398,41,0.2022,0.121270402268901,-0.347923303420307,-0.189696755918412,0.537927997366673,0.81019622207806
"Abi1",0.573,0.552083333333333,32,0.2274,0.126986321719887,0.443606651475615,-0.59591357555044,0.274961307875813,0.631795832619869
"Ablim1",0.4478,0.457401717462499,62,0.0865,0.0811398085388588,-0.301032870576013,-1.66533880801401,0.0679988540264212,0.306494834692619
"Abra",0.2717,0.273548454469507,40,0.7434,0.326391345433707,-0.825321468587054,-7.18320068390276,0.000150463264780979,0.00307446604369135
"Abtb2",0.4724,0.480492424242424,44,0.044,0.063686997841693,-0.160464672193246,-0.124866441197632,0.617263225978709,0.844782593343325
"Acacb",0.5009,0.517268324895443,59,0.1301,0.0951769491093123,-0.0294437778924816,0.00036340612813035,1,1
"Acadl",0.4644,0.497311827956989,31,0.3959,0.193861370660217,-0.367731784500487,-0.208830146713069,0.518106827114383,0.801633237522287
"Acadm",0.4975,0.513477975016437,39,0.0466,0.0621817946739648,0.0384741478146359,-0.000783850396189223,0.968416650348851,1
"Acat1",0.4923,0.547619047619048,35,1e-04,0.0419965013116585,-0.0443941193584541,4.49343355377607e-05,1,1
"Aco2",0.5022,0.500987841945289,47,0.0494,0.0646512423138983,0.0242475462466763,-0.00185050493927008,0.951489878576256,1
"Acot13",0.4767,0.482608695652174,23,0.1406,0.0980351230903523,-0.0671141958585366,-0.0299978762889417,0.806502653855608,0.952574425459514
"Acox1",0.5255,0.5,45,0.3375,0.174791633200297,0.166009951438929,-0.117871670723702,0.627297545066923,0.846058075084761
"Acsl1",0.4101,0.456043956043956,39,0.2949,0.157325756674486,-0.70781924850669,-1.28051457644217,0.109527262358667,0.390400496052243
"Acss1",0.565,0.51357370699476,55,0.0101,0.0480701565524753,0.37851162325373,-1.14637354919806,0.129979688251012,0.429714365602848
"Actc1",0.3409,0.378637566137566,48,0.05,0.0641887884359045,-0.882643049361842,-6.85196615715482,0.000214005924097933,0.00391598899916516
"Actn2",0.4917,0.490603300631312,63,0.0839,0.080296674080851,-0.0495394608013151,-0.0280608970093965,0.812734068673007,0.9544175940547
"Acyp2",0.4195,0.428588908538783,63,0.0299,0.0597933867342193,-0.453717967442903,-3.80767718745793,0.00578733848660761,0.0581580080703355
"Adam19",0.245,0.247916666666667,40,1.0156,0.429924617254235,-1.53343220008107,-7.57113809351962,9.97053638506877e-05,0.00226368103853598
"Adamtsl5",0.4746,0.443019943019943,39,0.3273,0.167294356285618,-0.0418201756946269,-0.030785522769996,0.804029851209902,0.950569525152691
"Adcy6",0.4267,0.431862745098039,34,0.1249,0.0888939587644402,-0.415037499278844,-0.581169085131307,0.280981151819116,0.633591584648106
"Adgre1",0.5428,0.575396825396825,21,0,0.0562370198704406,0.247927513443586,-0.149672889211928,0.584292849865168,0.831983754800415
"Adk",0.4838,0.472526203178152,67,0.0465,0.0660893995869028,-0.0878178787914177,-0.152737465954814,0.580470314354662,0.831069799293667
"Adprhl1",0.5459,0.596627647714604,46,0.0195,0.0545991649151156,0.247927513443585,-0.487598223167858,0.32338761055114,0.666341530312098
"Adra1a",0.3441,0.350523756079312,54,0.5023,0.235127442918382,-0.908576972236405,-5.27508945207644,0.00116176841894135,0.0171605792966517
"Aff1",0.5104,0.504710144927536,46,0.1277,0.0957867496954615,0.0840642647884748,-0.0256081476817798,0.82096018507083,0.957642207143667
"Afg1l",0.4793,0.481481481481481,36,0,0.0444855921423192,-0.115477217419936,-0.064801937240226,0.718843109405405,0.902973004232609
"Aftph",0.4865,0.486111111111111,36,0.4319,0.204825060663779,-0.0962153152593028,-0.0171816203414892,0.852936290594347,0.965558533950756
"Agap1",0.3572,0.341421568627451,34,1e-04,0.0402896908669833,-0.84799690655495,-2.17283558784067,0.0371031401581812,0.213999407062837
"Agl",0.4503,0.42918271287976,41,0.1824,0.114604237687144,-0.404390255079335,-0.303657919274094,0.43580023798016,0.753584050442421
"Ago3",0.3588,0.342857142857143,35,0.5216,0.240292198108446,-0.62148837674627,-1.79736478928071,0.0579630582317875,0.279774446425872
"Agtpbp1",0.5743,0.562629051620648,35,0.5239,0.246277124761957,0.514573172829757,-0.795360529795076,0.207223144773118,0.545919807115517
"Aig1",0.287,0.373029163818638,38,0,0.0463134270695936,-1.31315788525963,-8.05479186149142,5.9780747517189e-05,0.0015268999261682
"Airn",0.2909,0.28912647342786,65,1.343,0.558456401413781,-0.492516251956561,-10.1072817404923,6.92239219611398e-06,0.00022333823243252
"Akap13",0.5965,0.628559738134206,47,1e-04,0.0472864713876158,0.561878887608114,-1.75160511624194,0.0612499928284483,0.285812533435067
"Akap6",0.4402,0.437533989969182,67,0.189,0.120211591760507,-0.405256478486258,-1.63148643132149,0.0708605520255275,0.314764626026437
"Alcam",0.4264,0.37962962962963,27,0.5946,0.272158866567558,0.0339473319233368,-0.237573901391791,0.490628422319018,0.798382248781529
"Alpk2",0.4094,0.41446608946609,55,0.1753,0.110484806548166,-0.53605290024021,-1.86307926640094,0.0535664553447737,0.269579414652544
"Alpk3",0.4358,0.452325581395349,43,0.0968,0.084131090262465,-0.381090167355506,-0.687939702614337,0.240804283393863,0.58759173191689
"Ambra1",0.4224,0.40650406504065,41,0.1611,0.104180432234986,-0.463947099759791,-0.741043015350876,0.223448428462819,0.56600779606491
"Amd1",0.5744,0.603741496598639,28,1.4659,0.59714641311591,-0.0995356735509139,-0.184590614250808,0.543450907320219,0.811051275261431
"Angpt1",0.4666,0.456671449067432,41,0.8292,0.35987154707606,0,-0.10605814997384,0.645113702562415,0.859684129719044
"Ank",0.4288,0.430201863354037,60,0.1933,0.12098871450083,-0.382469636822413,-1.66629017584367,0.0679202388856666,0.306494834692619
"Ank2",0.4338,0.410460391444771,66,0.0551,0.0692834887930015,-0.30732368197859,-3.01357240484884,0.0140875025607374,0.110873282778408
"Ank3",0.5571,0.588333333333333,50,0.1704,0.108636441011074,0.245756414401959,-0.647783483135321,0.255024558698228,0.604758431265043
"Ankhd1",0.4758,0.470555555555556,45,1e-04,0.0473310534929298,-0.14017765804826,-0.0811596358965261,0.687030134520918,0.882980444687314
"Ankrd1",0.4659,0.459798534798535,26,0.6648,0.299822781843418,0,-0.0530945968792622,0.74452510952711,0.918996326547572
"Ankrd11",0.4631,0.477201257861635,53,0.1464,0.100015538855998,-0.278716028066064,-0.317400462796819,0.425599751977704,0.750770209963547
"Ankrd17",0.5574,0.615716374269006,60,0.05,0.0643994784863891,0.294183104404457,-1.0837504230235,0.140955141580724,0.448859749553162
"Ankrd33b",0.4328,0.392156862745098,34,0.3299,0.165910372352799,-0.146841388329271,-0.277554479668048,0.456237657495114,0.773647812017993
"Ankrd44",0.5453,0.535632183908046,29,0.1754,0.10708312197667,0.299560281858908,-0.223989239566901,0.503296508914911,0.798382248781529
"Anks1",0.3676,0.325396825396825,42,0.0693,0.0720320410007497,-0.765534746362977,-2.56342880826789,0.0235583417537426,0.154452015989778
