"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5659,0.561904761904762,35,0.3744,0.186903897870154,0.47916783669856,-0.608641331100962,0.269894590589977,0.603572035599557
"2210408F21Rik",0.4489,0.447503914525191,47,0.0301,0.0558736446877611,-0.305808429524085,-0.697017984707337,0.237724701770263,0.577476921776286
"4632427E13Rik",0.5085,0.53234126984127,36,0.2132,0.125525511201972,-0.115477217419936,0.00792075928752212,1,1
"4732440D04Rik",0.3381,0.359365079365079,45,0.0667,0.0701296600027428,-1.01559685505102,-6.08913792739782,0.00048349313576495,0.00992024308917728
"5031425E22Rik",0.4939,0.481552981552982,37,1e-04,0.0448276329564285,-0.0356239097307217,-0.00956574291890178,0.88999019527122,0.981380743154158
"9330159M07Rik",0.0764,0.0499188311688312,28,0.0504,0.0635530893125628,-3.4594316186373,-25.7702673383307,7.01340074492674e-13,1.34306624265347e-10
"9530026P05Rik",0.6485,0.646587301587302,30,0.1034,0.0841108898401908,0.912537158749661,-3.4965543677583,0.00818241174932055,0.0790049672266329
"Aak1",0.495,0.481688681688682,39,0,0.0448535183498954,-0.028569152196771,-0.00344636550856592,0.933833670456961,0.99722923374563
"Abca1",0.4389,0.435544217687075,42,0.1253,0.0924741950570845,-0.352301743930882,-0.673826740353604,0.245688757712567,0.582054397137608
"Abca9",0.5483,0.526666666666667,30,2e-04,0.0439205155143813,0.280107919192735,-0.239107991676402,0.489231516009467,0.792376482235703
"Abcc5",0.5066,0.507575757575758,33,0.4315,0.207620697098365,-0.0962153152593027,0.00216557382637461,1,1
"Abcd3",0.5551,0.58709106984969,29,0.1578,0.103880423693957,0.362570079384708,-0.306534978457627,0.433634253071036,0.760100142152032
"Abhd18",0.3697,0.348015873015873,35,0.7056,0.312512852974124,-0.665580960929441,-1.81554331769635,0.0567097786498653,0.272634040454792
"Abi1",0.5128,0.5015625,32,0.22,0.127483798211311,0.0506260730699681,-0.0116561756023081,0.87864761493817,0.979138450753666
"Abl2",0.5135,0.541666666666667,28,0.3222,0.17640099163362,0,-0.00329287712321502,0.935320547022316,0.997848940138014
"Ablim1",0.4286,0.418042821272575,56,0.0817,0.0666678030803254,-0.390070583762269,-3.72580927834041,0.00633794308868102,0.0674286723045787
"Abra",0.3429,0.347619047619048,35,0.4268,0.206972449381239,-1.04890960048095,-3.32976148475102,0.00986273138965948,0.0888505529523285
"Abtb2",0.6105,0.554861111111111,40,0.1879,0.116218526231153,0.834940753729503,-2.3052465305145,0.0317768953648886,0.193855418238619
"Acacb",0.5236,0.517679837892604,47,0.0319,0.0565409330807999,0.178337241258513,-0.10341724517118,0.649259893086995,0.879160186878491
"Acadl",0.4819,0.508641975308642,27,0.0257,0.0550621519588632,-0.111031312388744,-0.0306976409185786,0.804304078310652,0.963335586993348
"Acadm",0.4898,0.501234567901235,27,0,0.0469126675783569,-0.0588936890535687,-0.00439989844792876,0.925262286206468,0.995436673081677
"Acat1",0.604,0.586290322580645,31,0.0184,0.0508191018262428,0.605721060887953,-1.13877589850937,0.131258924452337,0.443577953516869
"Aco2",0.4301,0.46030701754386,38,0.2557,0.141956170694289,-0.559427408614019,-0.902378260270247,0.179138516787044,0.514575389470785
"Acsl1",0.4617,0.445833333333333,40,1e-04,0.0447282944725179,-0.222392421336448,-0.241351528863419,0.487200486998645,0.792372152496769
"Acss1",0.5335,0.560260770975057,42,0.4954,0.232983387884152,-0.0848888975865132,-0.0450958787716544,0.763933517045274,0.943557201037332
"Actc1",0.3284,0.334038054968288,43,1e-04,0.0448767994834608,-1.03170885972734,-7.20324857385834,0.000147293240796274,0.00367912899293302
