"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1700025G04Rik",0.561904761904762,0.5659,0.3744,0.186903897870154,0.0683125533470158,1.41071428571429,35
"2210408F21Rik",0.447503914525191,0.4489,0.0301,0.0558736446877611,0.0678796799864405,2.875,47
"4632427E13Rik",0.53234126984127,0.5085,0.2132,0.125525511201972,0.0680632974424787,1.33928571428571,36
"4732440D04Rik",0.359365079365079,0.3381,0.0667,0.0701296600027428,0.0684253673775226,2.48214285714286,45
"5031425E22Rik",0.481552981552982,0.4939,1e-04,0.0448276329564285,0.0684087380687851,1.44642857142857,37
"9330159M07Rik",0.0499188311688312,0.0764,0.0504,0.0635530893125628,0.0678347517433876,1.28571428571429,28
"9530026P05Rik",0.646587301587302,0.6485,0.1034,0.0841108898401908,0.0684933657492514,1.75,30
"Aak1",0.481688681688682,0.495,0,0.0448535183498954,0.0685062736930736,1.80357142857143,39
"Abca1",0.435544217687075,0.4389,0.1253,0.0924741950570845,0.0685649205838537,1.91071428571429,42
"Abca9",0.526666666666667,0.5483,2e-04,0.0439205155143813,0.0669652673622983,1.10714285714286,30
"Abcc5",0.507575757575758,0.5066,0.4315,0.207620697098365,0.0668360113682367,1.07142857142857,33
"Abcd3",0.58709106984969,0.5551,0.1578,0.103880423693957,0.06713603378857,1.14285714285714,29
"Abhd18",0.348015873015873,0.3697,0.7056,0.312512852974124,0.0680632974424787,1.33928571428571,35
"Abi1",0.5015625,0.5128,0.22,0.127483798211311,0.0671102544680757,1.01785714285714,32
"Abl2",0.541666666666667,0.5135,0.3222,0.17640099163362,0.082547114555082,0.75,28
"Ablim1",0.418042821272575,0.4286,0.0817,0.0666678030803254,0.0544379579046836,12.625,56
"Abra",0.347619047619048,0.3429,0.4268,0.206972449381239,0.0685719210216124,1.58928571428571,35
"Abtb2",0.554861111111111,0.6105,0.1879,0.116218526231153,0.0685224290637145,1.83928571428571,40
"Acacb",0.517679837892604,0.5236,0.0319,0.0565409330807999,0.067854851792075,2.89285714285714,47
"Acadl",0.508641975308642,0.4819,0.0257,0.0550621519588632,0.0691922600918371,0.928571428571429,27
"Acadm",0.501234567901235,0.4898,0,0.0469126675783569,0.0716512809480104,0.875,27
"Acat1",0.586290322580645,0.604,0.0184,0.0508191018262428,0.0669457081892815,1.03571428571429,31
"Aco2",0.46030701754386,0.4301,0.2557,0.141956170694289,0.0685083913737442,1.67857142857143,38
"Acsl1",0.445833333333333,0.4617,1e-04,0.0447282944725179,0.0682570150910257,1.39285714285714,40
"Acss1",0.560260770975057,0.5335,0.4954,0.232983387884152,0.068511294428394,2.42857142857143,42
"Actc1",0.334038054968288,0.3284,1e-04,0.0448767994834608,0.0684838317444057,2.44642857142857,43
"Actc1dt",0.338709677419355,0.3131,0.0193,0.054940065327406,0.0727177931100581,0.857142857142857,31
"Actn2",0.535095364238847,0.5256,0.0467,0.0554796438389597,0.0576499093567045,8.33928571428571,55
