"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"1600010M07Rik",0.571969696969697,0.575,0.4628,0.22733634114434,0.0787943717077891,0.508474576271186,44
"1700025G04Rik",0.521823498139288,0.52,0.1042,0.0799280614021426,0.0616407924482058,1.1864406779661,57
"2210408F21Rik",0.516376713564214,0.5109,2e-04,0.0366799268319442,0.0559064749146561,1.90677966101695,80
"2610035D17Rik",0.85632183908046,0.8413,0.5087,0.255833987206551,0.095697776460139,0.406779661016949,29
"2610037D02Rik",0.377186147186147,0.414,0.079,0.0796932875162057,0.0758982144664182,0.847457627118644,55
"2610203C22Rik",0.631410256410256,0.6129,1.6376,0.700632765243963,0.120291776782613,0.338983050847458,26
"2610307P16Rik",0.545963995354239,0.4954,0.0737,0.0741655741489306,0.0705295535834666,0.991525423728814,41
"4632427E13Rik",0.483641975308642,0.4786,0.0527,0.0696359221742291,0.0757912651341059,0.85593220338983,54
"4732440D04Rik",0.327857142857143,0.3256,0.0673,0.0622677518802206,0.0560696130383903,1.76271186440678,70
"4732471J01Rik",0.567708333333333,0.5442,0.2384,0.138579930774767,0.0733857476033267,0.677966101694915,48
"4833420G17Rik",0.734848484848485,0.7109,0.4154,0.221905734521272,0.0979920251921567,0.398305084745763,33
"4930523C07Rik",0.397058823529412,0.4024,0.289,0.167482736833724,0.0881819667240411,0.440677966101695,34
"4933406I18Rik",0.415555555555556,0.3954,0.0132,0.0527237329329442,0.07287071476625,0.64406779661017,45
"5031425E22Rik",0.604379108545775,0.6197,1e-04,0.036895795980195,0.0562941790604178,1.6271186440678,72
"5033421B08Rik",0.383333333333333,0.3809,0.9842,0.441306434960234,0.103186028329264,0.38135593220339,30
"5430405H02Rik",0.572222222222222,0.556,2.2311,0.914812764074158,0.103186028329264,0.38135593220339,30
"6820431F20Rik",0.736742424242424,0.7299,1e-04,0.05019348221675,0.0766041785057162,0.533898305084746,44
"9330159M07Rik",0.186480186480186,0.1751,2.2629,0.907390169476412,0.073405252180306,0.593220338983051,33
"9530026P05Rik",0.478468122786305,0.511,0.2061,0.114164101868819,0.0548286382543101,2.90677966101695,88
"9630014M24Rik",0.403508771929825,0.3719,0.6627,0.347817884839884,0.14686784944545,0.296610169491525,19
"AU040320",0.550813008130081,0.548,1.3145,0.551949860046683,0.0806014195779677,0.491525423728814,41
"AW554918",0.476900584795322,0.5512,0.0204,0.056249736837618,0.0740800980633219,0.915254237288136,57
"Aak1",0.544340924775707,0.5494,0.3781,0.183744093122834,0.0613404782296082,1.19491525423729,69
"Abca1",0.495392165704666,0.4757,0.0399,0.051077494177708,0.0548703594407527,2.8728813559322,96
"Abca6",0.57521645021645,0.6011,0.0578,0.068403739006988,0.0709513107100063,0.983050847457627,55
"Abca8a",0.664317849503035,0.689,0.0064,0.0382201813710192,0.0546629570140033,3.02542372881356,81
"Abca8b",0.565948601662887,0.5609,0.4342,0.203710199333323,0.0592973777817616,1.26271186440678,63
"Abca9",0.521497244388811,0.5216,0.1616,0.0976531956423605,0.0554209808110986,2.26271186440678,83
"Abcc1",0.397321428571429,0.4026,0.1325,0.0990290427189214,0.0744003579126993,0.720338983050847,56
"Abcc4",0.623809523809524,0.6455,0.0182,0.0627207182831176,0.085239443724415,0.457627118644068,35
"Abcc5",0.423924731182796,0.4308,0.1317,0.0972775667420956,0.0721892702707607,0.957627118644068,62
"Abcc9",0.272435897435897,0.3121,0,0.0626567720166777,0.095697776460139,0.406779661016949,26
"Abcd3",0.604824561403509,0.6019,0.2559,0.145238270742234,0.073405252180306,0.593220338983051,38
"Abce1",0.522988505747126,0.519,0.4952,0.261785177189886,0.112617227294685,0.35593220338983,29
"Abhd18",0.394678492239468,0.4289,0.327,0.172475863768785,0.0737681359295242,0.694915254237288,41
"Abi1",0.558798101540037,0.596,0.3195,0.157467023284464,0.0551946335631384,2.52542372881356,93
"Abi2",0.630208333333333,0.6047,2e-04,0.0715910137321738,0.109227341640274,0.364406779661017,32
"Abi3bp",0.510964912280702,0.5198,0.0626,0.0725437856089266,0.0744905418867005,0.567796610169492,38
"Abl2",0.585069444444444,0.56,0.4091,0.203251130212636,0.0731542262114319,0.601694915254237,48
"Ablim1",0.445770526286157,0.4292,0.0168,0.0390733756986447,0.0499340691503966,5.83050847457627,91
"Ablim3",0.456018518518518,0.4616,0.1443,0.105389358706928,0.0772706805317154,0.525423728813559,36
"Abr",0.675438596491228,0.6944,0.0831,0.0882910260538201,0.0866518271262013,0.449152542372881,38
"Abra",0.422082228116711,0.3941,0.4312,0.212863198547408,0.0750170585814073,0.745762711864407,29
"Abtb2",0.511446886446886,0.5186,0.594,0.274985951341667,0.0754752096825056,0.872881355932203,52
"Acaca",0.401709401709402,0.417,0.0807,0.0804029927212862,0.0759961708829777,0.542372881355932,39
"Acacb",0.457397959183673,0.4587,1e-04,0.0419391604531687,0.0639970777321397,1.1271186440678,42
"Acadl",0.507057823129252,0.4744,0,0.0478439545647252,0.0730736666051903,0.661016949152542,42
"Acadm",0.651550387596899,0.6406,0.1023,0.086786960466658,0.073218617619409,0.669491525423729,43
"Acadsb",0.337301587301587,0.3176,0.0126,0.054940317659788,0.0766041785057162,0.533898305084746,42
"Acap2",0.519312169312169,0.549,0,0.0496256911928283,0.0757949723485131,0.788135593220339,63
"Acat1",0.520175438596491,0.5168,0,0.0515895057013024,0.0787943717077891,0.508474576271186,38
"Acbd3",0.472222222222222,0.5,1e-04,0.0542062854218643,0.082733066600994,0.474576271186441,42
"Acer2",0.576041666666667,0.554,0.0833,0.0793133314926808,0.0728238949664878,0.635593220338983,32
"Acer3",0.565128205128205,0.5668,3e-04,0.0435360655677462,0.0663200841438043,1.07627118644068,65
"Acin1",0.510416666666667,0.5,2e-04,0.0491433891010953,0.074942336287073,0.559322033898305,48
"Ackr3",0.537581699346405,0.5483,0.1449,0.101479688374077,0.0709513107100063,0.983050847457627,51
"Aco2",0.523333333333333,0.5324,0.0483,0.0642421477977553,0.0701051737364383,1,50
"Acot13",0.639655172413793,0.6165,0.5188,0.259669430244526,0.095697776460139,0.406779661016949,29
"Acox1",0.550952380952381,0.5352,0.1722,0.114631581289,0.075204635155399,0.754237288135593,50
"Acsl1",0.45,0.453,1.0125,0.432204745591172,0.07287071476625,0.64406779661017,36
"Acss1",0.555603330603331,0.5638,0.045,0.0655915089895168,0.0740800980633219,0.915254237288136,37
"Acss3",0.409090909090909,0.4061,2e-04,0.0498333724681216,0.0759961708829777,0.542372881355932,33
"Actc1",0.487207105064248,0.4815,1e-04,0.0376394388924353,0.0574299696683796,1.3728813559322,42
"Actn2",0.521372321822502,0.5161,0.2017,0.112527123751439,0.054880427009697,2.86440677966102,49
"Actr1a",0.452380952380952,0.4408,0.5497,0.270019981110696,0.0935845178164023,0.415254237288136,35
"Actr2",0.444945697577277,0.424,1e-04,0.0473028831977918,0.0721892702707607,0.957627118644068,57
"Actr3",0.489914021164021,0.5,2e-04,0.0412817845203676,0.0629350455574414,1.15254237288136,72
"Acvr1",0.53731884057971,0.5846,1e-04,0.0478048264939648,0.0729559049984488,0.652542372881356,46
"Acvr2a",0.537172011661808,0.5587,0.2153,0.130029284702597,0.0737240608357662,0.584745762711864,49
"Acyp2",0.382567855077254,0.419,0.1484,0.0909081168159443,0.0527749970835522,4.03389830508475,84
"Adam10",0.411944444444444,0.4244,0.4134,0.204252250286399,0.0721892702707607,0.957627118644068,60
"Adam17",0.285606060606061,0.2861,1e-04,0.0480990302359053,0.073405252180306,0.593220338983051,44
"Adam19",0.466944444444444,0.4644,0.2987,0.157938257488724,0.0679783652711107,1.04237288135593,60
"Adam22",0.433333333333333,0.4537,0.7167,0.321921980063058,0.0759961708829777,0.542372881355932,45
"Adam9",0.470555555555556,0.468,0.0028,0.0507520214356175,0.0758912540726664,0.796610169491525,60
"Adamts1",0.63768115942029,0.6524,0.9252,0.430101119674343,0.120291776782613,0.338983050847458,23
"Adamts10",0.557142857142857,0.6042,0,0.0626567720166777,0.095697776460139,0.406779661016949,35
"Adamts12",0.322222222222222,0.3208,1.225,0.512971920415888,0.0729791131151991,0.610169491525424,48
"Adamts2",0.629385964912281,0.593,0.268,0.152364042251232,0.0772706805317154,0.525423728813559,38
"Adamts5",0.594166666666667,0.5569,0.2719,0.152492340782671,0.075204635155399,0.754237288135593,40
"Adamts6",0.416666666666667,0.3957,0.4453,0.231758037839462,0.095697776460139,0.406779661016949,29
"Adamts9",0.599400352733686,0.5462,0.0551,0.0665455393558756,0.069679220442874,1.00847457627119,45
"Adamtsl3",0.428231292517007,0.4373,0.4599,0.223496722682577,0.0746119944438562,0.728813559322034,49
"Adamtsl5",0.430555555555556,0.3561,1e-04,0.0477492248875248,0.0728709828115462,0.61864406779661,42
"Adap2",0.450680272108844,0.471,0.118,0.0927489857831137,0.073218617619409,0.669491525423729,49
"Adarb1",0.37015503875969,0.4006,0.3818,0.194226517997861,0.075204635155399,0.754237288135593,43
"Adcy6",0.469907407407407,0.4563,2e-04,0.053517962567412,0.0816237681612939,0.483050847457627,36
"Adcy7",0.511458333333333,0.5,2e-04,0.0627327213837663,0.095697776460139,0.406779661016949,32
"Adcy9",0.62546408393866,0.5886,0.1448,0.0992200148449301,0.0675580360064898,1.05084745762712,59
"Adgrd1",0.262285714285714,0.2875,0.0128,0.0531305505253816,0.0737240608357662,0.584745762711864,25
"Adgre1",0.671698113207547,0.6466,0.0941,0.0847205804518897,0.0748185665435195,0.73728813559322,53
"Adgrf5",0.505691056910569,0.5184,0.2549,0.144564320164851,0.0729559049984488,0.652542372881356,41
"Adgrg6",0.445771144278607,0.4783,1e-04,0.0467660355833014,0.0713693250142289,0.974576271186441,67
"Adgrl2",0.586969696969697,0.5992,0.3591,0.185990352553976,0.0757912651341059,0.85593220338983,55
"Adgrl3",0.5,0.4894,1.4975,0.629944031743607,0.0935845178164023,0.415254237288136,30
"Adgrl4",0.466543209876543,0.4806,1e-04,0.0380531729950763,0.0580618795544799,1.32203389830508,45
"Adipor2",0.564285714285714,0.5628,0.3061,0.168396824315382,0.0796600830043597,0.5,35
"Adk",0.40158577748361,0.4411,0.0672,0.0591983364853347,0.0514395925919345,4.82203389830508,95
"Adprhl1",0.459803921568627,0.4199,0.019,0.0551540490742529,0.073218617619409,0.669491525423729,34
"Adra1a",0.408035528157479,0.4403,0.2362,0.127348428526122,0.057507499835563,1.36440677966102,41
"Aebp2",0.452121212121212,0.4947,0,0.0484340339634594,0.0739749145401904,0.703389830508475,55
"Afap1l1",0.642857142857143,0.627,1e-04,0.0488096083937367,0.0744905418867005,0.567796610169492,39
"Aff1",0.389115646258503,0.4226,0.1168,0.0809706534417611,0.0559251780233832,1.88983050847458,84
"Aff4",0.448412698412698,0.4685,0.26,0.15290248795351,0.082733066600994,0.474576271186441,42
"Afg1l",0.422510822510823,0.4239,0.3459,0.181119951902994,0.0760085398731733,0.813559322033898,55
"Afg2a",0.445333333333333,0.4235,0.174,0.114927102429413,0.0746119944438562,0.728813559322034,50
"Afg3l2",0.398648648648649,0.3471,0.02,0.0563665704190532,0.0744905418867005,0.567796610169492,37
"Aftph",0.504292929292929,0.4941,0.1352,0.0921119951047749,0.0622697205233594,1.16949152542373,66
"Agap1",0.316343973486831,0.3696,0.1074,0.0772152256765976,0.0556413880167234,2.10169491525424,91
"Agfg1",0.570892018779343,0.5089,0.0679,0.0679282142895999,0.0643670259583156,1.11864406779661,71
"Agl",0.545516717325228,0.5555,1e-04,0.0493910735958444,0.075378633072053,0.76271186440678,47
"Agmo",0.704092632077707,0.7143,0.3024,0.151669767985938,0.056258292303856,1.64406779661017,67
"Ago2",0.496124031007752,0.5061,0.2995,0.163129590255552,0.0754432608503125,0.550847457627119,43
