"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.6272,0.616966966966967,37,0.2027,0.117990176733882,0.0626443299315492,0.756728848987636,-0.401032568085697,0.370476644147242,1
"2210408F21Rik",0.4096,0.38816491479535,46,0,0.041070363208608,0.0627281347406139,-0.528694281074411,0.031224651093261,1,1
"2610037D02Rik",0.4877,0.495495495495495,37,0.3427,0.174091949077205,0.0671304368905848,-0.146841388329271,-0.326548557343749,0.419007551833114,1
"2610307P16Rik",0.4828,0.53287037037037,18,0.1341,0.094273662207563,0.0662093067450179,-0.131244533278252,-0.415703423026724,0.361866040044006,1
"4632427E13Rik",0.4348,0.380787037037037,36,0,0.0418733902897172,0.0639546247691614,-0.37851162325373,0.101221647876066,1,1
"4732440D04Rik",0.3306,0.332561728395062,36,0.0902,0.0746731617053517,0.0617348089779739,-0.961525852185364,-2.30358397975775,0.0318385725941068,1
"4933406I18Rik",0.3699,0.379861111111111,24,0.6973,0.308904650528332,0.0673663695736063,-1.15200309344505,0.0144531030392194,1,1
"5031425E22Rik",0.543,0.5215625,40,1e-04,0.0408156590281921,0.0622811165557254,0.246160587269398,-0.0239143779406277,0.826885412702625,1
"9330159M07Rik",0.0936,0.075,30,0.0223,0.0496471750577961,0.0628937853716073,-3.28010791919274,0.391031539942709,1,1
"9530026P05Rik",0.5137,0.499848052428519,53,0.2051,0.119501472523718,0.0635605823678921,0.237499313726656,0.0420332106295689,1,1
"AW554918",0.4581,0.436111111111111,30,0,0.0443180082496772,0.0676883712666736,-0.241008099503795,-0.0370082343697362,0.78557613230934,1
"Aak1",0.6086,0.651138716356108,46,0.0876,0.0740738097738632,0.0623273987946138,0.57190634789571,-0.550792515230306,0.293918519368201,1
"Abca1",0.5057,0.516302235179786,49,0.2266,0.126787544721565,0.0622188433047367,0.0424352663203966,-0.0837233171137086,0.682391106313795,1
"Abca8a",0.7192,0.715846321927403,37,0.3988,0.192513401183292,0.0627281347406139,1.59790155642865,0.0808802607060315,1,1
"Abca8b",0.384,0.366666666666667,25,0.4894,0.230209082427393,0.067754005227438,-0.628031222613042,-0.321777174021317,0.422426639369205,1
"Abca9",0.4868,0.484959349593496,41,1e-04,0.0410534678731226,0.0626443299315492,-0.0740005814437769,-0.0216667831737709,0.83509844970311,1
"Abcc1",0.6007,0.60752688172043,31,0,0.0436662650831811,0.066692942203712,0.584962500721156,0.00892876411149857,1,1
"Abcc5",0.5371,0.555555555555556,30,0.7076,0.31328547661357,0.068083351281125,0.169925001442312,-1.06911626728427,0.143667331434196,1
"Abcd3",0.7935,0.807051282051282,26,0.2048,0.121438416981915,0.066692942203712,1.8073549220576,-0.504486545422225,0.315148980393611,1
"Abhd18",0.4163,0.416282642089094,31,0.4085,0.197184613167765,0.0642366325115665,-0.514573172829758,0.634697643855674,1,1
"Abi1",0.6262,0.583917572941963,41,0.1252,0.0881921480280136,0.0620828074214527,0.760329587231716,-0.074073860373673,0.700311784302217,1
"Abi3bp",0.773,0.80448717948718,26,0.5783,0.262606622413747,0.0656738479665964,1.5405683813627,0.0950669168796381,1,1
"Abl2",0.5961,0.540322580645161,31,3e-04,0.0447046831478301,0.0681049527277858,0.561878887608115,-0.168707311651996,0.561325365420376,1
"Ablim1",0.5109,0.521789033469466,56,0.0606,0.0591558590510733,0.0552027153906726,-0.120076451991751,-0.258321952589782,0.472276818198029,1
"Ablim3",0.5205,0.47452380952381,20,0.2955,0.155564801448069,0.0662093067450179,0.395928676331139,-0.57277035697318,0.284484583684017,1
"Abra",0.4023,0.419063314981165,29,0.4136,0.197508256771851,0.0617729441762064,-0.564784618783526,-1.18821663021863,0.123178499309075,1
"Abtb2",0.5407,0.554516806722689,34,0.6184,0.275593513132502,0.0622511590577076,-0.0911478880581955,-0.689732169424552,0.240192410974973,1
