"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.5494,0.551459293394777,31,0.5502,0.253923505684136,0.311944006314741,-0.176288822794596,0.552657601824571,0.841617171508696
"2010001K21Rik",0.4103,0.46031746031746,21,1e-04,0.0760030795592624,-0.523561956057013,-0.638289281545106,0.258536164142008,0.657896319065937
"2210408F21Rik",0.5185,0.549329501915709,29,0.1655,0.113464171628499,-3.88578058618805e-16,-0.00387560269017229,0.929844144878941,0.986910392037577
"2610037D02Rik",0.4717,0.427272727272727,33,3e-04,0.0481572950570698,-0.16349873228288,-0.163535796956101,0.56738854890234,0.849504843387998
"2610307P16Rik",0.4729,0.482954545454545,44,0.3335,0.177842922900422,-0.332575339086871,-0.280709085222455,0.453689403881666,0.794237517563107
"4632427E13Rik",0.6714,0.695402298850575,29,0.3269,0.170897251500761,0.921997487998727,-2.29872822569163,0.0320194273696136,0.218923526666661
"4732440D04Rik",0.3288,0.31359649122807,38,0.1262,0.0969329303353354,-1,-4.66902187059864,0.00224444991191069,0.032188696297646
"5031425E22Rik",0.5664,0.576923076923077,39,0.0391,0.0616245285698369,0.381870635343644,-0.487708790882508,0.323332756021552,0.714735565942377
"9330159M07Rik",0.0985,0.104938271604938,27,1e-04,0.0450712370281711,-3.1963972128035,-21.5275549607792,5.32194360045951e-11,5.21550472845032e-09
"9530026P05Rik",0.607,0.586402917006365,58,0.1938,0.119220196241909,0.613451057680852,-3.93540915714895,0.00502389129818249,0.0593585524150093
"AW554918",0.4158,0.428571428571429,28,1.4524,0.627509408673186,-0.678071905112638,-0.668423795143905,0.247590667995476,0.657896319065937
"Aak1",0.5259,0.46003861003861,37,0.0141,0.0554822742710939,0.155278225477911,-0.0361573995977906,0.787995777678631,0.956363099911705
"Abcc5",0.493,0.467948717948718,26,0.4932,0.246010232704367,0.192645077942395,0.0146159047307144,1,1
"Abcd3",0.5,0.471264367816092,29,2e-04,0.053560969388759,0,-0.0116868033867377,0.878489523359934,0.965238377691412
"Abhd18",0.4483,0.4625,22,0.1412,0.105723929528802,-0.295455883526171,-0.287647614763891,0.44816237225149,0.794237517563107
"Abi1",0.9205,0.919532134532135,55,0.0821,0.0768110559198578,3.62803122261304,-87.4206226709178,6.48447325126782e-40,2.54191351449699e-37
"Abi3bp",0.3468,0.341269841269841,21,0.7333,0.354433459306098,-1,-1.65005069531007,0.0692756070937997,0.348154333086788
"Ablim1",0.475,0.492043576580394,43,0.0441,0.0617593295765517,-0.145540842815353,-0.419126480204241,0.359896903468171,0.751756231755896
"Ablim3",0.3095,0.32183908045977,29,4e-04,0.0661321183129793,-1.15754127698648,-3.17606983880883,0.0117239810468143,0.107714075867606
"Abra",0.3354,0.396081111870586,19,0.1316,0.0959304508585292,-1.09114788805819,-3.11200115580851,0.0126029902238032,0.110948762513201
"Abtb2",0.4288,0.413419913419913,22,0.7171,0.32117613039307,-0.334419039070559,-0.399640280777852,0.371308556861185,0.76205735230149
"Acacb",0.5789,0.643478260869565,23,0,0.050460126781147,0.459431618637296,-0.89099572575957,0.18190497769276,0.57197928814622
"Acadl",0.399,0.321212121212121,22,0.0619,0.080282746729085,-0.506959988719882,-1.01865048760889,0.153481764871477,0.538789717877186
"Acat1",0.4796,0.471428571428571,25,0.131,0.11572705502184,-0.137503523749934,-0.0587766036103083,0.73170353539655,0.919319826523871
"Ackr3",0.5093,0.492753623188406,23,1.373,0.572272415181275,0.231325546106455,-0.00174142023126223,0.952939686684713,1
"Aco2",0.3846,0.384656084656085,27,0.1229,0.0922640234241638,-0.67137725253863,-1.72047222737735,0.0635993269096335,0.33996731111695
"Acsl1",0.4288,0.386274509803922,17,0.462,0.244406352602351,-0.211504105193712,-0.272222745809124,0.460596187456747,0.797733603017871
"Acss1",0.566,0.573968253968254,15,0,0.0480433710064369,0.383328639551506,-0.208962314016954,0.517974435243291,0.822352825566124
"Actc1",0.4638,0.493333333333333,25,0.2051,0.127283249281449,-0.227410496103071,-0.242725337902829,0.48596370281387,0.805395662995846
"Actn2",0.4268,0.381060165424002,26,1e-04,0.0457502482857011,-0.426264754702098,-1.96423315001204,0.0474752230429979,0.281974052012957
"Acyp2",0.4578,0.487987012987013,35,1e-04,0.0457502482857011,-0.244236810379668,-0.623373497105021,0.264174694448652,0.657896319065937
"Adamts9",0.5133,0.486111111111111,30,1.1024,0.463564837799488,0.229481846122768,-0.0107621596328187,0.883359593098401,0.965238377691412
"Adamtsl1",0.5579,0.556851851851852,45,0.412,0.205875376220227,0.532495080827021,-0.597061452763761,0.274499492170864,0.662857089923894
"Adamtsl5",0.4872,0.445,20,1e-04,0.0760030795592624,-0.0740005814437776,-0.0273088595055562,0.81521451742775,0.957184410170325
"Adcy9",0.5343,0.477604166666667,32,0.0657,0.0705232262052439,0.199308808223407,-0.0746354282063706,0.699233129996796,0.899669760258459
"Adgrd1",0.2567,0.30952380952381,28,0.079,0.0788596746968675,-1.58496250072116,-6.12831498105607,0.000463608017248874,0.00993547555772811
"Adgrl3",0.3987,0.434848484848485,22,0.4257,0.207933751622698,-0.736965594166206,-1.0688503338473,0.143717157776168,0.521080654993693
"Adk",0.3975,0.339171681116169,58,0.0401,0.0602310057283324,-0.588143747965836,-6.13875450170357,0.000458449887685243,0.00993547555772811
"Adra1a",0.1273,0.126754385964912,19,1e-04,0.0467959856779765,-2.77760757866355,-15.9124515905493,1.68715619427372e-08,1.24005980279118e-06
"Aebp1",0.5608,0.477011494252874,29,0.0038,0.0473280058742765,0.356143810225275,-0.228224544322792,0.499288189002656,0.807651871068946
"Aebp2",0.4677,0.498,25,0.1668,0.129321991730701,-0.275634442613427,-0.135038221777492,0.603280497929516,0.862881884166258
"Aff1",0.3876,0.378907496012759,38,0.0314,0.0616959909158091,-0.678071905112637,-2.24594244180307,0.0340561086123471,0.230172320276553
"Afg1l",0.4338,0.4625,28,0.0616,0.0696679288378882,-0.415037499278844,-0.540554955040943,0.298449394192105,0.693629422074931
"Afg2a",0.4435,0.451388888888889,24,0.1204,0.109018650945723,-0.33703498727757,-0.317222246301672,0.425729716134054,0.776522606418579
"Agap1",0.4402,0.38978835978836,45,1e-04,0.0498201283164574,-0.34617564113404,-1.28950845725808,0.108288897730788,0.444612740514768
"Agl",0.4812,0.407720057720058,21,1e-04,0.0488976493804118,-0.111031312388744,-0.113933564299977,0.633109850055868,0.876116439758596
"Ago3",0.6426,0.660714285714286,28,0.0823,0.0821331746749455,0.830074998557687,-1.69793103750691,0.0653601890190677,0.343140992350106
"Agtpbp1",0.5979,0.623717948717949,26,0.0835,0.0851938807811641,0.610053481683986,-0.691095444169129,0.239728311638236,0.657896319065937
"Ahnak",0.4881,0.491477272727273,44,0.164,0.113043044585694,-0.0297473433940523,-0.0516099856317069,0.747999233953502,0.92985951282169
"Aig1",0.4176,0.407910906298003,31,0.3658,0.185901007046987,-0.569365645670138,-0.952854002196815,0.167440800877747,0.55290587316225
"Airn",0.3156,0.274153541597761,51,0.7227,0.320125395473266,-0.632695111505258,-7.20200708875548,0.000147487579632953,0.00412965222972268
"Akap13",0.5333,0.530272108843537,42,1e-04,0.0496245700640375,0.192645077942396,-0.102528704943943,0.650669250346099,0.876502907682718
"Akap6",0.5672,0.55458518090097,26,0.0393,0.0606934209987864,0.376148485885249,-0.977823990592022,0.161979524801556,0.549047668771751
"Akt3",0.5063,0.531862745098039,34,7e-04,0.0476791402308106,0.0365258760251138,-0.000121563198305807,0.987559480382514,1
"Aldh1a1",0.6958,0.722435897435897,26,0.2874,0.16591565812149,1.04730571477836,-2.69579256049606,0.0202340821331881,0.158635203924195
"Aldh1a2",0.7023,0.725,20,1.2711,0.577871416570621,0.938599455335857,-1.91847660234567,0.0501345459712789,0.289907195428956
"Alpk2",0.5807,0.570703933747412,23,0.1199,0.0920962253573705,0.505235308250422,-0.637392670318995,0.258870869200519,0.657896319065937
"Ambra1",0.5566,0.563008130081301,41,0.1245,0.0940549083166723,0.304854581528421,-0.323181403287357,0.421416080546048,0.775311228418526
"Ank",0.4825,0.435507246376812,23,0.084,0.0799186708253286,-0.0703893278913972,-0.0815455115179873,0.686326485440592,0.895804602528453
"Ank2",0.5113,0.56883559562131,42,1e-04,0.0455961648522568,0.0653760088520245,-0.0257525540124135,0.820464668218216,0.957735247476468
"Ank3",0.4186,0.416269841269841,21,0.4638,0.221188281253945,-0.351472370501378,-0.655479691604722,0.252221027264845,0.657896319065937
"Ankhd1",0.5277,0.561111111111111,45,1e-04,0.0494351480156266,0.162271428898877,-0.074863555660869,0.698796276975457,0.899669760258459
"Ankrd11",0.4065,0.400347222222222,48,0.2715,0.154262234574465,-0.525091044743757,-1.67065024105944,0.0675611912602732,0.344727265113106
"Ankrd12",0.6364,0.654651162790698,43,0.0962,0.0845515822177336,0.793549122532574,-2.45683464226888,0.02664498089743,0.198319604654289
"Ankrd17",0.4856,0.535355955247596,51,1e-04,0.0465514148051265,-0.0843921872903725,-0.13681932754335,0.600901309903675,0.862881884166258
"Ankrd44",0.4009,0.382716049382716,27,0.2249,0.134264737988007,-0.561878887608115,-0.983278646648397,0.160813760501468,0.548165166231089
"Ano1",0.4491,0.45047619047619,35,1.0717,0.452036382519767,-0.175086706558091,-0.282684241103972,0.452105250346887,0.794237517563107
"Ano4",0.3278,0.338541666666667,16,0.6705,0.320600472743359,-1.32192809488736,-2.2102013609997,0.0355116541419322,0.234616321746698
"Ano6",0.4786,0.474473975636766,43,0.1538,0.109812329335707,-0.0962153152593031,-0.150841018524872,0.582829851168902,0.858907149091013
"Anxa2",0.5067,0.567436974789916,34,0.2885,0.154988841927045,-0.20945336562895,-0.00309689554403292,0.937270734637412,0.990144330667591
"Anxa3",0.499,0.478395061728395,27,1.107,0.473864766857113,0.120294233717712,0.00537423870121501,1,1
"Aopep",0.5002,0.526706349206349,40,0.2015,0.123032427463354,-0.15200309344505,-0.0287040173101261,0.810640567627798,0.956426731004162
"Ap1g1",0.4427,0.452564102564103,26,0.5159,0.252687810020224,-0.251538766995965,-0.295505747872827,0.442028245937505,0.790007928909584
