"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"1700025G04Rik",0.4797,0.481997677119628,41,1e-04,0.111042118106256,-0.040641984497346,-0.162074413491453,0.569124954806122,0.879846145774963
"2010001K21Rik",0.5631,0.557142857142857,35,0.1594,0.164746953464985,0.628031222613042,-0.286872951831185,0.448774221792448,0.769287869427199
"2610035D17Rik",0.6834,0.6875,24,4.747,1.93451513697444,1.05889368905357,-1.3700585358134,0.0978575973672784,0.326724549577281
"2610307P16Rik",0.4089,0.40968253968254,75,0.3197,0.231410038450007,-0.652076696579693,-4.41809902249163,0.00295313711918901,0.0315901078211806
"4732440D04Rik",0.3309,0.28953488372093,43,0.1907,0.182166149808824,-0.932885804141463,-4.41178571714116,0.00297364095627251,0.0315901078211806
"5031425E22Rik",0.6036,0.607407407407407,45,0.1272,0.157101746656278,0.229481846122767,0.28583956506251,1,1
"9530026P05Rik",0.6069,0.600710683349572,108,0.1282,0.150783649646752,0.659294698082009,-3.09951295575917,0.0127820639906742,0.0858761786953434
"Aak1",0.451,0.475,36,2e-04,0.104799828233068,-0.556393348524385,-1.01400097016666,0.154423508930447,0.429477384467225
"Abca8a",0.7454,0.857563025210084,17,1e-04,0.104761853549524,1.52356195605701,-2.49825706653827,0.0253984225636198,0.12440664465294
"Abcb1b",0.9642,0.962962962962963,27,3.5755,1.469593855818,6.76818432477693,-17.0523406931076,5.22254710471015e-09,1.85741023115344e-07
"Abcc5",0.5182,0.5,36,0.3682,0.246400988420415,0.15200309344505,-0.0105701305905228,0.884397504899811,1
"Abi1",0.9247,0.907277046385957,101,0,0.102418596500394,3.317678621886,-97.7265335883155,2.05177759771583e-44,3.3567081498631e-42
"Abi3bp",0.3974,0.373958333333333,32,0.5499,0.320864794188376,-1.1096244911745,-3.01519753804372,0.0140615856057086,0.0893516398751823
"Ablim1",0.5446,0.560306637806638,60,0.125,0.158929091602949,0.632268215499513,-0.260117052511575,0.47074183654197,0.790691626881585
